global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.3660545,0.7612825,,,,,,,,,,,,,,,,,
1,,,0.4890873730182647,0.7605799436569214,0.0235141455071681,0.4800711274147033,0.7590417265892029,0.0267587809565363,43793.0,0.4776663482189178,0.758402943611145,0.0286225030850134,43793.0,11.839771747589111,122.07755517959596,11.839771747589111,110.2377336025238,0.0,0.0
100,0.102616504,0.11637572,,,,,,,,,,,,,,,,,
200,0.009756291,0.053914737,,,,,,,,,,,,,,,,,
300,0.010282316,0.05714454,,,,,,,,,,,,,,,,,
400,0.010266405,0.050949015,,,,,,,,,,,,,,,,,
500,0.026007775,0.053589065,,,,,,,,,,,,,,,,,
600,0.035683718,0.046827663,,,,,,,,,,,,,,,,,
700,0.021473221,0.050108057,,,,,,,,,,,,,,,,,
747,,,0.986826241016388,0.0528722554445266,0.0441503866070742,0.984138250350952,0.0633515939116478,0.0444251246386054,43793.0,0.983147144317627,0.0665643587708473,0.0432781863600567,43793.0,251.88821291923523,477.0338463783264,251.88821291923523,225.10226607322693,0.0217595100402832,0.0
800,0.0069993744,0.056384,,,,,,,,,,,,,,,,,
900,0.014859885,0.053892203,,,,,,,,,,,,,,,,,
1000,0.015087657,0.05626102,,,,,,,,,,,,,,,,,
1100,0.004848285,0.049600612,,,,,,,,,,,,,,,,,
1200,0.01589184,0.055663634,,,,,,,,,,,,,,,,,
1300,0.033500474,0.053738672,,,,,,,,,,,,,,,,,
1400,0.009144277,0.056909308,,,,,,,,,,,,,,,,,
1494,,,0.9867631196975708,0.0539099015295505,0.040733701131553,0.9841434955596924,0.0635064989328384,0.0403335303505838,43793.0,0.9831580519676208,0.0667014941573143,0.0417764849022938,43793.0,491.97109937667847,830.1962037086487,491.97109937667847,338.1338269710541,0.0485064983367919,0.0
1500,0.028587416,0.066500075,,,,,,,,,,,,,,,,,
1600,0.016646396,0.0501886,,,,,,,,,,,,,,,,,
1700,0.037434075,0.05535527,,,,,,,,,,,,,,,,,
1800,0.037984945,0.05712327,,,,,,,,,,,,,,,,,
1900,0.018314537,0.056594986,,,,,,,,,,,,,,,,,
2000,0.01805253,0.0529287,,,,,,,,,,,,,,,,,
2100,0.010678186,0.057010017,,,,,,,,,,,,,,,,,
2200,0.016714785,0.056238905,,,,,,,,,,,,,,,,,
2242,,,0.9866779446601868,0.0539727583527565,0.041712301083637,0.9841564893722534,0.0640116408467292,0.0398921956502543,43793.0,0.9831547141075134,0.067376397550106,0.0408969453690939,43793.0,732.111236333847,1180.7136211395264,732.111236333847,448.46069979667664,0.0784738063812255,0.0
2300,0.013023626,0.048629086,,,,,,,,,,,,,,,,,
2400,0.088053696,0.0500229,,,,,,,,,,,,,,,,,
2500,0.033864718,0.05461675,,,,,,,,,,,,,,,,,
2600,0.010256749,0.053511787,,,,,,,,,,,,,,,,,
2700,0.03649289,0.048482742,,,,,,,,,,,,,,,,,
2800,0.01692235,0.051158495,,,,,,,,,,,,,,,,,
2900,0.024985883,0.055670306,,,,,,,,,,,,,,,,,
2990,,,0.9867631793022156,0.0532755814492702,0.042912816952816,0.984167456626892,0.0636994987726211,0.0415382170403216,43793.0,0.9831669330596924,0.0670136213302612,0.0414979004288947,43793.0,972.2601580619812,1530.6052281856537,972.2601580619812,558.1550571918488,0.1056907176971435,0.0
3000,0.034172766,0.062166665,,,,,,,,,,,,,,,,,
3100,0.013248341,0.053475875,,,,,,,,,,,,,,,,,
3200,0.026383435,0.050743036,,,,,,,,,,,,,,,,,
3300,0.027743729,0.046364706,,,,,,,,,,,,,,,,,
3400,0.03915814,0.049054876,,,,,,,,,,,,,,,,,
3500,0.019971266,0.05581748,,,,,,,,,,,,,,,,,
3600,0.08525233,0.0625099,,,,,,,,,,,,,,,,,
3700,0.035601534,0.054839604,,,,,,,,,,,,,,,,,
3735,,,0.9867403507232666,0.0537289679050445,0.0429442943315725,0.9841362237930298,0.0640900507569313,0.0410507073972622,43793.0,0.9831732511520386,0.0674586221575737,0.0403567403381735,43793.0,1212.451674938202,1880.23232126236,1212.451674938202,667.5411767959595,0.1341831684112548,0.0
3800,0.02758696,0.04785079,,,,,,,,,,,,,,,,,
3900,0.06531493,0.05489921,,,,,,,,,,,,,,,,,
4000,0.04528283,0.050123807,,,,,,,,,,,,,,,,,
4100,0.12970561,0.049273048,,,,,,,,,,,,,,,,,
4200,0.039437477,0.059490833,,,,,,,,,,,,,,,,,
4300,0.04642638,0.05597205,,,,,,,,,,,,,,,,,
4400,0.026747761,0.056728687,,,,,,,,,,,,,,,,,
4474,,,0.9868089556694032,0.053385991603136,0.044557511479645,0.984174370765686,0.0636034235358238,0.0416013676656928,43793.0,0.9831690192222596,0.0668170750141143,0.0420808625043033,43793.0,1452.4138045310974,2230.800862789154,1452.4138045310974,778.097332239151,0.1629884243011474,0.0
4500,0.040395524,0.049184483,,,,,,,,,,,,,,,,,
4600,0.07828221,0.05540004,,,,,,,,,,,,,,,,,
4700,0.071256675,0.054161083,,,,,,,,,,,,,,,,,
4800,0.025958989,0.051751584,,,,,,,,,,,,,,,,,
4900,0.059060853,0.06100781,,,,,,,,,,,,,,,,,
5000,0.029843822,0.051668514,,,,,,,,,,,,,,,,,
5100,0.073038094,0.04884517,,,,,,,,,,,,,,,,,
5200,0.10032838,0.04934834,,,,,,,,,,,,,,,,,
5226,,,0.9869582056999208,0.053071491420269,0.0384016057302814,0.9841272830963136,0.0639690309762954,0.0438380512517092,43793.0,0.9831180572509766,0.0673290267586708,0.0409070103490934,43793.0,1692.433933019638,2584.143419265747,1692.433933019638,891.3704223632812,0.1920559406280517,0.0
5300,0.0629485,0.05781067,,,,,,,,,,,,,,,,,
5400,0.05891603,0.060465124,,,,,,,,,,,,,,,,,
5500,0.16393602,0.057190508,,,,,,,,,,,,,,,,,
5600,0.07601815,0.056919996,,,,,,,,,,,,,,,,,
5700,0.09778962,0.055518057,,,,,,,,,,,,,,,,,
5800,0.030170916,0.04776303,,,,,,,,,,,,,,,,,
5900,0.036653813,0.05295476,,,,,,,,,,,,,,,,,
5980,,,0.9867376685142516,0.0537001118063926,0.042200709797165,0.984175980091095,0.0639181062579155,0.0400046219281918,43793.0,0.9831829071044922,0.0671223029494285,0.0413877269345113,43793.0,1932.5642449855804,2932.678281068802,1932.5642449855804,999.7251491546632,0.2208187580108642,0.0
6000,0.05737986,0.06048467,,,,,,,,,,,,,,,,,
6100,0.050803043,0.05494644,,,,,,,,,,,,,,,,,
6200,0.065520465,0.061649825,,,,,,,,,,,,,,,,,
6300,0.040360127,0.048583608,,,,,,,,,,,,,,,,,
6400,0.1261574,0.053422604,,,,,,,,,,,,,,,,,
6500,0.023127474,0.055092845,,,,,,,,,,,,,,,,,
6600,0.031527657,0.048505418,,,,,,,,,,,,,,,,,
6700,0.033006847,0.051960737,,,,,,,,,,,,,,,,,
6726,,,0.9866433143615724,0.0540760122239589,0.0406540999883844,0.9841710925102234,0.0633729100227356,0.0408509058186776,43793.0,0.9831896424293518,0.0666076689958572,0.0409584212078205,43793.0,2172.7332561016083,3283.676033973694,2172.7332561016083,1110.5052616596222,0.2483880519866943,0.0
6800,0.111328624,0.053312745,,,,,,,,,,,,,,,,,
6900,0.07052008,0.04813955,,,,,,,,,,,,,,,,,
7000,0.08972231,0.055085804,,,,,,,,,,,,,,,,,
7100,0.037225626,0.050642442,,,,,,,,,,,,,,,,,
7200,0.042959906,0.055035204,,,,,,,,,,,,,,,,,
7300,0.0705919,0.05467213,,,,,,,,,,,,,,,,,
7400,0.14418954,0.054750443,,,,,,,,,,,,,,,,,
7469,,,0.9867728352546692,0.0534368269145488,0.0401328313668463,0.9841710925102234,0.0639325603842735,0.0398563756617331,43793.0,0.983178734779358,0.0672451108694076,0.0410796982513266,43793.0,2412.8204305171967,3630.450572967529,2412.8204305171967,1217.1431171894071,0.2775185108184814,0.0
7500,0.013433868,0.055821892,,,,,,,,,,,,,,,,,
7600,0.047909074,0.055110715,,,,,,,,,,,,,,,,,
7700,0.09654159,0.06732017,,,,,,,,,,,,,,,,,
7800,0.057660446,0.053699262,,,,,,,,,,,,,,,,,
7900,0.08154333,0.060897388,,,,,,,,,,,,,,,,,
8000,0.015738908,0.049854334,,,,,,,,,,,,,,,,,
8100,0.007081218,0.055130076,,,,,,,,,,,,,,,,,
8200,0.041819207,0.059960924,,,,,,,,,,,,,,,,,
8221,,,0.9868239164352416,0.054056879132986,0.0398004268143346,0.984120786190033,0.0646901875734329,0.0351914845086206,43793.0,0.983115553855896,0.0681245625019073,0.035673288394778,43793.0,2652.799068212509,3980.430284023285,2652.799068212509,1327.0940699577332,0.3069667816162109,0.0
8300,0.02845132,0.048321582,,,,,,,,,,,,,,,,,
8400,0.018898236,0.05331629,,,,,,,,,,,,,,,,,
8500,0.060509484,0.061549693,,,,,,,,,,,,,,,,,
8600,0.029227668,0.059028763,,,,,,,,,,,,,,,,,
8700,0.008626733,0.05906423,,,,,,,,,,,,,,,,,
8800,0.10006409,0.045834217,,,,,,,,,,,,,,,,,
8900,0.029765112,0.058158156,,,,,,,,,,,,,,,,,
8974,,,0.986799418926239,0.0538871064782142,0.0352217062914097,0.9841069579124452,0.063995860517025,0.0354065148016817,43793.0,0.9831129908561708,0.0673014000058174,0.0361195486638678,43793.0,2892.9529609680176,4329.53698015213,2892.9529609680176,1435.996614694595,0.3363451957702636,0.0
9000,0.14678659,0.06326665,,,,,,,,,,,,,,,,,
9100,0.04399949,0.057878595,,,,,,,,,,,,,,,,,
9200,0.09422401,0.06305299,,,,,,,,,,,,,,,,,
9300,0.048689432,0.05045365,,,,,,,,,,,,,,,,,
9400,0.052322466,0.0539227,,,,,,,,,,,,,,,,,
9500,0.015692785,0.04891059,,,,,,,,,,,,,,,,,
9600,0.049988132,0.05335372,,,,,,,,,,,,,,,,,
9700,0.010024958,0.05507806,,,,,,,,,,,,,,,,,
9709,,,0.9867526888847352,0.0540717430412769,0.0331151881538532,0.9841142892837524,0.064626008272171,0.035043777333024,43793.0,0.9831129908561708,0.0679670944809913,0.0357371531589304,43793.0,3133.105324745178,4683.629346370697,3133.105324745178,1549.8840172290802,0.3669819831848144,0.0
9800,0.05745489,0.054633085,,,,,,,,,,,,,,,,,
9900,0.030061504,0.058402658,,,,,,,,,,,,,,,,,
10000,0.074444644,0.05390724,,,,,,,,,,,,,,,,,
10100,0.01120562,0.057213508,,,,,,,,,,,,,,,,,
10200,0.11059727,0.053722806,,,,,,,,,,,,,,,,,
10300,0.03306697,0.061362766,,,,,,,,,,,,,,,,,
10400,0.009342005,0.057099268,,,,,,,,,,,,,,,,,
10450,,,0.9866147637367249,0.0544780269265174,0.0320320473021717,0.9841179251670836,0.0639220252633094,0.0339717543255807,43793.0,0.9831433296203612,0.0670806244015693,0.036123118762245,43793.0,3373.0560672283173,5034.246358156204,3373.0560672283173,1660.4987349510193,0.3970508575439453,0.0
10500,0.010046918,0.05011297,,,,,,,,,,,,,,,,,
10600,0.021717515,0.051212344,,,,,,,,,,,,,,,,,
10700,0.08947909,0.054603454,,,,,,,,,,,,,,,,,
10800,0.13710257,0.05568977,,,,,,,,,,,,,,,,,
10900,0.09483332,0.05672258,,,,,,,,,,,,,,,,,
11000,0.015477781,0.05023213,,,,,,,,,,,,,,,,,
11100,0.12957783,0.050452672,,,,,,,,,,,,,,,,,
11199,,,0.9867087602615356,0.0540735125541687,0.0353376855537986,0.9841187596321106,0.0640498027205467,0.0350727929256296,43793.0,0.9831374287605286,0.0673438012599945,0.0363598182280326,43793.0,3613.037872552872,5379.499814271927,3613.037872552872,1765.7213678359983,0.4253120422363281,0.0
11200,0.113796905,0.058692124,,,,,,,,,,,,,,,,,
11300,0.059899356,0.05031591,,,,,,,,,,,,,,,,,
11400,0.08941457,0.05442334,,,,,,,,,,,,,,,,,
11500,0.09668835,0.059507735,,,,,,,,,,,,,,,,,
11600,0.047920577,0.0469787,,,,,,,,,,,,,,,,,
11700,0.013073064,0.050753254,,,,,,,,,,,,,,,,,
11800,0.023851793,0.058072396,,,,,,,,,,,,,,,,,
11900,0.02918376,0.053339407,,,,,,,,,,,,,,,,,
11954,,,0.9868950247764589,0.053833145648241,0.0356116024910231,0.9841098189353944,0.064146026968956,0.034665056002741,43793.0,0.9831218719482422,0.067361332476139,0.0364416046720279,43793.0,3853.26186299324,5726.7757823467255,3853.26186299324,1872.722252845764,0.4552597999572754,0.0
12000,0.011500246,0.053696346,,,,,,,,,,,,,,,,,
12100,0.11889184,0.049655266,,,,,,,,,,,,,,,,,
12200,0.014496091,0.053115096,,,,,,,,,,,,,,,,,
12300,0.017167842,0.05808603,,,,,,,,,,,,,,,,,
12400,0.06971862,0.05009393,,,,,,,,,,,,,,,,,
12500,0.10349109,0.047246948,,,,,,,,,,,,,,,,,
12600,0.059846397,0.05954662,,,,,,,,,,,,,,,,,
12700,0.009479449,0.0496777,,,,,,,,,,,,,,,,,
12705,,,0.9867218136787416,0.0539922416210174,0.0342994776094513,0.9840866923332214,0.0642119124531745,0.0341662441570509,43793.0,0.9831201434135436,0.0674710720777511,0.0359759768843035,43793.0,4093.384645462036,6078.567775249481,4093.384645462036,1984.3419091701508,0.4840166568756103,0.0
12800,0.03784787,0.056796577,,,,,,,,,,,,,,,,,
12900,0.01833949,0.046327114,,,,,,,,,,,,,,,,,
13000,0.17376953,0.058419935,,,,,,,,,,,,,,,,,
13100,0.024300745,0.04911975,,,,,,,,,,,,,,,,,
13200,0.085087836,0.057221845,,,,,,,,,,,,,,,,,
13300,0.115154944,0.052717544,,,,,,,,,,,,,,,,,
13400,0.020603906,0.050205387,,,,,,,,,,,,,,,,,
