global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,11.217885,1.2653298,,,,,,,,,,,,,,
1,,,0.1170375602585928,1.2603047234671456,0.1155064485686242,1.2588198376828923,3554.0,0.1358893809122801,1.255762836847249,3581.0,29.71766805648804,33.75823473930359,29.71766805648804,4.040499925613403,0.0,0.0
100,0.6551406,0.4978203,,,,,,,,,,,,,,
200,1.2362741,0.38956517,,,,,,,,,,,,,,
300,3.1581304,0.33230072,,,,,,,,,,,,,,
344,,,0.6200901440211705,0.3578976563044956,0.602462055848164,0.381298505260358,3554.0,0.6182427383674253,0.3851361310671775,3581.0,109.7559745311737,117.9301929473877,109.7559745311737,8.141103982925415,0.0190353393554687,0.0
400,1.341479,0.44565827,,,,,,,,,,,,,,
500,1.167263,0.29052514,,,,,,,,,,,,,,
600,0.58286166,0.3241843,,,,,,,,,,,,,,
687,,,0.6718159403119769,0.3300005708421979,0.647449671584834,0.3549280547666362,3554.0,0.6661513647331402,0.3576637998834997,3581.0,189.9270255565644,202.2397608757019,189.9270255565644,12.241662740707396,0.0428173542022705,0.0
700,1.4700116,0.37909734,,,,,,,,,,,,,,
800,1.1142739,0.27233544,,,,,,,,,,,,,,
900,1.1454821,0.40328968,,,,,,,,,,,,,,
1000,1.3699853,0.276888,,,,,,,,,,,,,,
1023,,,0.6863447598048619,0.3163242680685861,0.6603577999701041,0.344144684851136,3554.0,0.6796015974064508,0.3459941711681443,3581.0,270.10449719429016,286.5559115409851,270.10449719429016,16.34232187271118,0.0671815872192382,0.0
1100,1.634903,0.29497638,,,,,,,,,,,,,,
1200,0.74542964,0.31943575,,,,,,,,,,,,,,
1300,0.8880315,0.43616745,,,,,,,,,,,,,,
1369,,,0.696002892085484,0.304525545665196,0.6720839002928038,0.3295199813370498,3554.0,0.6897239226996649,0.3323902682997068,3581.0,350.2397656440735,370.8325369358063,350.2397656440735,20.44513893127441,0.0913102626800537,0.0
1400,1.1931816,0.39041913,,,,,,,,,,,,,,
1500,0.60805166,0.32681453,,,,,,,,,,,,,,
1600,2.0616903,0.40091923,,,,,,,,,,,,,,
1700,0.47514498,0.3564158,,,,,,,,,,,,,,
1712,,,0.690129211970738,0.3041645118168422,0.6716816933824564,0.3273894181731851,3554.0,0.6866826300047124,0.3303500817029112,3581.0,430.29035449028015,455.0216844081879,430.29035449028015,24.54613876342773,0.1148450374603271,0.0
1800,1.614498,0.32785404,,,,,,,,,,,,,,
1900,1.1853348,0.3193715,,,,,,,,,,,,,,
2000,0.17691143,0.37462842,,,,,,,,,,,,,,
2057,,,0.707165173121861,0.2967753750937326,0.6861634090769204,0.3199051409943022,3554.0,0.7022076830188844,0.3228106292324071,3581.0,510.3375542163849,539.2109131813049,510.3375542163849,28.648379802703857,0.1407845020294189,0.0
2100,0.3503108,0.3019049,,,,,,,,,,,,,,
2200,1.0322012,0.2611616,,,,,,,,,,,,,,
2300,0.45437986,0.2649838,,,,,,,,,,,,,,
2400,,,0.7105540548052106,0.2973460810525076,0.6865182854046497,0.3222993883981957,3554.0,0.7042238032541539,0.3242619740034208,3581.0,590.3678600788116,623.3818526268005,590.3678600788116,32.75150918960571,0.1637763977050781,0.0
2400,0.82925004,0.3551132,,,,,,,,,,,,,,
2500,0.5985751,0.2789429,,,,,,,,,,,,,,
2600,0.2444246,0.31186032,,,,,,,,,,,,,,
2700,0.5260269,0.31131673,,,,,,,,,,,,,,
2736,,,0.7129312242780413,0.2907646383558001,0.6909214034802336,0.3142611235799451,3554.0,0.7075986843540562,0.3166681847336637,3581.0,668.4642980098724,707.5229380130768,668.4642980098724,36.85398936271668,2.092860460281372,0.0
2800,0.62176615,0.2982561,,,,,,,,,,,,,,
2900,0.35902977,0.25887597,,,,,,,,,,,,,,
3000,0.7770483,0.3307134,,,,,,,,,,,,,,
3079,,,0.716578551701137,0.2856577123914446,0.6942689602604459,0.3087742107264701,3554.0,0.7112457266868543,0.3111535791111072,3581.0,748.5115814208984,791.7060651779175,748.5115814208984,40.95229744911194,2.1170833110809326,0.0
3100,0.59830964,0.25199443,,,,,,,,,,,,,,
3200,1.3442383,0.30681363,,,,,,,,,,,,,,
3300,0.3996997,0.3148321,,,,,,,,,,,,,,
3400,0.12739357,0.34313715,,,,,,,,,,,,,,
3420,,,0.7194129398890904,0.2858763422284807,0.696761475296321,0.3092852985852208,3554.0,0.7136102296626291,0.3116845048629049,3581.0,828.6692006587982,876.002117395401,828.6692006587982,45.0529215335846,2.141674995422364,0.0
