global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,8.0735035,0.9855084,,,,,,,,,,,,,,
1,,,0.2228378057479858,1.0105460711887904,0.2135200393152961,1.0168691966797974,3554.0,0.2373155787216821,1.014117545836533,3581.0,75.42869162559509,283.86764883995056,75.42869162559509,208.43884348869324,0.0,0.0
100,0.61090547,0.3589225,,,,,,,,,,,,,,
200,0.2695287,0.32848996,,,,,,,,,,,,,,
300,0.28658968,0.31277236,,,,,,,,,,,,,,
330,,,0.6953828675406319,0.3119615486689976,0.6724604154210045,0.3355898366057611,3554.0,0.6914280665316951,0.3366572069276214,3581.0,155.41147184371948,373.3252036571503,155.41147184371948,217.87326955795288,0.0280201435089111,0.0
400,0.10444535,0.3335569,,,,,,,,,,,,,,
500,0.119067185,0.2959116,,,,,,,,,,,,,,
576,,,0.7170841353280204,0.2915123871394566,0.694397693949599,0.3137502761523107,3554.0,0.7121654980277855,0.3158048977568242,3581.0,235.74830055236816,463.1308674812317,235.74830055236816,227.2982127666473,0.0632331371307373,0.0
600,0.17024782,0.4419837,,,,,,,,,,,,,,
700,0.78594244,0.23018333,,,,,,,,,,,,,,
800,0.13842337,0.24294809,,,,,,,,,,,,,,
822,,,0.7264985357012067,0.2823969296046665,0.7044846036156444,0.3040619669298677,3554.0,0.7218048598506004,0.3061754215499336,3581.0,316.00918841362,552.865725517273,316.00918841362,236.7273597717285,0.0993962287902832,0.0
900,0.2749819,0.3375764,,,,,,,,,,,,,,
1000,0.20161119,0.21195641,,,,,,,,,,,,,,
1100,0.26684582,0.28941447,,,,,,,,,,,,,,
1120,,,0.7320306641714913,0.2773291894367763,0.709472244082372,0.2992203024980656,3554.0,0.7264522583382784,0.3012691903666922,3581.0,396.1604592800141,642.4954674243927,396.1604592800141,246.1610243320465,0.1335384845733642,0.0
1200,0.18850265,0.21851501,,,,,,,,,,,,,,
1300,0.14691488,0.27416813,,,,,,,,,,,,,,
1400,0.6447849,0.24794006,,,,,,,,,,,,,,
1465,,,0.7351694107055664,0.2745874098369053,0.7129984755293332,0.2961264005456,3554.0,0.7300065804113726,0.2980294354099763,3581.0,476.19052362442017,732.0008959770203,476.19052362442017,255.598249912262,0.1589353084564209,0.0
1500,0.6269458,0.35468838,,,,,,,,,,,,,,
1600,0.49007744,0.21511853,,,,,,,,,,,,,,
1700,0.13594402,0.31836548,,,,,,,,,,,,,,
1800,0.22999986,0.19041456,,,,,,,,,,,,,,
1806,,,0.7375133378165108,0.2721798419952392,0.7146301784740785,0.2941770194015546,3554.0,0.7317767874284418,0.2959251968396572,3581.0,556.3546159267426,821.647412776947,556.3546159267426,265.042453289032,0.1846723556518554,0.0
1900,0.12518851,0.27420145,,,,,,,,,,,,,,
2000,0.20239943,0.2576528,,,,,,,,,,,,,,
2100,0.06388587,0.30150187,,,,,,,,,,,,,,
2148,,,0.7400819914681571,0.2725543124335153,0.717157452979917,0.2951148381445203,3554.0,0.734146812713802,0.2968732955834613,3581.0,636.3490087985992,911.1244502067566,636.3490087985992,274.4867355823517,0.2105038166046142,0.0
2200,0.53791827,0.20694038,,,,,,,,,,,,,,
2300,0.16824096,0.33272874,,,,,,,,,,,,,,
2400,0.13994302,0.23014255,,,,,,,,,,,,,,
2492,,,0.7406823294503349,0.2706173147474016,0.7186580179243458,0.2923988252123488,3554.0,0.7354763939672927,0.2941768404426138,3581.0,716.3403422832489,1000.608625650406,716.3403422832489,283.93554401397705,0.2419342994689941,0.0
2500,0.30495194,0.2686904,,,,,,,,,,,,,,
2600,0.48540488,0.29230312,,,,,,,,,,,,,,
2700,0.18214366,0.2856263,,,,,,,,,,,,,,
2800,0.37337366,0.24955788,,,,,,,,,,,,,,
2836,,,0.7422246251787458,0.2683398212705339,0.7189047002497186,0.2904544587744443,3554.0,0.7361895218470749,0.2920398770747521,3581.0,796.3637080192566,1090.1208221912384,796.3637080192566,293.38441014289856,0.269390344619751,0.0
2900,0.20617662,0.21766868,,,,,,,,,,,,,,
3000,0.1035261,0.283471,,,,,,,,,,,,,,
3100,0.2891188,0.22906569,,,,,,,,,,,,,,
3178,,,0.7429099764142718,0.2681610754558018,0.7192281831431134,0.2905068384105058,3554.0,0.7365436314271503,0.2920553190885925,3581.0,876.5078332424164,1179.7527341842651,876.5078332424164,302.8336796760559,0.295276403427124,0.0
3200,0.27199998,0.20239487,,,,,,,,,,,,,,
3300,0.1206163,0.32191086,,,,,,,,,,,,,,
3400,0.064703755,0.27453765,,,,,,,,,,,,,,
3500,0.0573703,0.3132796,,,,,,,,,,,,,,
3521,,,0.7376701491219657,0.2701177937643869,0.7164906344523776,0.2918338464362338,3554.0,0.7333398055710695,0.2934442822142907,3581.0,956.564638376236,1269.3036620616913,956.564638376236,312.29036378860474,0.3200976848602295,0.0
3600,0.07778687,0.2862174,,,,,,,,,,,,,,
3700,0.33509943,0.246383,,,,,,,,,,,,,,
3800,0.097839154,0.28913146,,,,,,,,,,,,,,
3864,,,0.743513856615339,0.2672926528113229,0.7200241475274338,0.2895959136052687,3554.0,0.7372986879537838,0.2910961075489563,3581.0,1036.723254442215,1358.9487290382383,1036.723254442215,321.7380623817444,0.3464047908782959,0.0
3900,0.14658317,0.32726377,,,,,,,,,,,,,,
4000,0.1580653,0.2537931,,,,,,,,,,,,,,
4100,0.05502341,0.2659557,,,,,,,,,,,,,,
4200,0.26671645,0.19170655,,,,,,,,,,,,,,
4203,,,0.7440386499677386,0.2669550691332136,0.7207352053803813,0.2890733880948403,3554.0,0.7380178835564437,0.2905257075101228,3581.0,1116.70099234581,1448.411773443222,1116.70099234581,331.1856052875519,0.3719992637634277,0.0
4300,0.12855358,0.41366196,,,,,,,,,,,,,,
4400,0.08099885,0.29827738,,,,,,,,,,,,,,
4500,0.55143464,0.29921108,,,,,,,,,,,,,,
4546,,,0.745006901877267,0.2660976818629673,0.7210052438713421,0.288724041682787,3554.0,0.7382425938329028,0.290228866325747,3581.0,1196.920105934143,1538.1207942962646,1196.920105934143,340.6364850997925,0.3985371589660644,0.0
4600,0.43656665,0.28656372,,,,,,,,,,,,,,
4700,0.16244112,0.28826493,,,,,,,,,,,,,,
4800,0.09705438,0.3643425,,,,,,,,,,,,,,
