global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.6354927,0.78110224,0.0,,,,,,,,,,,,,,,,,
1,,,,0.4653660953044891,0.7760903239250183,0.023146453487451,0.4601889848709106,0.7791804075241089,0.0279987345293364,43793.0,0.458895593881607,0.7803801894187927,0.0289328646718296,43793.0,19.45749592781067,326.4215958118439,19.45749592781067,306.9640545845032,0.0,0.0
1,1.6190737,0.78180605,0.00024354458,,,,,,,,,,,,,,,,,
2,1.6274942,0.7810556,0.00048720837,,,,,,,,,,,,,,,,,
3,1.649575,0.77712214,0.00073075294,,,,,,,,,,,,,,,,,
4,1.6855792,0.76512706,0.00097441673,,,,,,,,,,,,,,,,,
5,1.6088396,0.75073206,0.0012180805,,,,,,,,,,,,,,,,,
6,1.5296061,0.73064804,0.0014616251,,,,,,,,,,,,,,,,,
7,1.3259002,0.7072325,0.0017051697,,,,,,,,,,,,,,,,,
8,1.1324803,0.68410045,0.0019487143,,,,,,,,,,,,,,,,,
9,0.96801835,0.6652935,0.002192378,,,,,,,,,,,,,,,,,
10,0.87844026,0.64104265,0.0024360418,,,,,,,,,,,,,,,,,
11,0.8177613,0.6277495,0.0026795864,,,,,,,,,,,,,,,,,
12,0.7777903,0.60778964,0.0029232502,,,,,,,,,,,,,,,,,
13,0.72720546,0.596181,0.0031667948,,,,,,,,,,,,,,,,,
14,0.6882303,0.57712334,0.0034103394,,,,,,,,,,,,,,,,,
15,0.6558911,0.561436,0.0036540031,,,,,,,,,,,,,,,,,
16,0.6094265,0.5467808,0.0038975477,,,,,,,,,,,,,,,,,
17,0.57841486,0.5307938,0.0041412115,,,,,,,,,,,,,,,,,
18,0.5493109,0.51414317,0.0043848753,,,,,,,,,,,,,,,,,
19,0.5277591,0.4961685,0.00462842,,,,,,,,,,,,,,,,,
20,0.50581723,0.4798986,0.0048719645,,,,,,,,,,,,,,,,,
21,0.48638272,0.45823964,0.005115509,,,,,,,,,,,,,,,,,
22,0.46722332,0.44348633,0.005359173,,,,,,,,,,,,,,,,,
23,0.45117995,0.42279947,0.0056027174,,,,,,,,,,,,,,,,,
24,0.43349287,0.40486243,0.005846381,,,,,,,,,,,,,,,,,
25,0.41614702,0.3894053,0.006090045,,,,,,,,,,,,,,,,,
26,0.3988181,0.36985466,0.0063335896,,,,,,,,,,,,,,,,,
27,0.37877777,0.3548163,0.006577134,,,,,,,,,,,,,,,,,
28,0.3645637,0.336336,0.006820798,,,,,,,,,,,,,,,,,
29,0.34668145,0.31382728,0.0070643425,,,,,,,,,,,,,,,,,
30,0.3255785,0.29606685,0.0073080063,,,,,,,,,,,,,,,,,
31,0.3085437,0.28088322,0.00755167,,,,,,,,,,,,,,,,,
32,0.2893648,0.26111153,0.0077952147,,,,,,,,,,,,,,,,,
