global_step,grad_norm,loss,lr,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.28022465,6.907754,0.0,,,,,,,,,,,,,,
1,,,,0.0008203124743886,6.907756328582764,0.0009999999310821,6.9077558517456055,50000.0,0.0010000000474974,6.907756805419922,10000.0,43.302661657333374,82.29125142097473,43.302661657333374,38.988502502441406,0.0,0.0
1,0.27163064,6.9077535,4.7369394e-07,,,,,,,,,,,,,,
2,0.29067078,6.907749,9.475043e-07,,,,,,,,,,,,,,
3,0.278929,6.9077516,1.4213147e-06,,,,,,,,,,,,,,
4,0.2795734,6.907759,1.8950086e-06,,,,,,,,,,,,,,
5,0.28108102,6.907754,2.3687026e-06,,,,,,,,,,,,,,
6,0.2730044,6.907756,2.842513e-06,,,,,,,,,,,,,,
7,0.28519556,6.907743,3.3162069e-06,,,,,,,,,,,,,,
8,0.2750814,6.9077587,3.7900172e-06,,,,,,,,,,,,,,
9,0.2743198,6.907734,4.2638276e-06,,,,,,,,,,,,,,
10,0.2788436,6.9076962,4.7375215e-06,,,,,,,,,,,,,,
11,0.28837392,6.907688,5.2112155e-06,,,,,,,,,,,,,,
12,0.2930438,6.9076967,5.685026e-06,,,,,,,,,,,,,,
13,0.28747198,6.907663,6.1587198e-06,,,,,,,,,,,,,,
14,0.29876846,6.9076767,6.63253e-06,,,,,,,,,,,,,,
15,0.2744523,6.9076962,7.106224e-06,,,,,,,,,,,,,,
16,0.28585318,6.9076195,7.5800344e-06,,,,,,,,,,,,,,
17,0.28765225,6.9075904,8.053728e-06,,,,,,,,,,,,,,
18,0.29480255,6.9076333,8.527422e-06,,,,,,,,,,,,,,
19,0.29754058,6.9076023,9.001349e-06,,,,,,,,,,,,,,
20,0.30390686,6.9074736,9.475043e-06,,,,,,,,,,,,,,
21,0.2899064,6.9074583,9.948737e-06,,,,,,,,,,,,,,
22,0.30379367,6.907469,1.0422547e-05,,,,,,,,,,,,,,
23,0.2847465,6.9076385,1.0896241e-05,,,,,,,,,,,,,,
24,0.29710862,6.9073877,1.1369935e-05,,,,,,,,,,,,,,
25,0.31105664,6.907251,1.1843746e-05,,,,,,,,,,,,,,
26,0.29354084,6.9074163,1.2317556e-05,,,,,,,,,,,,,,
27,0.30786493,6.9075,1.279125e-05,,,,,,,,,,,,,,
28,0.3134176,6.9075384,1.3264944e-05,,,,,,,,,,,,,,
29,0.31302357,6.9073925,1.3738754e-05,,,,,,,,,,,,,,
30,0.31228065,6.907313,1.4212565e-05,,,,,,,,,,,,,,
31,0.31522804,6.90709,1.46862585e-05,,,,,,,,,,,,,,
32,0.30704334,6.9071198,1.5160069e-05,,,,,,,,,,,,,,
33,0.30248454,6.907473,1.5633763e-05,,,,,,,,,,,,,,
34,0.29824054,6.9072437,1.6107457e-05,,,,,,,,,,,,,,
35,0.31311774,6.907183,1.6581267e-05,,,,,,,,,,,,,,
36,0.29882613,6.9068666,1.7055077e-05,,,,,,,,,,,,,,
37,0.29422787,6.9071054,1.7528771e-05,,,,,,,,,,,,,,
38,0.30886495,6.9067683,1.8002465e-05,,,,,,,,,,,,,,
39,0.29414496,6.906688,1.8476276e-05,,,,,,,,,,,,,,
40,0.31614512,6.9067645,1.894997e-05,,,,,,,,,,,,,,
41,0.32793355,6.9064226,1.942378e-05,,,,,,,,,,,,,,
42,0.32682446,6.906606,1.989759e-05,,,,,,,,,,,,,,
43,0.29108295,6.906701,2.0371284e-05,,,,,,,,,,,,,,
44,0.32886782,6.906254,2.0844978e-05,,,,,,,,,,,,,,
45,0.34456727,6.905817,2.1318672e-05,,,,,,,,,,,,,,
46,0.3332821,6.9057684,2.1792599e-05,,,,,,,,,,,,,,
47,0.34020668,6.90558,2.2266293e-05,,,,,,,,,,,,,,
48,0.3235858,6.9051075,2.2739987e-05,,,,,,,,,,,,,,
49,0.3494476,6.904768,2.3213797e-05,,,,,,,,,,,,,,
50,0.36618847,6.9049997,2.3687491e-05,,,,,,,,,,,,,,
51,0.35252145,6.904303,2.4161302e-05,,,,,,,,,,,,,,
52,0.31625375,6.905277,2.4635112e-05,,,,,,,,,,,,,,
53,0.30327004,6.9051065,2.5108806e-05,,,,,,,,,,,,,,
54,0.30348566,6.90563,2.55825e-05,,,,,,,,,,,,,,
55,0.35732663,6.9042463,2.6056194e-05,,,,,,,,,,,,,,
56,0.35709494,6.904665,2.6530004e-05,,,,,,,,,,,,,,
57,0.36420396,6.905295,2.7003814e-05,,,,,,,,,,,,,,
58,0.3680286,6.9047575,2.7477508e-05,,,,,,,,,,,,,,
59,0.3542098,6.9034376,2.7951319e-05,,,,,,,,,,,,,,
60,0.37891465,6.90372,2.8425013e-05,,,,,,,,,,,,,,
61,0.38572848,6.9021115,2.8898707e-05,,,,,,,,,,,,,,
62,0.3170669,6.905158,2.9372517e-05,,,,,,,,,,,,,,
63,0.37215915,6.9012184,2.9846327e-05,,,,,,,,,,,,,,
64,0.31704342,6.903674,3.0320021e-05,,,,,,,,,,,,,,
65,0.32144547,6.9045024,3.0793715e-05,,,,,,,,,,,,,,
66,0.3260261,6.903886,3.1267526e-05,,,,,,,,,,,,,,
67,0.36505398,6.900498,3.174122e-05,,,,,,,,,,,,,,
68,0.3636853,6.901026,3.221503e-05,,,,,,,,,,,,,,
69,0.3835936,6.902342,3.268884e-05,,,,,,,,,,,,,,
70,0.36432925,6.900758,3.3162534e-05,,,,,,,,,,,,,,
71,0.3799143,6.902341,3.363623e-05,,,,,,,,,,,,,,
