global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.3177686,0.79096735,0.0,,,,,,,,,,,,,,
1,,,,0.269930362701416,0.8136623246329171,0.2639830787328098,0.8239761893509074,3554.0,0.2874244534413397,0.8217895473724169,3581.0,61.68584871292114,272.2643418312073,61.68584871292114,210.57814741134644,0.0,0.0
1,4.4339085,0.8526701,0.00053858757,,,,,,,,,,,,,,
2,3.4760005,0.82974863,0.0010772943,,,,,,,,,,,,,,
3,3.0454898,0.7446538,0.0016158819,,,,,,,,,,,,,,
4,2.1393335,0.6608652,0.0021545887,,,,,,,,,,,,,,
5,0.8825398,0.66705114,0.0026931763,,,,,,,,,,,,,,
6,2.014427,0.66840976,0.003231883,,,,,,,,,,,,,,
7,2.554374,0.67014307,0.0037704706,,,,,,,,,,,,,,
8,3.1166692,0.64219624,0.004309058,,,,,,,,,,,,,,
9,2.2431881,0.7024621,0.0048476458,,,,,,,,,,,,,,
10,1.4233408,0.59739494,0.0053864717,,,,,,,,,,,,,,
11,0.7618555,0.5679035,0.0059250593,,,,,,,,,,,,,,
12,0.5108973,0.5143733,0.006463647,,,,,,,,,,,,,,
13,0.80968904,0.5931423,0.0070023537,,,,,,,,,,,,,,
14,1.2578864,0.49310246,0.0075409412,,,,,,,,,,,,,,
15,1.1261097,0.52533025,0.008079529,,,,,,,,,,,,,,
16,0.8005907,0.5058533,0.008618116,,,,,,,,,,,,,,
17,0.33965892,0.45446423,0.009156942,,,,,,,,,,,,,,
18,0.3587789,0.47690204,0.00969553,,,,,,,,,,,,,,
19,0.37062156,0.54344416,0.0102341175,,,,,,,,,,,,,,
20,0.4227164,0.44771913,0.010772824,,,,,,,,,,,,,,
21,0.21286301,0.4951917,0.011311412,,,,,,,,,,,,,,
22,0.24847904,0.47409672,0.011849999,,,,,,,,,,,,,,
23,0.22528388,0.45985186,0.012388587,,,,,,,,,,,,,,
24,0.42862615,0.52599776,0.012927413,,,,,,,,,,,,,,
25,0.34996808,0.50709665,0.013466001,,,,,,,,,,,,,,
26,0.27054217,0.4504373,0.014004588,,,,,,,,,,,,,,
27,0.40138692,0.48397744,0.014543176,,,,,,,,,,,,,,
28,0.31141716,0.4504312,0.0150818825,,,,,,,,,,,,,,
29,0.53497416,0.4356921,0.01562047,,,,,,,,,,,,,,
30,0.3047783,0.43644023,0.016159177,,,,,,,,,,,,,,
31,0.4026367,0.47877944,0.016697884,,,,,,,,,,,,,,
32,0.26790935,0.518213,0.017236471,,,,,,,,,,,,,,
33,0.26705375,0.4476096,0.017775059,,,,,,,,,,,,,,
34,0.1934486,0.49443677,0.018313646,,,,,,,,,,,,,,
35,0.2267811,0.41897422,0.018852353,,,,,,,,,,,,,,
36,0.2237939,0.5072814,0.01939094,,,,,,,,,,,,,,
37,0.43531477,0.45618433,0.019929647,,,,,,,,,,,,,,
38,0.24747369,0.4772214,0.020468235,,,,,,,,,,,,,,
39,0.4183623,0.47072577,0.021006942,,,,,,,,,,,,,,
40,0.22313535,0.45615324,0.02154553,,,,,,,,,,,,,,
41,0.3624184,0.43575194,0.022084117,,,,,,,,,,,,,,
42,0.8268433,0.42371815,0.022622824,,,,,,,,,,,,,,
