global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,3.5011425,0.94057727,0.0,,,,,,,,,,,,,,
1,,,,0.2547680991036551,0.9392337117876324,0.2446346250758388,0.9524476025033412,3554.0,0.2690894652331751,0.9489513611334124,3581.0,65.0213851928711,288.978618144989,65.0213851928711,223.95674467086792,0.0,0.0
1,3.5659978,0.96427995,0.00053858757,,,,,,,,,,,,,,
2,3.2904782,0.97504115,0.0010772943,,,,,,,,,,,,,,
3,3.5608199,0.8695109,0.0016158819,,,,,,,,,,,,,,
4,3.0810947,0.8114242,0.0021545887,,,,,,,,,,,,,,
5,2.1575887,0.7101304,0.0026931763,,,,,,,,,,,,,,
6,1.4800458,0.60868376,0.003231883,,,,,,,,,,,,,,
7,0.91559774,0.58008456,0.0037704706,,,,,,,,,,,,,,
8,0.8922063,0.5593896,0.004309058,,,,,,,,,,,,,,
9,1.0388227,0.57027924,0.0048476458,,,,,,,,,,,,,,
10,1.1711923,0.6219402,0.0053864717,,,,,,,,,,,,,,
11,1.3450681,0.52142817,0.0059250593,,,,,,,,,,,,,,
12,1.3920109,0.56809974,0.006463647,,,,,,,,,,,,,,
13,1.1005027,0.45608863,0.0070023537,,,,,,,,,,,,,,
14,1.0052235,0.5519986,0.0075409412,,,,,,,,,,,,,,
15,0.83054394,0.5855416,0.008079529,,,,,,,,,,,,,,
16,0.63829714,0.45185906,0.008618116,,,,,,,,,,,,,,
17,0.72601885,0.4643391,0.009156942,,,,,,,,,,,,,,
18,0.95897615,0.3877875,0.00969553,,,,,,,,,,,,,,
19,0.8147911,0.46475333,0.0102341175,,,,,,,,,,,,,,
20,0.8529096,0.35150406,0.010772824,,,,,,,,,,,,,,
21,0.75245905,0.43746835,0.011311412,,,,,,,,,,,,,,
22,0.55761707,0.43443495,0.011849999,,,,,,,,,,,,,,
23,0.43822563,0.3963546,0.012388587,,,,,,,,,,,,,,
24,0.2854697,0.37831554,0.012927413,,,,,,,,,,,,,,
25,0.24836595,0.35366258,0.013466001,,,,,,,,,,,,,,
26,0.20788866,0.38165697,0.014004588,,,,,,,,,,,,,,
27,0.2757432,0.33330038,0.014543176,,,,,,,,,,,,,,
28,0.38306415,0.3613049,0.0150818825,,,,,,,,,,,,,,
29,0.38606536,0.38487378,0.01562047,,,,,,,,,,,,,,
30,0.41087627,0.49889764,0.016159177,,,,,,,,,,,,,,
31,0.47579193,0.341124,0.016697884,,,,,,,,,,,,,,
32,0.4227817,0.4040344,0.017236471,,,,,,,,,,,,,,
33,0.4425485,0.37754667,0.017775059,,,,,,,,,,,,,,
34,0.28618377,0.41860425,0.018313646,,,,,,,,,,,,,,
35,0.31565756,0.41208804,0.018852353,,,,,,,,,,,,,,
36,0.3357996,0.3914478,0.01939094,,,,,,,,,,,,,,
37,0.211536,0.38007295,0.019929647,,,,,,,,,,,,,,
38,0.18959141,0.41070384,0.020468235,,,,,,,,,,,,,,
39,0.1671213,0.34842214,0.021006942,,,,,,,,,,,,,,
40,0.35560265,0.38028616,0.02154553,,,,,,,,,,,,,,
41,0.27219358,0.4188275,0.022084117,,,,,,,,,,,,,,
42,0.2638974,0.35394853,0.022622824,,,,,,,,,,,,,,
43,0.24560423,0.37180772,0.02316153,,,,,,,,,,,,,,
44,0.26042902,0.38106754,0.023700118,,,,,,,,,,,,,,
45,0.35188654,0.4453637,0.024238706,,,,,,,,,,,,,,
46,0.34794784,0.34619123,0.024777412,,,,,,,,,,,,,,
47,0.26260462,0.39244753,0.025316,,,,,,,,,,,,,,
48,0.2085419,0.42976436,0.025854588,,,,,,,,,,,,,,
49,0.14631112,0.43728662,0.026393294,,,,,,,,,,,,,,
50,0.3163532,0.5449127,0.026932001,,,,,,,,,,,,,,
51,0.1650354,0.42429617,0.027470589,,,,,,,,,,,,,,
52,0.25921458,0.34811968,0.028009176,,,,,,,,,,,,,,
53,0.20918858,0.3861536,0.028547883,,,,,,,,,,,,,,
54,0.29645133,0.39526534,0.02908647,,,,,,,,,,,,,,
55,0.1285697,0.3694139,0.029625058,,,,,,,,,,,,,,
56,0.19568923,0.38334253,0.030163765,,,,,,,,,,,,,,
57,0.28603637,0.45515233,0.030702472,,,,,,,,,,,,,,
58,0.25319767,0.37202853,0.03124106,,,,,,,,,,,,,,
59,0.18671884,0.35321164,0.031779647,,,,,,,,,,,,,,
60,0.4251846,0.49908686,0.032318354,,,,,,,,,,,,,,
61,0.12951888,0.42414618,0.03285694,,,,,,,,,,,,,,
62,0.16357006,0.38982895,0.03339553,,,,,,,,,,,,,,
63,0.61300004,0.40816528,0.033934236,,,,,,,,,,,,,,
64,0.18475327,0.34232357,0.034472942,,,,,,,,,,,,,,
65,0.3331457,0.2977589,0.03501153,,,,,,,,,,,,,,
66,0.13534287,0.35685605,0.035550117,,,,,,,,,,,,,,
67,0.31896588,0.3700334,0.036088705,,,,,,,,,,,,,,
68,0.2955497,0.36088938,0.03662741,,,,,,,,,,,,,,
69,0.37768683,0.35473567,0.03716612,,,,,,,,,,,,,,
70,0.12860943,0.3827122,0.037704706,,,,,,,,,,,,,,
71,0.39223623,0.31630546,0.038243413,,,,,,,,,,,,,,
72,0.17122148,0.3733528,0.038782,,,,,,,,,,,,,,
73,0.23949799,0.40246183,0.039320588,,,,,,,,,,,,,,
74,0.21263641,0.4034856,0.039859176,,,,,,,,,,,,,,
75,0.09437972,0.30360925,0.040397882,,,,,,,,,,,,,,
