global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.28885,11.417145,0.0,,,,,,,,,,,,,,,,,
1,,,,0.0006406003376469,11.437946319580078,0.0,0.0004835649742744,11.44865894317627,0.0,3000.0,0.0007088489946909,11.43292236328125,0.0,3003.0,45.22918343544006,938.9079945087432,45.22918343544006,893.6787683963776,0.0,0.0
1,4.247392,11.41342,2.7776696e-07,,,,,,,,,,,,,,,,,
2,4.247239,11.402878,5.5576675e-07,,,,,,,,,,,,,,,,,
3,4.2888966,11.391244,8.3376653e-07,,,,,,,,,,,,,,,,,
4,4.181774,11.352315,1.1115335e-06,,,,,,,,,,,,,,,,,
5,4.2022934,11.323163,1.3895333e-06,,,,,,,,,,,,,,,,,
6,4.1428423,11.271182,1.6673002e-06,,,,,,,,,,,,,,,,,
7,4.0725718,11.228879,1.9453e-06,,,,,,,,,,,,,,,,,
8,3.9655147,11.167547,2.2232998e-06,,,,,,,,,,,,,,,,,
9,3.8463478,11.113213,2.5010668e-06,,,,,,,,,,,,,,,,,
10,3.6999817,11.050731,2.7788337e-06,,,,,,,,,,,,,,,,,
11,3.4667299,10.97474,3.0570664e-06,,,,,,,,,,,,,,,,,
12,3.306648,10.893624,3.3348333e-06,,,,,,,,,,,,,,,,,
13,3.150046,10.821925,3.6126003e-06,,,,,,,,,,,,,,,,,
14,2.9827304,10.764561,3.8906e-06,,,,,,,,,,,,,,,,,
15,2.8539505,10.683844,4.1686e-06,,,,,,,,,,,,,,,,,
16,2.6595435,10.616836,4.446367e-06,,,,,,,,,,,,,,,,,
17,2.5311935,10.549013,4.7241338e-06,,,,,,,,,,,,,,,,,
18,2.3786607,10.475848,5.0021335e-06,,,,,,,,,,,,,,,,,
19,2.263185,10.42371,5.2799005e-06,,,,,,,,,,,,,,,,,
20,2.1905031,10.352764,5.5579003e-06,,,,,,,,,,,,,,,,,
21,2.065099,10.278792,5.8359e-06,,,,,,,,,,,,,,,,,
22,1.956373,10.241685,6.113667e-06,,,,,,,,,,,,,,,,,
23,1.828305,10.175693,6.391434e-06,,,,,,,,,,,,,,,,,
24,1.76128,10.105874,6.6696666e-06,,,,,,,,,,,,,,,,,
25,1.6767339,10.044631,6.9474336e-06,,,,,,,,,,,,,,,,,
26,1.5782601,9.993683,7.2252005e-06,,,,,,,,,,,,,,,,,
27,1.4880195,9.952136,7.5032003e-06,,,,,,,,,,,,,,,,,
28,1.3661317,9.935155,7.7812e-06,,,,,,,,,,,,,,,,,
29,1.3492411,9.86342,8.058967e-06,,,,,,,,,,,,,,,,,
30,1.2808462,9.802616,8.336967e-06,,,,,,,,,,,,,,,,,
31,1.2072055,9.780337,8.614734e-06,,,,,,,,,,,,,,,,,
32,1.1771365,9.7282915,8.892734e-06,,,,,,,,,,,,,,,,,
33,1.1008296,9.698138,9.170733e-06,,,,,,,,,,,,,,,,,
34,1.0655103,9.674248,9.4485e-06,,,,,,,,,,,,,,,,,
35,0.996274,9.643135,9.726267e-06,,,,,,,,,,,,,,,,,
36,0.9598608,9.628036,1.0004267e-05,,,,,,,,,,,,,,,,,
37,0.91558945,9.587449,1.0282267e-05,,,,,,,,,,,,,,,,,
38,0.87038887,9.56499,1.0560034e-05,,,,,,,,,,,,,,,,,
39,0.81710607,9.546692,1.0838034e-05,,,,,,,,,,,,,,,,,
40,0.7784819,9.511908,1.1115801e-05,,,,,,,,,,,,,,,,,
41,0.7316026,9.476688,1.13938e-05,,,,,,,,,,,,,,,,,
42,0.703394,9.469714,1.16718e-05,,,,,,,,,,,,,,,,,
43,0.6891855,9.406272,1.1949567e-05,,,,,,,,,,,,,,,,,
44,0.67569876,9.406942,1.2227334e-05,,,,,,,,,,,,,,,,,
45,0.63559353,9.382034,1.2505567e-05,,,,,,,,,,,,,,,,,
46,0.64120716,9.37331,1.2783334e-05,,,,,,,,,,,,,,,,,
47,0.6109692,9.372412,1.3061101e-05,,,,,,,,,,,,,,,,,
48,0.60060894,9.33007,1.3338868e-05,,,,,,,,,,,,,,,,,
49,0.5781715,9.310294,1.36171e-05,,,,,,,,,,,,,,,,,
50,0.55836266,9.308309,1.3894867e-05,,,,,,,,,,,,,,,,,
51,0.5372536,9.278719,1.4172634e-05,,,,,,,,,,,,,,,,,
52,0.5234849,9.272175,1.4450634e-05,,,,,,,,,,,,,,,,,
53,0.51536316,9.277898,1.4728634e-05,,,,,,,,,,,,,,,,,
54,0.48745307,9.247004,1.5006401e-05,,,,,,,,,,,,,,,,,
55,0.4819063,9.267259,1.52844e-05,,,,,,,,,,,,,,,,,
56,0.45297605,9.229105,1.5562167e-05,,,,,,,,,,,,,,,,,
57,0.43119055,9.220452,1.5839934e-05,,,,,,,,,,,,,,,,,
58,0.4101237,9.204906,1.6118167e-05,,,,,,,,,,,,,,,,,
59,0.3854478,9.196222,1.6395934e-05,,,,,,,,,,,,,,,,,
60,0.3716367,9.177472,1.66737e-05,,,,,,,,,,,,,,,,,
61,0.34756655,9.175781,1.69517e-05,,,,,,,,,,,,,,,,,
62,0.34048384,9.161475,1.72297e-05,,,,,,,,,,,,,,,,,
63,0.33347213,9.14645,1.7507467e-05,,,,,,,,,,,,,,,,,
64,0.3247647,9.170492,1.7785467e-05,,,,,,,,,,,,,,,,,
65,0.32233498,9.094879,1.8063234e-05,,,,,,,,,,,,,,,,,
66,0.3061195,9.117863,1.8341234e-05,,,,,,,,,,,,,,,,,
67,0.29831025,9.117511,1.8619234e-05,,,,,,,,,,,,,,,,,
68,0.29769138,9.095878,1.8897e-05,,,,,,,,,,,,,,,,,
69,0.29467687,9.072703,1.9174768e-05,,,,,,,,,,,,,,,,,
70,0.28891557,9.0882635,1.9453e-05,,,,,,,,,,,,,,,,,
71,0.2915493,9.093192,1.9730767e-05,,,,,,,,,,,,,,,,,
72,0.28446802,9.085902,2.0008534e-05,,,,,,,,,,,,,,,,,
73,0.28225458,9.033241,2.0286534e-05,,,,,,,,,,,,,,,,,
74,0.26698196,9.054291,2.0564301e-05,,,,,,,,,,,,,,,,,
75,0.2654391,9.059443,2.08423e-05,,,,,,,,,,,,,,,,,
76,0.26779392,9.031416,2.11203e-05,,,,,,,,,,,,,,,,,
77,0.24390075,9.0067,2.1398067e-05,,,,,,,,,,,,,,,,,
78,0.23194528,9.04336,2.1675834e-05,,,,,,,,,,,,,,,,,
79,0.22868554,9.034751,2.1953834e-05,,,,,,,,,,,,,,,,,
80,0.2207818,9.022121,2.2231834e-05,,,,,,,,,,,,,,,,,
81,0.21423352,9.024574,2.2509601e-05,,,,,,,,,,,,,,,,,
82,0.21176513,8.977916,2.2787368e-05,,,,,,,,,,,,,,,,,
83,0.19747958,9.0000515,2.30656e-05,,,,,,,,,,,,,,,,,
84,0.19775513,8.992082,2.3343368e-05,,,,,,,,,,,,,,,,,
85,0.19571163,9.002628,2.3621134e-05,,,,,,,,,,,,,,,,,
86,0.18198162,8.983019,2.3899134e-05,,,,,,,,,,,,,,,,,
87,0.18472509,8.965858,2.4177134e-05,,,,,,,,,,,,,,,,,
88,0.17598367,8.948111,2.4454901e-05,,,,,,,,,,,,,,,,,
89,0.18141524,8.953442,2.47329e-05,,,,,,,,,,,,,,,,,
90,0.17356598,8.980142,2.5010668e-05,,,,,,,,,,,,,,,,,
91,0.16643372,8.946386,2.5288668e-05,,,,,,,,,,,,,,,,,
92,0.17835493,8.95158,2.5566667e-05,,,,,,,,,,,,,,,,,
93,0.17764333,8.982936,2.5844434e-05,,,,,,,,,,,,,,,,,
94,0.17460111,8.946981,2.6122201e-05,,,,,,,,,,,,,,,,,
95,0.16606168,8.936768,2.6400201e-05,,,,,,,,,,,,,,,,,
96,0.17131959,8.935066,2.66782e-05,,,,,,,,,,,,,,,,,
97,0.1815936,8.913055,2.6955968e-05,,,,,,,,,,,,,,,,,
98,0.17332701,8.946683,2.7233968e-05,,,,,,,,,,,,,,,,,
99,0.16716322,8.923927,2.7511735e-05,,,,,,,,,,,,,,,,,
2177,,,,0.4945186078548431,3.208293914794922,19.990277616769568,0.4919715821743011,3.2357325553894043,16.16417720386408,3000.0,0.4864214956760406,3.3392062187194824,14.168427725776432,3003.0,885.2835292816162,2322.264998435974,885.2835292816162,1436.877333164215,0.0391206741333007,0.0
4356,,,,0.5655445456504822,2.565225839614868,25.8143775251932,0.5736072659492493,2.4855899810791016,22.41783185745632,3000.0,0.575027585029602,2.487282514572144,20.92778848891639,3003.0,1725.3222270011902,3630.0288636684418,1725.3222270011902,1904.5106115341189,0.065929889678955,0.0
6537,,,,0.600831925868988,2.228694200515747,28.23527240926014,0.6041214466094971,2.203835964202881,24.400309696106245,3000.0,0.609005868434906,2.172715187072754,22.888194517289968,3003.0,2565.48877120018,4957.948501586914,2565.48877120018,2392.1727504730225,0.0936822891235351,0.0
8716,,,,0.6005865931510925,2.2219698429107666,29.052326937122714,0.6206494569778442,2.06129789352417,25.31892479173709,3000.0,0.6258439421653748,2.019894599914551,24.40277624421013,3003.0,3405.633405447006,6265.026919126511,3405.633405447006,2859.0154876708984,0.1216156482696533,0.0
10896,,,,0.613159716129303,2.1147708892822266,29.28699399095548,0.633705735206604,1.964706540107727,26.12267210203644,3000.0,0.6388356685638428,1.9106643199920648,25.08139416053091,3003.0,4245.569342136383,7548.482594251633,4245.569342136383,3302.4454469680786,0.1490449905395507,0.0
13074,,,,0.6310940384864807,1.978469967842102,30.89335431124666,0.6433398127555847,1.895116925239563,26.98961374435701,3000.0,0.6505722999572754,1.830229997634888,26.109856935050946,3003.0,5085.486228466034,8835.989210367203,5085.486228466034,3749.9454996585846,0.1758430004119873,0.0
15252,,,,0.6294335126876831,2.0000455379486084,30.07351161466124,0.6478282809257507,1.844810485839844,27.2236941158224,3000.0,0.6564639210700989,1.7824676036834717,26.815376390897622,3003.0,5925.429577827454,10233.765721082687,5925.429577827454,4307.68909907341,0.2029125690460205,0.0
17431,,,,0.6332467198371887,1.9675688743591309,30.833999190383743,0.6515728235244751,1.8193625211715696,27.572704580686004,3000.0,0.6614490747451782,1.7520670890808103,27.0365161016238,3003.0,6765.681861400604,11778.626659870148,6765.681861400604,5012.20842051506,0.2288596630096435,0.0
