global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,18.194925,0.63823235,,,,,,,,,,,
1,,,0.5921192377243402,0.5922183344746973,83274637.0,0.6130282615953947,95000000.0,21.425519943237305,806.0637445449829,21.425519943237305,784.6381850242615,0.0,0.0
100,0.382716,0.13743027,,,,,,,,,,,
179,,,0.1394308276661912,0.1384317280463648,83274637.0,0.142016848930921,95000000.0,141.9745500087738,1552.1896514892578,141.9745500087738,1410.180632829666,0.0276992321014404,0.0
200,1.6348121,0.14368877,,,,,,,,,,,
300,0.38019183,0.13238512,,,,,,,,,,,
356,,,0.1321698506743465,0.131295409224885,83274637.0,0.1343100873663651,95000000.0,262.3399257659912,2288.385624170304,262.3399257659912,2025.983409166336,0.0489370822906494,0.0
400,0.18177511,0.13408652,,,,,,,,,,,
500,0.29803258,0.13332042,,,,,,,,,,,
536,,,0.1292625938969775,0.1301546501736214,83274637.0,0.1325299761513158,95000000.0,382.6359212398529,3026.5711488723755,382.6359212398529,2643.8457453250885,0.0698046684265136,0.0
600,0.30002317,0.12574881,,,,,,,,,,,
700,0.1846525,0.13375592,,,,,,,,,,,
710,,,0.1274444710744439,0.1288158309123825,83274637.0,0.1312211655119243,95000000.0,503.0726554393768,3774.736367940903,503.0726554393768,3271.546605348587,0.0914123058319091,0.0
710,,,,,,,,503.07265543937683,,,,,0.0
