global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,12.38661,2.2004623,,,,,,,,,,,
1,,,2.2031706275430114,2.207357620146396,83274637.0,2.203361937335526,95000000.0,20.696817874908447,811.8782234191895,20.696817874908447,791.1813614368439,0.0,0.0
100,0.5693545,0.13140322,,,,,,,,,,,
174,,,0.129147196797736,0.1306422516674873,83274637.0,0.1332936143297697,95000000.0,141.3282642364502,1571.1408886909485,141.3282642364502,1429.7806239128113,0.0254561901092529,0.0
200,0.20086937,0.121407025,,,,,,,,,,,
300,0.11785255,0.12598956,,,,,,,,,,,
353,,,0.1299885910285531,0.1303026122509734,83274637.0,0.1332337491981907,95000000.0,261.5630805492401,2335.792083024978,261.5630805492401,2074.167997360229,0.0476303100585937,0.0
400,0.17829265,0.13026287,,,,,,,,,,,
500,0.15077616,0.13823679,,,,,,,,,,,
528,,,0.1306462585808908,0.1289755076218652,83274637.0,0.1311948667454769,95000000.0,382.2815315723419,3089.621881723404,382.2815315723419,2707.25012922287,0.0704314708709716,0.0
600,0.06254856,0.12956533,,,,,,,,,,,
700,0.09103789,0.12517393,,,,,,,,,,,
704,,,0.1258806051018665,0.1279568688328348,83274637.0,0.1300169072985197,95000000.0,503.0716018676758,3833.5444662570953,503.0716018676758,3330.354889392853,0.0917263031005859,0.0
800,0.099372216,0.124106735,,,,,,,,,,,
881,,,0.1238755816535192,0.127847446999191,83274637.0,0.1303774217824835,95000000.0,623.3356127738953,4537.850370645523,623.3356127738953,3914.3700618743896,0.1115849018096923,0.0
900,0.07574518,0.12328341,,,,,,,,,,,
1000,0.026798377,0.12489658,,,,,,,,,,,
1055,,,0.1265266846349966,0.1265797298777646,83274637.0,0.1288866024568256,95000000.0,743.6691343784332,5211.580769300461,743.6691343784332,4467.739720821381,0.1323578357696533,0.0
1100,0.023823315,0.12425573,,,,,,,,,,,
1200,0.044067964,0.12859143,,,,,,,,,,,
1230,,,0.1263355424615947,0.1273561412946796,83274637.0,0.1296673816200658,95000000.0,864.1447608470917,5895.948034286499,864.1447608470917,5031.604330778122,0.1529147624969482,0.0
1300,0.057678588,0.122438945,,,,,,,,,,,
1400,0.066534944,0.12234615,,,,,,,,,,,
1406,,,0.1241742543196715,0.1261405536937281,83274637.0,0.1285975913754111,95000000.0,984.3903880119324,6545.6917116642,984.3903880119324,5561.072505235672,0.1762294769287109,0.0
1500,0.00543752,0.123324454,,,,,,,,,,,
1582,,,0.1253591533750295,0.1280352361485113,83274637.0,0.1307697459703947,95000000.0,1104.6974229812622,7211.666041135788,1104.6974229812622,6106.710844278336,0.1986889839172363,0.0
1600,0.07510541,0.12187532,,,,,,,,,,,
1700,0.041349024,0.12422149,,,,,,,,,,,
1758,,,0.1257035227949327,0.1273083934366268,83274637.0,0.1297046809004934,95000000.0,1225.034133195877,7800.613584280014,1225.034133195877,6575.294183254242,0.2196121215820312,0.0
1800,0.04308274,0.12851618,,,,,,,,,,,
1900,0.039352875,0.12701786,,,,,,,,,,,
1938,,,0.1256249028861335,0.1257267376437385,83274637.0,0.128041728669819,95000000.0,1345.5280606746674,8369.339015007019,1345.5280606746674,7023.4987642765045,0.2398529052734375,0.0
2000,0.090864465,0.12464621,,,,,,,,,,,
2100,0.14793293,0.1308479,,,,,,,,,,,
2120,,,0.1241382991414774,0.1255492951942877,83274637.0,0.1282170404913651,95000000.0,1466.043443441391,9019.76952624321,1466.043443441391,7553.38635969162,0.2604985237121582,0.0
2200,0.03164003,0.11424696,,,,,,,,,,,
2300,0.055557758,0.12747416,,,,,,,,,,,
2304,,,0.1246741748291928,0.1254888337270311,83274637.0,0.1279235590049342,95000000.0,1586.1017668247223,9694.69896888733,1586.1017668247223,8108.227662086487,0.283663272857666,0.0
2400,0.07666359,0.11667603,,,,,,,,,,,
2483,,,0.1236257472268815,0.1254072304426275,83274637.0,0.127773668122944,95000000.0,1706.623078107834,10359.79483795166,1706.623078107834,8652.772971630096,0.3064043521881103,0.0
2500,0.0048401435,0.12977293,,,,,,,,,,,
2600,0.07137809,0.12829635,,,,,,,,,,,
2656,,,0.1260565012201385,0.1254424309452971,83274637.0,0.1275487296977796,95000000.0,1826.897191762924,10980.030990362167,1826.897191762924,9152.706606388092,0.3282737731933594,0.0
2700,0.03853528,0.12711158,,,,,,,,,,,
2800,0.007203618,0.1288493,,,,,,,,,,,
2834,,,0.1254498856200737,0.1264268429546149,83274637.0,0.1289712224198191,95000000.0,1947.4866507053373,11640.97617340088,1947.4866507053373,9693.034829854963,0.3491997718811035,0.0
2900,0.038761128,0.120057836,,,,,,,,,,,
3000,0.008834788,0.124171644,,,,,,,,,,,
3011,,,0.1242673978350072,0.1253213437446915,83274637.0,0.1278950431537829,95000000.0,2068.014272928238,12297.630273103714,2068.014272928238,10229.133717536926,0.3702340126037597,0.0
3100,0.053001855,0.1264368,,,,,,,,,,,
3186,,,0.1258494069436623,0.126131444246184,83274637.0,0.1283698134560033,95000000.0,2188.01198887825,12956.891145944595,2188.01198887825,10768.36806988716,0.3925802707672119,0.0
3200,0.03141183,0.12194093,,,,,,,,,,,
3300,0.005407627,0.12845899,,,,,,,,,,,
3364,,,0.1258175995482026,0.1250628072034743,83274637.0,0.1274169162520559,95000000.0,2308.104580163956,13648.43028998375,2308.104580163956,11339.785171985626,0.4156002998352051,0.0
3400,0.009379311,0.12587467,,,,,,,,,,,
3500,0.018379249,0.117201954,,,,,,,,,,,
3541,,,0.1227774496231251,0.1250452589643606,83274637.0,0.1273749596217105,95000000.0,2428.7325360774994,14316.148665189745,2428.7325360774994,11886.846828222277,0.4379265308380127,0.0
3600,0.0070626796,0.12962286,,,,,,,,,,,
3700,0.019044438,0.115045786,,,,,,,,,,,
