global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,35.79783,32.79661,,,,,,,,,,,,,,
1,,,31.744074,1.3136674093663452,30.629885,1.0528592255037317,5348.0,30.712812,1.0869335608230253,2472.0,61.63840222358704,237.80423617362976,61.63840222358704,176.16575980186462,0.0,0.0
100,4.9785347,11.258562,,,,,,,,,,,,,,
200,3.980467,8.38408,,,,,,,,,,,,,,
300,0.905473,5.8515058,,,,,,,,,,,,,,
400,2.268075,5.8066273,,,,,,,,,,,,,,
500,0.25210822,5.8075275,,,,,,,,,,,,,,
600,1.8980585,5.794202,,,,,,,,,,,,,,
700,1.9807823,5.807613,,,,,,,,,,,,,,
800,1.9299674,5.6895943,,,,,,,,,,,,,,
900,0.5178203,5.546617,,,,,,,,,,,,,,
1000,0.44420972,5.5211096,,,,,,,,,,,,,,
1100,1.188719,5.490101,,,,,,,,,,,,,,
1200,0.5149407,5.4644623,,,,,,,,,,,,,,
1300,1.3837037,5.4590106,,,,,,,,,,,,,,
1400,0.56543475,5.4347568,,,,,,,,,,,,,,
1500,0.9128002,5.4220667,,,,,,,,,,,,,,
1600,0.83870876,5.360405,,,,,,,,,,,,,,
1700,0.78303874,5.3411436,,,,,,,,,,,,,,
1800,0.83973813,5.297888,,,,,,,,,,,,,,
1852,,,5.4764504,0.9406706350023688,5.49561,0.8949670293598,5348.0,5.449678,0.8977921312940508,2472.0,1501.9194774627686,1780.6614487171173,1501.9194774627686,278.6383559703827,0.0383112430572509,0.0
1900,1.0849675,5.265066,,,,,,,,,,,,,,
2000,1.4947904,5.284844,,,,,,,,,,,,,,
2100,1.7541745,5.2131343,,,,,,,,,,,,,,
2200,1.377293,4.9144154,,,,,,,,,,,,,,
2300,1.3156128,4.289609,,,,,,,,,,,,,,
2400,1.0261942,3.9230819,,,,,,,,,,,,,,
2500,1.4842737,3.7251081,,,,,,,,,,,,,,
2600,1.4638226,3.523938,,,,,,,,,,,,,,
2700,0.9930128,3.3334403,,,,,,,,,,,,,,
2800,1.2714779,3.1932278,,,,,,,,,,,,,,
2900,1.2790152,3.1103458,,,,,,,,,,,,,,
3000,2.4618118,2.9880652,,,,,,,,,,,,,,
3100,1.6801593,2.9537683,,,,,,,,,,,,,,
3200,1.0248961,2.8901055,,,,,,,,,,,,,,
3300,1.8582848,2.7577124,,,,,,,,,,,,,,
3400,1.4412074,2.726475,,,,,,,,,,,,,,
3500,2.5619888,2.7160213,,,,,,,,,,,,,,
3600,1.8910499,2.6692903,,,,,,,,,,,,,,
3700,1.4540548,2.5344121,,,,,,,,,,,,,,
3738,,,1.5253851,0.4457555336547426,1.9231946,0.4869710456954729,5348.0,1.5837374,0.440151930615644,2472.0,2942.1907708644867,3345.051083087921,2942.1907708644867,402.6383225917816,0.0901882648468017,0.0
3800,1.1920898,2.5572388,,,,,,,,,,,,,,
3900,1.915844,2.539549,,,,,,,,,,,,,,
4000,1.4987946,2.4315097,,,,,,,,,,,,,,
4100,1.2960432,2.4074924,,,,,,,,,,,,,,
4200,1.4266291,2.3878903,,,,,,,,,,,,,,
4300,1.4954456,2.3482254,,,,,,,,,,,,,,
4400,1.2636805,2.2823882,,,,,,,,,,,,,,
4500,1.0219777,2.3276033,,,,,,,,,,,,,,
4600,1.9090631,2.2146866,,,,,,,,,,,,,,
4700,1.4269973,2.197237,,,,,,,,,,,,,,
4800,1.263098,2.241758,,,,,,,,,,,,,,
4900,1.814272,2.1689296,,,,,,,,,,,,,,
5000,1.648366,2.159793,,,,,,,,,,,,,,
5100,1.6311021,2.2018905,,,,,,,,,,,,,,
5200,1.428193,2.108857,,,,,,,,,,,,,,
5300,2.0984685,2.115424,,,,,,,,,,,,,,
5400,1.1597658,2.1026623,,,,,,,,,,,,,,
5500,2.0387182,2.1377645,,,,,,,,,,,,,,
5600,1.1582894,2.0342343,,,,,,,,,,,,,,
5624,,,0.69205034,0.2300762739113704,1.115383,0.3054249495544378,5348.0,0.7886033,0.2408953344301586,2472.0,4382.339159250259,4910.3230493068695,4382.339159250259,527.6456217765808,0.13558030128479,0.0
5700,1.4147416,2.106114,,,,,,,,,,,,,,
5800,1.9236028,2.0928664,,,,,,,,,,,,,,
5900,1.5341048,2.07709,,,,,,,,,,,,,,
6000,1.4325658,2.02351,,,,,,,,,,,,,,
6100,1.3921415,2.0684776,,,,,,,,,,,,,,
6200,1.3466873,1.9897692,,,,,,,,,,,,,,
6300,1.943803,1.880997,,,,,,,,,,,,,,
6400,2.9605792,1.8962147,,,,,,,,,,,,,,
6500,0.96317685,1.9480314,,,,,,,,,,,,,,
6600,1.2545156,1.9106581,,,,,,,,,,,,,,
6700,1.1853765,1.9118325,,,,,,,,,,,,,,
6800,1.861257,2.0168629,,,,,,,,,,,,,,
6900,1.5900799,1.9726342,,,,,,,,,,,,,,
7000,1.6613524,1.9213008,,,,,,,,,,,,,,
7100,1.6786941,1.9736521,,,,,,,,,,,,,,
7200,1.4231,1.866384,,,,,,,,,,,,,,
7300,1.8922309,1.8564,,,,,,,,,,,,,,
7400,2.1796176,1.9263103,,,,,,,,,,,,,,
7500,1.6095495,1.9107264,,,,,,,,,,,,,,
7511,,,0.55812526,0.1836075359465488,0.9214996,0.2549311140504166,5348.0,0.62627363,0.1895273495419738,2472.0,5822.3632044792175,6476.996702671051,5822.3632044792175,654.0998032093048,0.2613704204559326,0.0
7600,1.2932639,1.8688937,,,,,,,,,,,,,,
7700,1.4028347,1.8793105,,,,,,,,,,,,,,
7800,1.3237133,1.8610321,,,,,,,,,,,,,,
7900,1.3111304,1.8672857,,,,,,,,,,,,,,
8000,1.118943,1.8017081,,,,,,,,,,,,,,
8100,1.3328215,1.7932885,,,,,,,,,,,,,,
8200,1.4116913,1.8050526,,,,,,,,,,,,,,
8300,1.5209231,1.8211434,,,,,,,,,,,,,,
8400,2.442186,1.8832945,,,,,,,,,,,,,,
8500,1.6061839,1.8015118,,,,,,,,,,,,,,
8600,1.6962113,1.8533642,,,,,,,,,,,,,,
8700,2.5818703,1.7811728,,,,,,,,,,,,,,
8800,2.71321,1.9199804,,,,,,,,,,,,,,
8900,1.3500845,1.8349596,,,,,,,,,,,,,,
9000,1.6311666,1.7955294,,,,,,,,,,,,,,
9100,1.5943686,1.767915,,,,,,,,,,,,,,
9200,1.3369346,1.8213277,,,,,,,,,,,,,,
9300,1.3107469,1.7539556,,,,,,,,,,,,,,
9397,,,0.48375353,0.1620387483963556,0.8417788,0.2335846761346631,5348.0,0.5569349,0.1716531594662116,2472.0,7262.436656475067,8044.120781898498,7262.436656475067,781.0338251590729,0.3067080974578857,0.0
9400,1.1507015,1.7800997,,,,,,,,,,,,,,
9500,1.1983086,1.7812239,,,,,,,,,,,,,,
9600,1.7966834,1.7821298,,,,,,,,,,,,,,
9700,1.4204223,1.8206979,,,,,,,,,,,,,,
9800,1.6287727,1.8206923,,,,,,,,,,,,,,
9900,1.4288633,1.788062,,,,,,,,,,,,,,
10000,1.3686085,1.8006865,,,,,,,,,,,,,,
10100,1.5876224,1.7523404,,,,,,,,,,,,,,
10200,1.6105098,1.8024856,,,,,,,,,,,,,,
10300,2.9351165,1.7601116,,,,,,,,,,,,,,
10400,1.5948623,1.7593088,,,,,,,,,,,,,,
10500,1.6312861,1.7805458,,,,,,,,,,,,,,
10600,1.2264384,1.7426463,,,,,,,,,,,,,,
10700,1.3259721,1.7315054,,,,,,,,,,,,,,
10800,1.0016588,1.7351336,,,,,,,,,,,,,,
10900,1.2848552,1.6869179,,,,,,,,,,,,,,
11000,1.1899371,1.6863533,,,,,,,,,,,,,,
11100,1.4834872,1.7245369,,,,,,,,,,,,,,
11200,1.5192153,1.654765,,,,,,,,,,,,,,
11284,,,0.46202686,0.1550378498914383,0.7941428,0.2218446180136516,5348.0,0.51786053,0.1616395507078585,2472.0,8702.407283306122,9611.733711957932,8702.407283306122,908.5561854839324,0.3553688526153564,0.0
11300,1.294901,1.7558303,,,,,,,,,,,,,,
11400,4.1306396,1.6870375,,,,,,,,,,,,,,
11500,1.1750013,1.6940606,,,,,,,,,,,,,,
11600,1.5420686,1.6248817,,,,,,,,,,,,,,
11700,1.4040644,1.7417017,,,,,,,,,,,,,,
11800,1.2112671,1.7846618,,,,,,,,,,,,,,
11900,1.3691139,1.6507908,,,,,,,,,,,,,,
12000,1.2712427,1.6227741,,,,,,,,,,,,,,
12100,1.2856982,1.6755811,,,,,,,,,,,,,,
12200,1.9444603,1.6868259,,,,,,,,,,,,,,
12300,1.2913351,1.682046,,,,,,,,,,,,,,
12400,0.97732615,1.6338359,,,,,,,,,,,,,,
12500,1.2573109,1.6920806,,,,,,,,,,,,,,
12600,1.2513671,1.7317485,,,,,,,,,,,,,,
