global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.6200383,6.924235,,,,,,,,,,,,,,
1,,,0.0012356505030766,6.913387775421143,0.0011599999852478,6.913204193115234,50000.0,0.0009000000427477,6.912788391113281,10000.0,54.62841844558716,91.94727635383606,54.62841844558716,37.31874585151672,0.0,0.0
100,0.6329129,6.773975,,,,,,,,,,,,,,
200,0.7465037,6.536282,,,,,,,,,,,,,,
300,0.95982915,6.284022,,,,,,,,,,,,,,
400,1.1165512,6.067397,,,,,,,,,,,,,,
500,3.514225,5.867711,,,,,,,,,,,,,,
600,4.026978,5.748072,,,,,,,,,,,,,,
700,5.6286983,5.6337185,,,,,,,,,,,,,,
800,2.8015435,5.4849186,,,,,,,,,,,,,,
900,3.454735,5.333139,,,,,,,,,,,,,,
1000,3.2993648,5.2096605,,,,,,,,,,,,,,
1100,4.778411,5.149788,,,,,,,,,,,,,,
1200,3.270858,4.952474,,,,,,,,,,,,,,
1300,3.89275,4.9791474,,,,,,,,,,,,,,
1400,2.9614947,4.8117113,,,,,,,,,,,,,,
1498,,,0.2206433266401291,3.906671285629273,0.1956799924373626,4.073028564453125,50000.0,0.14410001039505,4.532314777374268,10000.0,564.6427550315857,619.5920305252075,564.6427550315857,54.86972761154175,0.027461290359497,0.0
1500,4.586798,4.825165,,,,,,,,,,,,,,
1600,6.0433044,4.5782337,,,,,,,,,,,,,,
1700,3.618445,4.542294,,,,,,,,,,,,,,
1800,4.4393516,4.385808,,,,,,,,,,,,,,
1900,4.8200283,4.4232655,,,,,,,,,,,,,,
2000,4.5906677,4.3478985,,,,,,,,,,,,,,
2100,4.583831,4.266826,,,,,,,,,,,,,,
2200,6.7791686,4.1911054,,,,,,,,,,,,,,
2300,5.1009574,4.167524,,,,,,,,,,,,,,
2400,3.382285,4.260362,,,,,,,,,,,,,,
2500,3.3803794,4.0919905,,,,,,,,,,,,,,
2600,2.8401358,3.9014301,,,,,,,,,,,,,,
2700,5.2869234,4.0112205,,,,,,,,,,,,,,
2800,2.8868582,3.8967924,,,,,,,,,,,,,,
2900,2.94543,3.7278612,,,,,,,,,,,,,,
2996,,,0.4276147782802582,2.6605021953582764,0.3927199840545654,2.8370461463928223,50000.0,0.297400027513504,3.440798282623291,10000.0,1074.7475237846377,1147.5520255565643,1074.7475237846377,72.6463725566864,0.0534431934356689,0.0
3000,2.5017154,3.8263388,,,,,,,,,,,,,,
3100,3.3542213,3.731068,,,,,,,,,,,,,,
3200,3.491069,3.6576293,,,,,,,,,,,,,,
3300,3.9651942,3.7184224,,,,,,,,,,,,,,
3400,5.939327,3.71202,,,,,,,,,,,,,,
3500,3.2744186,3.6457696,,,,,,,,,,,,,,
3600,2.6213188,3.608892,,,,,,,,,,,,,,
3700,2.880082,3.4333398,,,,,,,,,,,,,,
3800,4.2274265,3.4750643,,,,,,,,,,,,,,
3900,3.0832598,3.459722,,,,,,,,,,,,,,
4000,2.1653447,3.452869,,,,,,,,,,,,,,
4100,2.0660894,3.436966,,,,,,,,,,,,,,
4200,3.377137,3.3423138,,,,,,,,,,,,,,
4300,3.0336726,3.4568903,,,,,,,,,,,,,,
4400,3.0644658,3.450463,,,,,,,,,,,,,,
4495,,,0.5091677308082581,2.2395384311676025,0.4733799993991852,2.4117865562438965,50000.0,0.3600000143051147,3.0626771450042725,10000.0,1584.7999064922333,1675.5192453861237,1584.7999064922333,90.48261523246764,0.082270860671997,0.0
4500,4.2536,3.3834085,,,,,,,,,,,,,,
4600,3.4782455,3.4134405,,,,,,,,,,,,,,
4700,2.9038017,3.3974285,,,,,,,,,,,,,,
4800,3.4017296,3.3001404,,,,,,,,,,,,,,
4900,3.359954,3.2087593,,,,,,,,,,,,,,
5000,3.0153053,3.3436935,,,,,,,,,,,,,,
5100,3.7371488,3.2939892,,,,,,,,,,,,,,
5200,2.7449384,3.3273685,,,,,,,,,,,,,,
5300,3.4948936,3.185093,,,,,,,,,,,,,,
5400,2.1336913,3.1847558,,,,,,,,,,,,,,
5500,3.1092262,3.1644542,,,,,,,,,,,,,,
5600,3.3253057,3.241971,,,,,,,,,,,,,,
5700,2.8360271,3.1402307,,,,,,,,,,,,,,
5800,3.6542237,3.1901944,,,,,,,,,,,,,,
5900,3.5126224,3.136337,,,,,,,,,,,,,,
