global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.8343086,11.417841,,,,,,,,,,,,,,,,,
1,,,0.0005254920688457,11.44534397125244,1.533994890135242e-11,0.0004835649742744,11.435457229614258,1.9325308329389087e-10,3000.0,0.0007088489946909,11.452006340026855,0.0,3003.0,43.55995917320252,935.6702518463136,43.55995917320252,892.1102452278137,0.0,0.0
100,0.1420264,8.409472,,,,,,,,,,,,,,,,,
200,0.5711007,7.707692,,,,,,,,,,,,,,,,,
300,0.38994485,7.056957,,,,,,,,,,,,,,,,,
400,0.3701698,6.6082015,,,,,,,,,,,,,,,,,
500,0.49540234,6.187728,,,,,,,,,,,,,,,,,
600,0.4385655,5.800019,,,,,,,,,,,,,,,,,
700,0.37893054,5.612454,,,,,,,,,,,,,,,,,
800,0.5872733,5.395715,,,,,,,,,,,,,,,,,
900,0.38124773,5.1387815,,,,,,,,,,,,,,,,,
1000,0.3896555,4.9890885,,,,,,,,,,,,,,,,,
1100,0.39914003,4.764982,,,,,,,,,,,,,,,,,
1200,0.39720193,4.634357,,,,,,,,,,,,,,,,,
1300,0.36720532,4.594236,,,,,,,,,,,,,,,,,
1400,0.3655367,4.4628744,,,,,,,,,,,,,,,,,
1500,0.34771642,4.3394947,,,,,,,,,,,,,,,,,
1600,0.32799023,4.264918,,,,,,,,,,,,,,,,,
1700,0.30051228,4.195655,,,,,,,,,,,,,,,,,
1800,0.2820215,4.1855707,,,,,,,,,,,,,,,,,
1900,0.3303616,4.09663,,,,,,,,,,,,,,,,,
2000,0.28080645,4.0164466,,,,,,,,,,,,,,,,,
2100,0.23923913,3.8874056,,,,,,,,,,,,,,,,,
2176,,,0.5262244343757629,2.78768277168274,22.97226410298683,0.531041145324707,2.759220123291016,19.324434387432643,3000.0,0.5276393294334412,2.812014579772949,17.475132855851683,3003.0,883.5905621051788,2256.9832215309143,883.5905621051788,1373.2806668281555,0.0301082134246826,0.0
2200,0.23842052,3.9718676,,,,,,,,,,,,,,,,,
2300,0.2171123,3.8733714,,,,,,,,,,,,,,,,,
2400,0.23994124,3.89985,,,,,,,,,,,,,,,,,
2500,0.21817651,3.8530297,,,,,,,,,,,,,,,,,
2600,0.19128604,3.6894753,,,,,,,,,,,,,,,,,
2700,0.18510143,3.7212431,,,,,,,,,,,,,,,,,
2800,0.18637915,3.6626284,,,,,,,,,,,,,,,,,
2900,0.18165228,3.6750789,,,,,,,,,,,,,,,,,
3000,0.18943588,3.7288308,,,,,,,,,,,,,,,,,
3100,0.17221922,3.65638,,,,,,,,,,,,,,,,,
3200,0.16256799,3.6606557,,,,,,,,,,,,,,,,,
3300,0.16180444,3.624726,,,,,,,,,,,,,,,,,
3400,0.16313927,3.6230295,,,,,,,,,,,,,,,,,
3500,0.15573533,3.5276878,,,,,,,,,,,,,,,,,
3600,0.16707473,3.6119921,,,,,,,,,,,,,,,,,
3700,0.16257544,3.5789268,,,,,,,,,,,,,,,,,
3800,0.15328847,3.5443187,,,,,,,,,,,,,,,,,
3900,0.15048851,3.4620643,,,,,,,,,,,,,,,,,
4000,0.1447807,3.54176,,,,,,,,,,,,,,,,,
4100,0.14054683,3.4179785,,,,,,,,,,,,,,,,,
4200,0.15058073,3.4413378,,,,,,,,,,,,,,,,,
4300,0.14254804,3.3970625,,,,,,,,,,,,,,,,,
4351,,,0.5838760137557983,2.2920870780944824,27.74114104150373,0.5965083837509155,2.182823896408081,23.908241099402044,3000.0,0.5990703701972961,2.167982816696167,22.030351715139567,3003.0,1723.5830252170565,3555.217872142792,1723.5830252170565,1831.414095163345,0.0564281940460205,0.0
4400,0.15025246,3.363075,,,,,,,,,,,,,,,,,
4500,0.13204806,3.447653,,,,,,,,,,,,,,,,,
4600,0.13072442,3.5035985,,,,,,,,,,,,,,,,,
4700,0.12577796,3.3818839,,,,,,,,,,,,,,,,,
4800,0.13504043,3.3498096,,,,,,,,,,,,,,,,,
4900,0.13396406,3.361168,,,,,,,,,,,,,,,,,
5000,0.13268517,3.3700302,,,,,,,,,,,,,,,,,
5100,0.13607748,3.3758907,,,,,,,,,,,,,,,,,
5200,0.14641231,3.3893728,,,,,,,,,,,,,,,,,
5300,0.12592487,3.3567386,,,,,,,,,,,,,,,,,
5400,0.12227954,3.3875449,,,,,,,,,,,,,,,,,
5500,0.119546145,3.3796554,,,,,,,,,,,,,,,,,
5600,0.122936435,3.385033,,,,,,,,,,,,,,,,,
5700,0.12510578,3.3597546,,,,,,,,,,,,,,,,,
5800,0.12394171,3.3639984,,,,,,,,,,,,,,,,,
5900,0.120688386,3.314598,,,,,,,,,,,,,,,,,
6000,0.12310063,3.258966,,,,,,,,,,,,,,,,,
6100,0.13888212,3.356772,,,,,,,,,,,,,,,,,
6200,0.12290481,3.286961,,,,,,,,,,,,,,,,,
6300,0.11800512,3.2718349,,,,,,,,,,,,,,,,,
6400,0.1369796,3.3737714,,,,,,,,,,,,,,,,,
6500,0.119508624,3.292904,,,,,,,,,,,,,,,,,
6526,,,0.6205816864967346,1.9884179830551147,29.32154102300279,0.6201162934303284,1.992302417755127,25.41923948218192,3000.0,0.6253907680511475,1.9496186971664429,24.11898488840548,3003.0,2563.843899488449,4876.738147974014,2563.843899488449,2312.565077781677,0.0835161209106445,0.0
6600,0.11889046,3.2886708,,,,,,,,,,,,,,,,,
6700,0.14285105,3.2704828,,,,,,,,,,,,,,,,,
6800,0.11731196,3.257092,,,,,,,,,,,,,,,,,
6900,0.11973386,3.22646,,,,,,,,,,,,,,,,,
7000,0.12051189,3.3416276,,,,,,,,,,,,,,,,,
7100,0.13331564,3.3088531,,,,,,,,,,,,,,,,,
7200,0.13392648,3.286988,,,,,,,,,,,,,,,,,
7300,0.113945164,3.1387284,,,,,,,,,,,,,,,,,
7400,0.1291339,3.278787,,,,,,,,,,,,,,,,,
7500,0.12289842,3.2172592,,,,,,,,,,,,,,,,,
7600,0.119407356,3.2828593,,,,,,,,,,,,,,,,,
7700,0.11117741,3.205349,,,,,,,,,,,,,,,,,
7800,0.12344526,3.2425437,,,,,,,,,,,,,,,,,
7900,0.123126775,3.3071563,,,,,,,,,,,,,,,,,
8000,0.11733224,3.310172,,,,,,,,,,,,,,,,,
8100,0.117458485,3.1894064,,,,,,,,,,,,,,,,,
8200,0.119096056,3.2761965,,,,,,,,,,,,,,,,,
8300,0.12662117,3.2557948,,,,,,,,,,,,,,,,,
8400,0.12785167,3.2354746,,,,,,,,,,,,,,,,,
8500,0.12625216,3.2657998,,,,,,,,,,,,,,,,,
8600,0.1382325,3.213393,,,,,,,,,,,,,,,,,
8700,0.12012756,3.1961808,,,,,,,,,,,,,,,,,
8701,,,0.61639803647995,2.007830142974853,29.8765283947788,0.6327013969421387,1.8807713985443115,26.342935649346323,3000.0,0.6405206322669983,1.830937147140503,25.37333716264701,3003.0,3404.163049221039,6169.483229398727,3404.163049221039,2764.881962537765,0.1099624633789062,0.0
8800,0.124836385,3.192197,,,,,,,,,,,,,,,,,
8900,0.12010455,3.1467373,,,,,,,,,,,,,,,,,
9000,0.12336855,3.25128,,,,,,,,,,,,,,,,,
9100,0.121190295,3.2591126,,,,,,,,,,,,,,,,,
9200,0.12903063,3.2828422,,,,,,,,,,,,,,,,,
9300,0.11436794,3.1520703,,,,,,,,,,,,,,,,,
9400,0.11979285,3.2175174,,,,,,,,,,,,,,,,,
9500,0.119374044,3.16858,,,,,,,,,,,,,,,,,
9600,0.124720715,3.1047335,,,,,,,,,,,,,,,,,
9700,0.1250972,3.1378405,,,,,,,,,,,,,,,,,
9800,0.12278142,3.2208562,,,,,,,,,,,,,,,,,
9900,0.15123841,3.1407094,,,,,,,,,,,,,,,,,
10000,0.12752207,3.108494,,,,,,,,,,,,,,,,,
10100,0.17429264,3.1301527,,,,,,,,,,,,,,,,,
10200,0.14619198,3.1404462,,,,,,,,,,,,,,,,,
10300,0.12641855,3.2008843,,,,,,,,,,,,,,,,,
10400,0.187476,3.1142151,,,,,,,,,,,,,,,,,
10500,0.120878026,3.1457005,,,,,,,,,,,,,,,,,
10600,0.15075089,3.1995773,,,,,,,,,,,,,,,,,
10700,0.12732945,3.2252386,,,,,,,,,,,,,,,,,
10800,0.16430396,3.085889,,,,,,,,,,,,,,,,,
10877,,,0.6217138767242432,1.9697157144546509,30.05835613178476,0.6394588947296143,1.825040936470032,26.91130820675573,3000.0,0.6470862030982971,1.770144820213318,25.49387176368097,3003.0,4244.2342438697815,7475.960743427277,4244.2342438697815,3231.181228637696,0.1365878582000732,0.0
10900,0.14121187,3.2718563,,,,,,,,,,,,,,,,,
11000,0.16197637,3.2137759,,,,,,,,,,,,,,,,,
11100,0.13289852,3.114516,,,,,,,,,,,,,,,,,
11200,0.12389787,3.2270122,,,,,,,,,,,,,,,,,
11300,0.12348974,3.1607566,,,,,,,,,,,,,,,,,
11400,0.11963311,3.1068804,,,,,,,,,,,,,,,,,
11500,0.12124306,3.1583061,,,,,,,,,,,,,,,,,
11600,0.12532637,3.168829,,,,,,,,,,,,,,,,,
11700,0.15732843,3.1416848,,,,,,,,,,,,,,,,,
11800,0.14239119,3.1641104,,,,,,,,,,,,,,,,,
11900,0.16964063,3.1577747,,,,,,,,,,,,,,,,,
12000,0.14609312,3.1161075,,,,,,,,,,,,,,,,,
12100,0.14738697,3.1592088,,,,,,,,,,,,,,,,,
12200,0.13800141,3.0839388,,,,,,,,,,,,,,,,,
12300,0.2061751,3.2096167,,,,,,,,,,,,,,,,,
12400,0.13696827,3.1151037,,,,,,,,,,,,,,,,,
12500,0.13209012,3.0992296,,,,,,,,,,,,,,,,,
12600,0.1255829,3.1498926,,,,,,,,,,,,,,,,,
12700,0.13282673,3.130026,,,,,,,,,,,,,,,,,
12800,0.14454538,3.1350064,,,,,,,,,,,,,,,,,
12900,0.15529478,3.0618556,,,,,,,,,,,,,,,,,
13000,0.12103328,3.0664616,,,,,,,,,,,,,,,,,
13054,,,0.6385643482208252,1.8391422033309937,31.09621033278197,0.6469727754592896,1.7760032415390017,26.933981459957028,3000.0,0.6555575132369995,1.7145236730575562,26.32989747814878,3003.0,5084.166838884354,8764.319721460342,5084.166838884354,3679.502721309662,0.1643173694610595,0.0
13100,0.12993377,3.1227827,,,,,,,,,,,,,,,,,
13200,0.2218798,3.0969472,,,,,,,,,,,,,,,,,
13300,0.14572859,3.152839,,,,,,,,,,,,,,,,,
13400,0.13060154,3.1283734,,,,,,,,,,,,,,,,,
13500,0.1188495,3.1096919,,,,,,,,,,,,,,,,,
13600,0.12920548,3.0855436,,,,,,,,,,,,,,,,,
13700,0.12622462,3.0759192,,,,,,,,,,,,,,,,,
13800,0.12948431,3.0968678,,,,,,,,,,,,,,,,,
13900,0.14945447,3.0802488,,,,,,,,,,,,,,,,,
14000,0.12596212,3.081353,,,,,,,,,,,,,,,,,
14100,0.13395813,3.0335872,,,,,,,,,,,,,,,,,
