global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,9.603379,1.0514207,,,,,,,,,,,,,,
1,,,0.1701030220304216,1.0582613945007324,0.1671035414541713,1.0620850158931838,3554.0,0.1897081909350129,1.0585817509075677,3581.0,77.16260433197021,280.56018352508545,77.16260433197021,203.397301197052,0.0,0.0
100,0.3743649,0.39612636,,,,,,,,,,,,,,
200,0.43809932,0.43327433,,,,,,,,,,,,,,
300,0.5454029,0.5110959,,,,,,,,,,,,,,
326,,,0.6506480489458356,0.3585429872785295,0.625525857198755,0.3810505864321011,3554.0,0.6469266370034558,0.3818110871068661,3581.0,157.1775667667389,364.93347787857056,157.1775667667389,207.715256690979,0.0281844139099121,0.0
400,0.4654506,0.33927086,,,,,,,,,,,,,,
500,1.3503877,0.27622622,,,,,,,,,,,,,,
563,,,0.6837538991655622,0.3225821767534528,0.6593056047103616,0.3435669632258546,3554.0,0.6786786899390882,0.3457230666735025,3581.0,237.49044704437256,449.29573464393616,237.49044704437256,211.72264623641968,0.0614171028137207,0.0
600,1.1119473,0.35073155,,,,,,,,,,,,,,
700,0.19054684,0.3549122,,,,,,,,,,,,,,
799,,,0.6992579187665667,0.3087806020464216,0.6749966202254502,0.329506791972953,3554.0,0.6936094469945546,0.3319763336991238,3581.0,317.5851860046387,533.4442565441132,317.5851860046387,215.7338922023773,0.0955290794372558,0.0
800,0.38304707,0.28985298,,,,,,,,,,,,,,
900,1.270871,0.31703043,,,,,,,,,,,,,,
1000,0.61508644,0.24174696,,,,,,,,,,,,,,
1063,,,0.7088074684143066,0.3011990274701799,0.6861280313555149,0.3209144708207301,3554.0,0.7039476877748883,0.3236174659334858,3581.0,397.7134277820587,617.6317954063416,397.7134277820587,219.75182723999023,0.1264972686767578,0.0
1100,1.407442,0.290354,,,,,,,,,,,,,,
1200,2.3295434,0.28831133,,,,,,,,,,,,,,
1300,0.38111487,0.2651586,,,,,,,,,,,,,,
1392,,,0.7200910704476493,0.2891568115779331,0.696882103022123,0.3086123318905635,3554.0,0.7146686041564856,0.3108058440488865,3581.0,477.777236700058,701.7495036125183,477.777236700058,223.7642567157745,0.1541876792907714,0.0
1400,0.55477554,0.25980437,,,,,,,,,,,,,,
1500,0.42606696,0.3125773,,,,,,,,,,,,,,
1600,0.19466186,0.2661182,,,,,,,,,,,,,,
1700,0.61369675,0.42572132,,,,,,,,,,,,,,
1724,,,0.7246451377868652,0.2859767505100795,0.7018397926412141,0.3057125608908976,3554.0,0.7194010189411129,0.3075485336018221,3581.0,557.9224722385406,785.9414014816284,557.9224722385406,227.77247548103333,0.1786563396453857,0.0
1800,0.66159856,0.3021755,,,,,,,,,,,,,,
1900,1.0384418,0.31361753,,,,,,,,,,,,,,
2000,0.24591339,0.275624,,,,,,,,,,,,,,
2051,,,0.7278634480067662,0.2819262742996216,0.7052142090118528,0.3010944287026941,3554.0,0.7227409254136414,0.3029417002277645,3581.0,638.0094745159149,870.0792274475098,638.0094745159149,231.78478074073792,0.2035048007965088,0.0
2100,0.2193666,0.26926064,,,,,,,,,,,,,,
2200,0.318465,0.24394514,,,,,,,,,,,,,,
2300,0.17870459,0.3055954,,,,,,,,,,,,,,
2380,,,0.7307705879211426,0.2791358402797154,0.7080642794650394,0.2983652264064259,3554.0,0.7253795667454971,0.3002536989929489,3581.0,718.3629450798035,954.4900498390198,718.3629450798035,235.80494904518127,0.227036714553833,0.0
2400,0.19110394,0.23739484,,,,,,,,,,,,,,
2500,2.2151966,0.31823418,,,,,,,,,,,,,,
2600,0.3177788,0.21940164,,,,,,,,,,,,,,
2700,0.24806815,0.31394154,,,,,,,,,,,,,,
2710,,,0.733734130859375,0.2764689922332763,0.7109241045520892,0.2957960138444358,3554.0,0.7283099360121126,0.2974306738799392,3581.0,798.3644781112671,1038.542922258377,798.3644781112671,239.81876182556152,0.2508180141448974,0.0
2800,0.26903832,0.345607,,,,,,,,,,,,,,
2900,0.4081107,0.33301467,,,,,,,,,,,,,,
3000,0.3409589,0.38103428,,,,,,,,,,,,,,
3040,,,0.7349095344543457,0.2756716864449637,0.7123403812165869,0.2948563059998417,3554.0,0.7296034518116448,0.2966196784025063,3581.0,878.6148228645325,1122.8447513580322,878.6148228645325,243.83396983146667,0.2741718292236328,0.0
3100,0.1373906,0.24256082,,,,,,,,,,,,,,
3200,0.2120855,0.31263736,,,,,,,,,,,,,,
