global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,43.249557,31.411388,,,,,,,,,,,,,,
1,,,31.565243,1.2114091164650271,30.852236,0.960512468984427,5348.0,30.88322,0.9953892714236386,2472.0,117.42566442489624,294.20806646347046,117.42566442489624,176.782329082489,0.0,0.0
100,1.0933528,6.251029,,,,,,,,,,,,,,
200,0.7135616,5.8472004,,,,,,,,,,,,,,
300,0.33182654,5.7984557,,,,,,,,,,,,,,
400,0.2834981,5.787301,,,,,,,,,,,,,,
500,0.6783636,5.711052,,,,,,,,,,,,,,
600,0.49744824,5.6067424,,,,,,,,,,,,,,
700,0.6430475,5.5235605,,,,,,,,,,,,,,
800,1.1639705,5.493522,,,,,,,,,,,,,,
900,0.3671156,5.469474,,,,,,,,,,,,,,
1000,0.6169639,5.454296,,,,,,,,,,,,,,
1100,0.8088679,5.4206862,,,,,,,,,,,,,,
1200,0.5589508,5.3978734,,,,,,,,,,,,,,
1300,0.4847623,5.3403616,,,,,,,,,,,,,,
1397,,,6.506864,0.944635537887994,6.589087,0.8966179750330672,5348.0,6.563922,0.899579550301627,2472.0,1558.0828592777252,1835.983860015869,1558.0828592777252,277.80754494667053,0.041924238204956,0.0
1400,0.9794876,6.1588874,,,,,,,,,,,,,,
1500,0.23404214,5.798512,,,,,,,,,,,,,,
1600,0.3255558,5.793826,,,,,,,,,,,,,,
1700,0.34787965,5.780064,,,,,,,,,,,,,,
1800,0.25728893,5.7671523,,,,,,,,,,,,,,
1900,0.3665727,5.6718373,,,,,,,,,,,,,,
2000,0.49584338,5.589772,,,,,,,,,,,,,,
2100,0.4900444,5.510127,,,,,,,,,,,,,,
2200,1.0246844,5.2230506,,,,,,,,,,,,,,
2300,1.6564935,4.38368,,,,,,,,,,,,,,
2400,1.2855406,3.6957421,,,,,,,,,,,,,,
2500,1.0618242,3.3864157,,,,,,,,,,,,,,
2600,1.3409809,3.1736255,,,,,,,,,,,,,,
2700,1.3395662,2.9585598,,,,,,,,,,,,,,
2800,1.4144582,2.8584983,,,,,,,,,,,,,,
2822,,,4.352737,0.8887196015235863,4.68832,0.866659586587756,5348.0,4.478751,0.8607234984664758,2472.0,2998.017998933792,3380.364869117737,2998.017998933792,382.1538796424866,0.0900280475616455,0.0
2900,1.3881847,2.7455652,,,,,,,,,,,,,,
3000,2.136971,2.7426355,,,,,,,,,,,,,,
3100,1.9377528,2.6226037,,,,,,,,,,,,,,
3200,2.0760622,2.5515504,,,,,,,,,,,,,,
3300,2.8103426,2.486484,,,,,,,,,,,,,,
3400,1.783184,2.4914563,,,,,,,,,,,,,,
3500,1.944941,2.3611526,,,,,,,,,,,,,,
3600,2.3603868,2.344342,,,,,,,,,,,,,,
3700,1.3294206,2.3324275,,,,,,,,,,,,,,
3800,1.5650818,2.282689,,,,,,,,,,,,,,
3900,1.2222586,2.1983907,,,,,,,,,,,,,,
4000,1.5845714,2.1281521,,,,,,,,,,,,,,
4100,1.5490804,2.1049783,,,,,,,,,,,,,,
4200,1.7078145,2.027337,,,,,,,,,,,,,,
4260,,,1.0697067,0.349710876016678,1.4521259,0.3939677727680856,5348.0,1.1314598,0.3439359779010014,2472.0,4438.864394664764,4948.555270910263,4438.864394664764,509.38972425460815,0.1442997455596923,0.0
4300,1.2247127,2.0120318,,,,,,,,,,,,,,
4400,1.7214257,2.060105,,,,,,,,,,,,,,
4500,1.6776356,1.9593194,,,,,,,,,,,,,,
4600,1.5120639,1.9376857,,,,,,,,,,,,,,
4700,1.2227081,1.9202302,,,,,,,,,,,,,,
4800,1.4817822,1.9549488,,,,,,,,,,,,,,
4900,1.3149576,1.8623365,,,,,,,,,,,,,,
5000,1.4267414,1.8099891,,,,,,,,,,,,,,
5100,1.2657657,1.7955846,,,,,,,,,,,,,,
5200,1.4401528,1.7567859,,,,,,,,,,,,,,
5300,1.5417557,1.7922947,,,,,,,,,,,,,,
5400,2.0804281,1.7361904,,,,,,,,,,,,,,
5500,1.482609,1.7442989,,,,,,,,,,,,,,
