global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.5716293,0.7437938,,,,,,,,,,,,,,,,,
1,,,0.4994339644908905,0.7439956068992615,0.0240122972585497,0.5051923394203186,0.7428780198097229,0.0270553664862727,43793.0,0.5055418610572815,0.7430446743965149,0.0288193690078731,43793.0,33.13607931137085,337.958655834198,33.13607931137085,304.8225314617157,0.0,0.0
100,0.435237,0.3776142,,,,,,,,,,,,,,,,,
200,0.31767827,0.26143974,,,,,,,,,,,,,,,,,
300,0.23293169,0.18389548,,,,,,,,,,,,,,,,,
400,0.15426305,0.13065507,,,,,,,,,,,,,,,,,
500,0.11101007,0.093125634,,,,,,,,,,,,,,,,,
600,0.06574015,0.07309144,,,,,,,,,,,,,,,,,
700,0.037667092,0.061394706,,,,,,,,,,,,,,,,,
704,,,0.9868000149726868,0.0620602816343307,0.0383603068230934,0.9842356443405152,0.0706141665577888,0.040939133004603,43793.0,0.9832519888877868,0.0736048594117164,0.0423043211934812,43793.0,273.37004232406616,696.5144164562225,273.37004232406616,423.0918135643005,0.0296335220336914,0.0
800,0.02935118,0.055278137,,,,,,,,,,,,,,,,,
900,0.66305304,0.0689322,,,,,,,,,,,,,,,,,
1000,0.055496607,0.054553527,,,,,,,,,,,,,,,,,
1100,0.055392552,0.055597667,,,,,,,,,,,,,,,,,
1200,0.05846153,0.04690626,,,,,,,,,,,,,,,,,
1300,0.042969704,0.04655066,,,,,,,,,,,,,,,,,
1400,0.09705438,0.047307014,,,,,,,,,,,,,,,,,
1428,,,0.9875357747077942,0.0446317084133625,0.1278739182401648,0.9849188327789308,0.0535354427993297,0.1295315837605528,43793.0,0.9839204549789428,0.0564334243535995,0.1329369258495794,43793.0,513.3344769477844,1057.2016553878784,513.3344769477844,543.7657122612,0.0563359260559082,0.0
1500,0.050236214,0.04598887,,,,,,,,,,,,,,,,,
1600,0.035380863,0.04213469,,,,,,,,,,,,,,,,,
1700,0.039523743,0.042897772,,,,,,,,,,,,,,,,,
1800,0.060865413,0.045862183,,,,,,,,,,,,,,,,,
1900,0.060349092,0.04302883,,,,,,,,,,,,,,,,,
2000,0.06971253,0.04555762,,,,,,,,,,,,,,,,,
2100,0.036873754,0.046504885,,,,,,,,,,,,,,,,,
2151,,,0.9884850382804872,0.0402932204306125,0.198869279528849,0.985601246356964,0.049696784466505,0.1784406827598717,43793.0,0.9846903681755066,0.0525073744356632,0.1781449638083799,43793.0,753.4844801425934,1419.4146213531494,753.4844801425934,665.7803444862366,0.082207441329956,0.0
2200,0.04844646,0.043366734,,,,,,,,,,,,,,,,,
2300,0.04439965,0.044808287,,,,,,,,,,,,,,,,,
2400,0.049544405,0.042211298,,,,,,,,,,,,,,,,,
2500,0.047843393,0.04554378,,,,,,,,,,,,,,,,,
2600,0.05849471,0.042465873,,,,,,,,,,,,,,,,,
2700,0.049273387,0.04349583,,,,,,,,,,,,,,,,,
2800,0.033189993,0.038548976,,,,,,,,,,,,,,,,,
2876,,,0.9888766407966614,0.0378621779382228,0.2408405213754342,0.985923171043396,0.0476721078157424,0.2093752149811633,43793.0,0.9849738478660583,0.0502689853310585,0.2050461794385537,43793.0,993.5403368473052,1781.753738641739,993.5403368473052,788.0141928195953,0.1086759567260742,0.0
