global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.5415308,6.923415,,,,,,,,,,,,,,
1,,,0.0014947385061532,6.912685871124268,0.0010799999581649,6.9129180908203125,50000.0,0.0010000000474974,6.913054466247559,10000.0,83.3795816898346,118.88620448112488,83.3795816898346,35.50648546218872,0.0,0.0
1,0.54134727,6.931064,,,,,,,,,,,,,,
2,0.52255857,6.923621,,,,,,,,,,,,,,
3,0.5447174,6.927761,,,,,,,,,,,,,,
4,0.53001183,6.9298506,,,,,,,,,,,,,,
5,0.5479922,6.9251966,,,,,,,,,,,,,,
6,0.5560035,6.934206,,,,,,,,,,,,,,
7,0.51309884,6.913118,,,,,,,,,,,,,,
8,0.53462124,6.9339037,,,,,,,,,,,,,,
9,0.53463846,6.9233565,,,,,,,,,,,,,,
10,0.52417,6.9235444,,,,,,,,,,,,,,
11,0.5379695,6.9223976,,,,,,,,,,,,,,
12,0.5387003,6.92859,,,,,,,,,,,,,,
13,0.5414462,6.934221,,,,,,,,,,,,,,
14,0.5384616,6.9207797,,,,,,,,,,,,,,
15,0.55349636,6.924247,,,,,,,,,,,,,,
16,0.54323846,6.918151,,,,,,,,,,,,,,
17,0.5435779,6.929977,,,,,,,,,,,,,,
18,0.5427452,6.9251695,,,,,,,,,,,,,,
19,0.53437054,6.928648,,,,,,,,,,,,,,
20,0.5409354,6.93419,,,,,,,,,,,,,,
21,0.53481466,6.9235973,,,,,,,,,,,,,,
22,0.54397607,6.9366584,,,,,,,,,,,,,,
23,0.543568,6.922101,,,,,,,,,,,,,,
24,0.52101505,6.9260035,,,,,,,,,,,,,,
25,0.51944894,6.925957,,,,,,,,,,,,,,
26,0.5247876,6.9274783,,,,,,,,,,,,,,
27,0.5340386,6.929627,,,,,,,,,,,,,,
28,0.53672624,6.924845,,,,,,,,,,,,,,
29,0.54151857,6.92908,,,,,,,,,,,,,,
30,0.54528886,6.929413,,,,,,,,,,,,,,
31,0.54326314,6.9247575,,,,,,,,,,,,,,
32,0.5404137,6.920773,,,,,,,,,,,,,,
33,0.5221911,6.915604,,,,,,,,,,,,,,
34,0.53261554,6.9296694,,,,,,,,,,,,,,
35,0.53328913,6.924119,,,,,,,,,,,,,,
36,0.5314246,6.921348,,,,,,,,,,,,,,
37,0.5441952,6.93079,,,,,,,,,,,,,,
38,0.5228073,6.92198,,,,,,,,,,,,,,
39,0.52947056,6.925385,,,,,,,,,,,,,,
40,0.5356407,6.9218483,,,,,,,,,,,,,,
41,0.538325,6.9302263,,,,,,,,,,,,,,
42,0.5378305,6.931243,,,,,,,,,,,,,,
43,0.52803046,6.9136696,,,,,,,,,,,,,,
44,0.5311873,6.919978,,,,,,,,,,,,,,
45,0.5230203,6.9219956,,,,,,,,,,,,,,
46,0.53407276,6.9310045,,,,,,,,,,,,,,
47,0.5267788,6.9215093,,,,,,,,,,,,,,
48,0.5238028,6.9211507,,,,,,,,,,,,,,
49,0.5313106,6.9286437,,,,,,,,,,,,,,
50,0.535416,6.926974,,,,,,,,,,,,,,
51,0.5202707,6.923933,,,,,,,,,,,,,,
52,0.538466,6.926724,,,,,,,,,,,,,,
53,0.5213266,6.928825,,,,,,,,,,,,,,
54,0.54002017,6.9293814,,,,,,,,,,,,,,
55,0.52704763,6.923755,,,,,,,,,,,,,,
56,0.5375016,6.9196,,,,,,,,,,,,,,
57,0.53388953,6.920879,,,,,,,,,,,,,,
58,0.5362738,6.9146686,,,,,,,,,,,,,,
59,0.51051724,6.9224725,,,,,,,,,,,,,,
60,0.5370091,6.925355,,,,,,,,,,,,,,
61,0.5417141,6.912649,,,,,,,,,,,,,,
62,0.5372446,6.9148865,,,,,,,,,,,,,,
63,0.52381027,6.9209785,,,,,,,,,,,,,,
64,0.53331137,6.9244432,,,,,,,,,,,,,,
65,0.52882653,6.909164,,,,,,,,,,,,,,
66,0.51901895,6.916477,,,,,,,,,,,,,,
67,0.5402424,6.9207983,,,,,,,,,,,,,,
68,0.52593863,6.9135857,,,,,,,,,,,,,,
69,0.5198491,6.9129295,,,,,,,,,,,,,,
70,0.53183603,6.912593,,,,,,,,,,,,,,
71,0.5346648,6.923546,,,,,,,,,,,,,,
72,0.53735787,6.9181256,,,,,,,,,,,,,,
73,0.5377799,6.9162173,,,,,,,,,,,,,,
74,0.54264283,6.912591,,,,,,,,,,,,,,
75,0.53168255,6.913984,,,,,,,,,,,,,,
76,0.5266728,6.9098268,,,,,,,,,,,,,,
77,0.5321479,6.9097557,,,,,,,,,,,,,,
78,0.53302735,6.906717,,,,,,,,,,,,,,
79,0.52566236,6.9185247,,,,,,,,,,,,,,
80,0.5256165,6.906734,,,,,,,,,,,,,,
81,0.5273518,6.9099417,,,,,,,,,,,,,,
82,0.53553975,6.9252763,,,,,,,,,,,,,,
83,0.5306563,6.907163,,,,,,,,,,,,,,
84,0.5199131,6.9068604,,,,,,,,,,,,,,
85,0.52949893,6.918981,,,,,,,,,,,,,,
86,0.52881783,6.907415,,,,,,,,,,,,,,
87,0.53464127,6.915162,,,,,,,,,,,,,,
88,0.52160126,6.9072647,,,,,,,,,,,,,,
89,0.5281246,6.91149,,,,,,,,,,,,,,
90,0.5271982,6.905384,,,,,,,,,,,,,,
91,0.5261102,6.905432,,,,,,,,,,,,,,
92,0.5203849,6.9079113,,,,,,,,,,,,,,
93,0.5154694,6.9104514,,,,,,,,,,,,,,
94,0.53247666,6.908833,,,,,,,,,,,,,,
