global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.1365685,0.9319007,,,,,,,,,,,,,,
1,,,0.2700677939823696,0.9107634680611748,0.2624711620049592,0.9242865240969682,3554.0,0.2839158267756475,0.9218220949106396,3581.0,60.12445306777954,263.2070469856262,60.12445306777954,203.082204580307,0.0,0.0
1,3.8833375,0.9241665,,,,,,,,,,,,,,
2,3.981015,0.88373387,,,,,,,,,,,,,,
3,4.1434546,0.8636581,,,,,,,,,,,,,,
4,4.2007637,0.87040365,,,,,,,,,,,,,,
5,3.908072,0.92147636,,,,,,,,,,,,,,
6,4.071444,0.8875844,,,,,,,,,,,,,,
7,3.6041064,0.94475055,,,,,,,,,,,,,,
8,3.9141057,0.86308277,,,,,,,,,,,,,,
9,3.7964213,0.92521816,,,,,,,,,,,,,,
10,3.3981378,0.84966266,,,,,,,,,,,,,,
11,3.909358,0.83978665,,,,,,,,,,,,,,
12,3.827871,0.869646,,,,,,,,,,,,,,
13,3.8295822,0.80573994,,,,,,,,,,,,,,
14,3.4453278,0.8569719,,,,,,,,,,,,,,
15,3.6912565,0.81210595,,,,,,,,,,,,,,
16,3.870926,0.78420824,,,,,,,,,,,,,,
17,3.2623475,0.80370116,,,,,,,,,,,,,,
18,3.0400233,0.8434138,,,,,,,,,,,,,,
19,2.9644494,0.8450722,,,,,,,,,,,,,,
20,3.305915,0.7443423,,,,,,,,,,,,,,
21,2.6333928,0.8025611,,,,,,,,,,,,,,
22,2.6958065,0.6915494,,,,,,,,,,,,,,
23,2.1868906,0.6647302,,,,,,,,,,,,,,
24,2.4518685,0.6587771,,,,,,,,,,,,,,
25,2.089344,0.6393892,,,,,,,,,,,,,,
26,1.8776363,0.7401982,,,,,,,,,,,,,,
27,1.8651701,0.62944406,,,,,,,,,,,,,,
28,1.6012174,0.606994,,,,,,,,,,,,,,
29,1.5014124,0.5833302,,,,,,,,,,,,,,
30,1.4481375,0.5845589,,,,,,,,,,,,,,
31,1.3801234,0.5374124,,,,,,,,,,,,,,
32,1.303545,0.6526627,,,,,,,,,,,,,,
33,1.3205408,0.5838432,,,,,,,,,,,,,,
34,1.2692338,0.6048738,,,,,,,,,,,,,,
35,1.4234365,0.5862281,,,,,,,,,,,,,,
36,1.4415025,0.5714941,,,,,,,,,,,,,,
37,1.4094664,0.59461814,,,,,,,,,,,,,,
38,1.4130774,0.490429,,,,,,,,,,,,,,
39,1.5518109,0.48950505,,,,,,,,,,,,,,
40,1.506276,0.4767204,,,,,,,,,,,,,,
41,1.4449558,0.45860377,,,,,,,,,,,,,,
42,1.354415,0.46939516,,,,,,,,,,,,,,
43,1.2120073,0.58567655,,,,,,,,,,,,,,
44,1.1748593,0.60189676,,,,,,,,,,,,,,
45,1.1590524,0.44215077,,,,,,,,,,,,,,
46,1.0413585,0.456657,,,,,,,,,,,,,,
47,0.9350006,0.44331303,,,,,,,,,,,,,,
48,0.87892336,0.44077855,,,,,,,,,,,,,,
49,0.81769115,0.4794479,,,,,,,,,,,,,,
50,0.8217437,0.50442576,,,,,,,,,,,,,,
51,0.870142,0.4792373,,,,,,,,,,,,,,
52,0.8177625,0.5464484,,,,,,,,,,,,,,
53,0.9067665,0.36951515,,,,,,,,,,,,,,
54,0.74469024,0.4484548,,,,,,,,,,,,,,
55,0.7202882,0.48820633,,,,,,,,,,,,,,
56,0.82297575,0.41811788,,,,,,,,,,,,,,
57,0.75150347,0.40903765,,,,,,,,,,,,,,
58,0.7976578,0.38757294,,,,,,,,,,,,,,
59,0.5323061,0.45330888,,,,,,,,,,,,,,
60,0.47981617,0.36462456,,,,,,,,,,,,,,
61,0.4451476,0.33967328,,,,,,,,,,,,,,
62,0.4923154,0.46620983,,,,,,,,,,,,,,
63,0.70999604,0.44362408,,,,,,,,,,,,,,
64,0.50397974,0.36076522,,,,,,,,,,,,,,
65,0.6135986,0.3418583,,,,,,,,,,,,,,
66,0.4897204,0.34630153,,,,,,,,,,,,,,
67,0.384908,0.3006528,,,,,,,,,,,,,,
68,0.278652,0.5043528,,,,,,,,,,,,,,
69,0.3453504,0.43029234,,,,,,,,,,,,,,
70,0.32265165,0.35011157,,,,,,,,,,,,,,
71,0.23579684,0.36088184,,,,,,,,,,,,,,
72,0.4437354,0.37966692,,,,,,,,,,,,,,
