global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,37.266582,31.760283,,,,,,,,,,,,,,
1,,,31.859018,1.4581086146221602,31.048227,1.5100842851212142,5348.0,31.04979,1.5169906363617898,2472.0,78.36479377746582,262.0767092704773,78.36479377746582,183.7118556499481,0.0,0.0
1,42.000557,31.807428,,,,,,,,,,,,,,
2,42.39346,32.305294,,,,,,,,,,,,,,
3,44.13635,32.126728,,,,,,,,,,,,,,
4,50.83649,31.635439,,,,,,,,,,,,,,
5,50.78592,32.14432,,,,,,,,,,,,,,
6,60.616356,31.578772,,,,,,,,,,,,,,
7,66.24781,31.778694,,,,,,,,,,,,,,
8,76.65284,31.332983,,,,,,,,,,,,,,
9,81.52853,29.868532,,,,,,,,,,,,,,
10,85.34145,29.577377,,,,,,,,,,,,,,
11,102.10312,28.455069,,,,,,,,,,,,,,
12,106.05017,27.711626,,,,,,,,,,,,,,
13,99.30516,26.583063,,,,,,,,,,,,,,
14,98.311935,25.587608,,,,,,,,,,,,,,
15,95.95707,24.059582,,,,,,,,,,,,,,
16,92.35538,22.756659,,,,,,,,,,,,,,
17,85.86387,21.11238,,,,,,,,,,,,,,
18,76.722534,19.998869,,,,,,,,,,,,,,
19,64.21744,17.07176,,,,,,,,,,,,,,
20,60.494858,17.870914,,,,,,,,,,,,,,
21,50.01445,15.92188,,,,,,,,,,,,,,
22,52.26147,15.716309,,,,,,,,,,,,,,
23,39.70488,15.715903,,,,,,,,,,,,,,
24,19.746435,15.239092,,,,,,,,,,,,,,
25,63.518917,14.44665,,,,,,,,,,,,,,
26,20.562351,13.738674,,,,,,,,,,,,,,
27,21.105268,13.469405,,,,,,,,,,,,,,
28,29.635298,13.501185,,,,,,,,,,,,,,
29,39.393375,14.133578,,,,,,,,,,,,,,
30,43.972157,15.3278,,,,,,,,,,,,,,
31,38.697395,14.042307,,,,,,,,,,,,,,
32,33.11538,13.377241,,,,,,,,,,,,,,
33,23.15946,12.900861,,,,,,,,,,,,,,
34,10.996788,12.993875,,,,,,,,,,,,,,
35,17.448599,12.119917,,,,,,,,,,,,,,
36,32.223454,12.266344,,,,,,,,,,,,,,
37,45.53974,12.351956,,,,,,,,,,,,,,
38,33.95636,12.857348,,,,,,,,,,,,,,
39,27.218987,12.16067,,,,,,,,,,,,,,
40,15.747188,11.774397,,,,,,,,,,,,,,
41,10.211073,12.275851,,,,,,,,,,,,,,
42,14.331193,12.254714,,,,,,,,,,,,,,
43,13.724862,11.833685,,,,,,,,,,,,,,
44,11.296975,11.829743,,,,,,,,,,,,,,
45,11.36019,11.215083,,,,,,,,,,,,,,
46,17.291775,11.593412,,,,,,,,,,,,,,
47,13.125868,11.549749,,,,,,,,,,,,,,
48,20.82114,10.44404,,,,,,,,,,,,,,
49,25.281746,10.283635,,,,,,,,,,,,,,
50,17.292196,9.606578,,,,,,,,,,,,,,
51,10.1174135,9.216839,,,,,,,,,,,,,,
52,11.403396,8.897039,,,,,,,,,,,,,,
53,43.485016,8.145692,,,,,,,,,,,,,,
54,15.6744375,7.5087605,,,,,,,,,,,,,,
55,20.355543,7.478603,,,,,,,,,,,,,,
56,22.202723,7.4446197,,,,,,,,,,,,,,
57,20.657234,7.2708006,,,,,,,,,,,,,,
58,14.202617,6.9659724,,,,,,,,,,,,,,
59,3.79566,6.791211,,,,,,,,,,,,,,
60,19.486164,6.9478364,,,,,,,,,,,,,,
61,23.671879,6.989791,,,,,,,,,,,,,,
62,18.666775,6.8338146,,,,,,,,,,,,,,
63,6.788556,6.684479,,,,,,,,,,,,,,
64,7.6501126,6.604799,,,,,,,,,,,,,,
65,11.506537,6.648628,,,,,,,,,,,,,,
66,10.970193,6.5879335,,,,,,,,,,,,,,
67,6.8296204,6.4581556,,,,,,,,,,,,,,
68,2.8847098,6.3846064,,,,,,,,,,,,,,
69,8.69627,6.3885674,,,,,,,,,,,,,,
70,6.787651,6.3556986,,,,,,,,,,,,,,
71,1.859112,6.274606,,,,,,,,,,,,,,
72,6.6421175,6.2754707,,,,,,,,,,,,,,
73,7.3223314,6.249657,,,,,,,,,,,,,,
74,5.2672434,6.2028365,,,,,,,,,,,,,,
75,3.2987745,6.156694,,,,,,,,,,,,,,
76,6.9909024,6.1601477,,,,,,,,,,,,,,
77,4.8475394,6.1363997,,,,,,,,,,,,,,
78,1.6207399,6.086854,,,,,,,,,,,,,,
79,2.6957161,6.0620003,,,,,,,,,,,,,,
80,1.5794588,6.0360374,,,,,,,,,,,,,,
81,1.091376,6.032334,,,,,,,,,,,,,,
82,2.579108,6.0136538,,,,,,,,,,,,,,
83,1.3808311,5.9853525,,,,,,,,,,,,,,
