global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.3069214,6.9077535,,,,,,,,,,,,,,
1,,,0.001894531189464,6.907755374908447,0.0014599999412894,6.907755374908447,50000.0,0.0010000000474974,6.907754898071289,10000.0,77.29932999610901,117.59253668785097,77.29932999610901,40.29310250282288,0.0,0.0
1,0.2853266,6.9077535,,,,,,,,,,,,,,
2,0.3029205,6.9077535,,,,,,,,,,,,,,
3,0.28771985,6.907757,,,,,,,,,,,,,,
4,0.30439192,6.907753,,,,,,,,,,,,,,
5,0.30152923,6.907755,,,,,,,,,,,,,,
6,0.30535477,6.907752,,,,,,,,,,,,,,
7,0.30886555,6.907752,,,,,,,,,,,,,,
8,0.2953025,6.907757,,,,,,,,,,,,,,
9,0.29023606,6.9077544,,,,,,,,,,,,,,
10,0.28967848,6.907742,,,,,,,,,,,,,,
11,0.30287716,6.9077415,,,,,,,,,,,,,,
12,0.29404017,6.9077406,,,,,,,,,,,,,,
13,0.2943326,6.907737,,,,,,,,,,,,,,
14,0.3075719,6.9077463,,,,,,,,,,,,,,
15,0.29873392,6.907729,,,,,,,,,,,,,,
16,0.29603547,6.907715,,,,,,,,,,,,,,
17,0.29981658,6.907719,,,,,,,,,,,,,,
18,0.30031592,6.907753,,,,,,,,,,,,,,
19,0.29898858,6.9077053,,,,,,,,,,,,,,
20,0.28955123,6.9077306,,,,,,,,,,,,,,
21,0.30171734,6.9077034,,,,,,,,,,,,,,
22,0.29891667,6.9077616,,,,,,,,,,,,,,
23,0.31083843,6.90774,,,,,,,,,,,,,,
24,0.3224885,6.9076514,,,,,,,,,,,,,,
25,0.3048531,6.907714,,,,,,,,,,,,,,
26,0.30201507,6.9077,,,,,,,,,,,,,,
27,0.31100962,6.907682,,,,,,,,,,,,,,
28,0.30595547,6.9076924,,,,,,,,,,,,,,
29,0.3028513,6.907642,,,,,,,,,,,,,,
30,0.29863006,6.9077034,,,,,,,,,,,,,,
31,0.30026045,6.9075894,,,,,,,,,,,,,,
32,0.300051,6.9075646,,,,,,,,,,,,,,
33,0.29214078,6.9077578,,,,,,,,,,,,,,
34,0.31212318,6.907689,,,,,,,,,,,,,,
35,0.3012847,6.9076834,,,,,,,,,,,,,,
36,0.30952346,6.907482,,,,,,,,,,,,,,
37,0.30220574,6.9076395,,,,,,,,,,,,,,
38,0.29646915,6.9075613,,,,,,,,,,,,,,
39,0.3094119,6.907456,,,,,,,,,,,,,,
40,0.308727,6.9074745,,,,,,,,,,,,,,
41,0.30592057,6.907406,,,,,,,,,,,,,,
42,0.3171988,6.9073353,,,,,,,,,,,,,,
43,0.3150376,6.9075665,,,,,,,,,,,,,,
44,0.31108576,6.907397,,,,,,,,,,,,,,
45,0.31403345,6.9075627,,,,,,,,,,,,,,
46,0.31141937,6.9073105,,,,,,,,,,,,,,
47,0.31380877,6.9071574,,,,,,,,,,,,,,
48,0.30918124,6.9070373,,,,,,,,,,,,,,
49,0.3201546,6.907059,,,,,,,,,,,,,,
50,0.29167965,6.9071426,,,,,,,,,,,,,,
51,0.29234043,6.9071126,,,,,,,,,,,,,,
52,0.3248737,6.9069967,,,,,,,,,,,,,,
53,0.30730048,6.907007,,,,,,,,,,,,,,
54,0.30408913,6.906848,,,,,,,,,,,,,,
55,0.3268724,6.9067116,,,,,,,,,,,,,,
56,0.29098448,6.907281,,,,,,,,,,,,,,
57,0.3009187,6.9070706,,,,,,,,,,,,,,
58,0.29020363,6.907227,,,,,,,,,,,,,,
59,0.30063882,6.906791,,,,,,,,,,,,,,
60,0.335961,6.906654,,,,,,,,,,,,,,
61,0.31874207,6.9066906,,,,,,,,,,,,,,
62,0.3089583,6.9067674,,,,,,,,,,,,,,
63,0.29783058,6.906556,,,,,,,,,,,,,,
64,0.31181467,6.906231,,,,,,,,,,,,,,
65,0.31904107,6.906369,,,,,,,,,,,,,,
66,0.30185527,6.9066124,,,,,,,,,,,,,,
67,0.29902947,6.906599,,,,,,,,,,,,,,
68,0.322693,6.9060307,,,,,,,,,,,,,,
69,0.33929628,6.9058285,,,,,,,,,,,,,,
70,0.33374012,6.905778,,,,,,,,,,,,,,
71,0.31858724,6.9058914,,,,,,,,,,,,,,
72,0.30326423,6.906228,,,,,,,,,,,,,,
73,0.34773874,6.9056263,,,,,,,,,,,,,,
74,0.3125201,6.905079,,,,,,,,,,,,,,
75,0.31259915,6.9064503,,,,,,,,,,,,,,
76,0.35147747,6.9051075,,,,,,,,,,,,,,
77,0.3526728,6.905257,,,,,,,,,,,,,,
78,0.35383543,6.9053593,,,,,,,,,,,,,,
79,0.3362546,6.9054503,,,,,,,,,,,,,,
80,0.33910695,6.9048643,,,,,,,,,,,,,,
81,0.33359072,6.9051285,,,,,,,,,,,,,,
82,0.36328056,6.9032774,,,,,,,,,,,,,,
83,0.36805248,6.904448,,,,,,,,,,,,,,
84,0.3596095,6.904001,,,,,,,,,,,,,,
85,0.30588475,6.9047923,,,,,,,,,,,,,,
86,0.3592124,6.903818,,,,,,,,,,,,,,
87,0.34665325,6.9037514,,,,,,,,,,,,,,
88,0.35772163,6.9028816,,,,,,,,,,,,,,
89,0.37695402,6.903302,,,,,,,,,,,,,,
90,0.36426497,6.90421,,,,,,,,,,,,,,
91,0.36890596,6.9029756,,,,,,,,,,,,,,
92,0.33096957,6.903855,,,,,,,,,,,,,,
93,0.35585225,6.9027324,,,,,,,,,,,,,,
94,0.33526605,6.902272,,,,,,,,,,,,,,
95,0.37889135,6.902895,,,,,,,,,,,,,,
96,0.3547691,6.901798,,,,,,,,,,,,,,
97,0.39181554,6.900689,,,,,,,,,,,,,,
98,0.3756265,6.9018993,,,,,,,,,,,,,,
99,0.3209596,6.903617,,,,,,,,,,,,,,
825,,,0.0242578126490116,6.201437473297119,0.0238999985158443,6.216773509979248,50000.0,0.018300000578165,6.294095516204834,10000.0,497.60207295417786,559.3129408359528,497.60207295417786,61.63771653175354,0.0275280475616455,0.0
1764,,,0.0592187494039535,5.598042011260986,0.0557399988174438,5.630059242248535,50000.0,0.0468000024557113,5.791335105895996,10000.0,917.6924340724944,1000.8335483074188,917.6924340724944,82.98606514930725,0.0579109191894531,0.0
2702,,,0.1177539005875587,4.969936847686768,0.1036200001835823,5.062954425811768,50000.0,0.0780000016093254,5.3065266609191895,10000.0,1337.9390399456024,1443.0576572418213,1337.9390399456024,104.88211584091188,0.0889298915863037,0.0
3642,,,0.1650195270776748,4.554100036621094,0.152999997138977,4.617320537567139,50000.0,0.1177000030875206,4.927015781402588,10000.0,1758.0047581195831,1885.823813676834,1758.0047581195831,127.4994490146637,0.1215717792510986,0.0
4580,,,0.2194335907697677,4.156721591949463,0.2057399898767471,4.237255096435547,50000.0,0.1627000123262405,4.598369121551514,10000.0,2178.172621488571,2329.014357566833,2178.172621488571,150.44011282920837,0.1526632308959961,0.0
