global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.7985764,11.316249,,,,,,,,,,,,,,,,,
1,,,0.0005828638095408,11.311227798461914,1.3240335163432986e-08,0.0004835649742744,11.305268287658691,4.384543031917148e-08,3000.0,0.0007088489946909,11.325718879699709,6.302540084181981e-08,3003.0,79.30874943733215,975.1942205429076,79.30874943733215,895.8854269981384,0.0,0.0
1,4.8602486,11.306886,,,,,,,,,,,,,,,,,
2,4.7847757,11.325738,,,,,,,,,,,,,,,,,
3,4.807444,11.318102,,,,,,,,,,,,,,,,,
4,4.7780924,11.312593,,,,,,,,,,,,,,,,,
5,4.842308,11.308956,,,,,,,,,,,,,,,,,
6,4.901787,11.305104,,,,,,,,,,,,,,,,,
7,4.823176,11.30449,,,,,,,,,,,,,,,,,
8,4.816708,11.27075,,,,,,,,,,,,,,,,,
9,4.780089,11.257678,,,,,,,,,,,,,,,,,
10,4.8610907,11.266782,,,,,,,,,,,,,,,,,
11,4.71763,11.21567,,,,,,,,,,,,,,,,,
12,4.8109956,11.206603,,,,,,,,,,,,,,,,,
13,4.722149,11.178611,,,,,,,,,,,,,,,,,
14,4.603151,11.128284,,,,,,,,,,,,,,,,,
15,4.552393,11.078013,,,,,,,,,,,,,,,,,
16,4.5403695,11.057666,,,,,,,,,,,,,,,,,
17,4.468098,11.019426,,,,,,,,,,,,,,,,,
18,4.355496,10.958648,,,,,,,,,,,,,,,,,
19,4.298008,10.92209,,,,,,,,,,,,,,,,,
20,4.152122,10.862565,,,,,,,,,,,,,,,,,
21,4.0767984,10.794672,,,,,,,,,,,,,,,,,
22,3.9523242,10.756569,,,,,,,,,,,,,,,,,
23,3.722136,10.691083,,,,,,,,,,,,,,,,,
24,3.681369,10.62746,,,,,,,,,,,,,,,,,
25,3.5706375,10.571079,,,,,,,,,,,,,,,,,
26,3.4533646,10.498694,,,,,,,,,,,,,,,,,
27,3.2316484,10.437762,,,,,,,,,,,,,,,,,
28,3.1724606,10.372863,,,,,,,,,,,,,,,,,
29,3.0114694,10.315772,,,,,,,,,,,,,,,,,
30,2.91545,10.235429,,,,,,,,,,,,,,,,,
31,2.7930293,10.169975,,,,,,,,,,,,,,,,,
32,2.675085,10.097849,,,,,,,,,,,,,,,,,
33,2.5058908,10.053859,,,,,,,,,,,,,,,,,
34,2.4145157,9.997458,,,,,,,,,,,,,,,,,
35,2.320382,9.909265,,,,,,,,,,,,,,,,,
36,2.1995413,9.875662,,,,,,,,,,,,,,,,,
37,2.0617776,9.832874,,,,,,,,,,,,,,,,,
38,1.9768467,9.765653,,,,,,,,,,,,,,,,,
39,1.8902025,9.692699,,,,,,,,,,,,,,,,,
40,1.8157464,9.628498,,,,,,,,,,,,,,,,,
41,1.7058791,9.586098,,,,,,,,,,,,,,,,,
42,1.6282336,9.531096,,,,,,,,,,,,,,,,,
43,1.5533031,9.433666,,,,,,,,,,,,,,,,,
44,1.4810609,9.410064,,,,,,,,,,,,,,,,,
45,1.4142871,9.336134,,,,,,,,,,,,,,,,,
46,1.3484558,9.312382,,,,,,,,,,,,,,,,,
47,1.276146,9.279947,,,,,,,,,,,,,,,,,
48,1.2152492,9.183544,,,,,,,,,,,,,,,,,
49,1.1417469,9.199786,,,,,,,,,,,,,,,,,
50,1.0594075,9.118027,,,,,,,,,,,,,,,,,
51,1.0054718,9.108023,,,,,,,,,,,,,,,,,
52,0.944897,9.044652,,,,,,,,,,,,,,,,,
53,0.8772293,9.014949,,,,,,,,,,,,,,,,,
54,0.84768695,9.028095,,,,,,,,,,,,,,,,,
55,0.83047986,8.956554,,,,,,,,,,,,,,,,,
56,0.77184266,8.9089775,,,,,,,,,,,,,,,,,
57,0.76118267,8.879248,,,,,,,,,,,,,,,,,
58,0.7245522,8.875692,,,,,,,,,,,,,,,,,
59,0.68884885,8.80668,,,,,,,,,,,,,,,,,
60,0.63493234,8.827212,,,,,,,,,,,,,,,,,
61,0.6116575,8.782948,,,,,,,,,,,,,,,,,
62,0.57345927,8.751005,,,,,,,,,,,,,,,,,
63,0.5478766,8.759991,,,,,,,,,,,,,,,,,
64,0.5406656,8.689797,,,,,,,,,,,,,,,,,
65,0.51101166,8.666259,,,,,,,,,,,,,,,,,
66,0.49421322,8.689695,,,,,,,,,,,,,,,,,
67,0.47621986,8.627669,,,,,,,,,,,,,,,,,
68,0.4430452,8.622004,,,,,,,,,,,,,,,,,
69,0.42897394,8.577949,,,,,,,,,,,,,,,,,
70,0.40811828,8.569576,,,,,,,,,,,,,,,,,
71,0.40907228,8.592728,,,,,,,,,,,,,,,,,
72,0.41048047,8.555346,,,,,,,,,,,,,,,,,
73,0.37897855,8.532643,,,,,,,,,,,,,,,,,
74,0.37071362,8.492843,,,,,,,,,,,,,,,,,
75,0.35225084,8.531224,,,,,,,,,,,,,,,,,
76,0.3481674,8.461453,,,,,,,,,,,,,,,,,
77,0.33447352,8.483045,,,,,,,,,,,,,,,,,
78,0.34576553,8.479455,,,,,,,,,,,,,,,,,
79,0.34086466,8.467822,,,,,,,,,,,,,,,,,
80,0.30339283,8.442915,,,,,,,,,,,,,,,,,
81,0.29128766,8.473246,,,,,,,,,,,,,,,,,
82,0.27931216,8.425987,,,,,,,,,,,,,,,,,
83,0.27910325,8.4287,,,,,,,,,,,,,,,,,
84,0.28495064,8.427568,,,,,,,,,,,,,,,,,
85,0.27927187,8.393246,,,,,,,,,,,,,,,,,
86,0.27710465,8.404373,,,,,,,,,,,,,,,,,
87,0.2782148,8.360506,,,,,,,,,,,,,,,,,
88,0.26981083,8.372548,,,,,,,,,,,,,,,,,
89,0.243952,8.36053,,,,,,,,,,,,,,,,,
90,0.24459544,8.365496,,,,,,,,,,,,,,,,,
91,0.24999188,8.360993,,,,,,,,,,,,,,,,,
92,0.24371323,8.331202,,,,,,,,,,,,,,,,,
93,0.24099602,8.34939,,,,,,,,,,,,,,,,,
94,0.26107624,8.3368845,,,,,,,,,,,,,,,,,
95,0.25240108,8.369078,,,,,,,,,,,,,,,,,
96,0.2404632,8.320278,,,,,,,,,,,,,,,,,
97,0.2478631,8.316068,,,,,,,,,,,,,,,,,
98,0.24853212,8.344167,,,,,,,,,,,,,,,,,
99,0.24297051,8.32007,,,,,,,,,,,,,,,,,
2111,,,0.4846814274787903,3.113054275512696,19.563388241845622,0.4773406386375427,3.171919822692871,15.23306283562894,3000.0,0.4682586789131164,3.290393829345703,13.66205172094708,3003.0,919.5054852962494,2330.8197700977325,919.5054852962494,1411.2057600021362,0.0315413475036621,0.0
4224,,,0.5630022287368774,2.400907278060913,25.894523580238346,0.5732228755950928,2.326899766921997,21.963669634540075,3000.0,0.5729591846466064,2.3269402980804443,20.954010650722232,3003.0,1759.626516342163,3644.5057134628296,1759.626516342163,1884.666256666184,0.0583119392395019,0.0
6336,,,0.6191449761390686,1.931368947029113,29.91574677010357,0.5980210900306702,2.099475145339966,24.01586629568905,3000.0,0.6021032929420471,2.0690019130706787,22.768113426470126,3003.0,2599.6536400318146,4936.562099456787,2599.6536400318146,2336.592005968094,0.0850951671600341,0.0
8448,,,0.5976316332817078,2.075409412384033,28.527569604737984,0.6122552752494812,1.970526337623596,24.65004666432752,3000.0,0.616686999797821,1.9449234008789065,23.04513721003781,3003.0,3439.832954645157,6251.111825704575,3439.832954645157,2810.8577451705933,0.1125688552856445,0.0
10559,,,0.6048622131347656,2.01537823677063,28.707839134017057,0.6195831298828125,1.8947798013687127,25.18697620836397,3000.0,0.624147355556488,1.861234664916992,23.85860780632224,3003.0,4279.855890750885,7526.835498571396,4279.855890750885,3246.4508163928986,0.1437106132507324,0.0
12671,,,0.6336925625801086,1.7906004190444946,30.86332763442005,0.6266258358955383,1.85048246383667,25.525135657574875,3000.0,0.6320260167121887,1.8004635572433472,24.528496755035125,3003.0,5120.028029203415,8831.26991033554,5120.028029203415,3710.606189012528,0.1733160018920898,0.0
14782,,,0.6177471280097961,1.9140641689300537,29.52179030040802,0.6321930289268494,1.805453181266785,26.05583646480437,3000.0,0.6389634609222412,1.7574055194854736,25.025898352303823,3003.0,5960.047550678253,10240.71260380745,5960.047550678253,4279.924938440323,0.2000739574432373,0.0
16894,,,0.6190623641014099,1.9058574438095093,30.1806981777004,0.6376362442970276,1.7717065811157229,26.59191094290342,3000.0,0.6439138054847717,1.7225277423858645,25.57982701395334,3003.0,6800.305576086044,11593.914066553116,6800.305576086044,4792.763391017914,0.2272689342498779,0.0
19006,,,0.6408731937408447,1.7327579259872437,31.010710273284268,0.6396820545196533,1.7402427196502686,26.597949242988445,3000.0,0.6470397114753723,1.688016057014465,25.86830604573202,3003.0,7640.331882476807,13164.364320993423,7640.331882476807,5523.086762666702,0.2531061172485351,0.0
21118,,,0.6292251348495483,1.8164023160934448,30.325765211373284,0.6436870098114014,1.715799331665039,27.043275999163253,3000.0,0.6507582664489746,1.662738800048828,25.898327098159086,3003.0,8480.445712327957,14484.024869441986,8480.445712327957,6002.53057217598,0.2807340621948242,0.0
23229,,,0.6262208223342896,1.8353742361068728,30.082338115734508,0.6441829800605774,1.7053223848342896,26.99048894600072,3000.0,0.6536285281181335,1.6385663747787476,25.99524923222936,3003.0,9320.361885786057,15763.049759149551,9320.361885786057,6441.536430120468,0.3085494041442871,0.0
25340,,,0.6439435482025146,1.6928790807724,31.720411139299003,0.6479770541191101,1.682651400566101,27.223820115435668,3000.0,0.6570449471473694,1.6177064180374146,26.296714661787263,3003.0,10160.42694234848,17085.020526647568,10160.42694234848,6923.341938495636,0.3345341682434082,0.0
27452,,,0.6309964060783386,1.7937620878219604,30.48637844593708,0.6492294073104858,1.6649014949798584,27.389084574835334,3000.0,0.6607983708381653,1.596004605293274,26.7601440174464,3003.0,11000.556866407394,18449.449401140213,11000.556866407394,7447.537346363068,0.3625733852386474,0.0
29564,,,0.6301030516624451,1.7979918718338013,30.28435330266956,0.6502088904380798,1.650510311126709,27.38659059379126,3000.0,0.6597524881362915,1.5873043537139893,26.4510940725053,3003.0,11840.507444381714,19802.470403909683,11840.507444381714,7960.505797863007,0.3890511989593506,0.0
31675,,,0.6496325135231018,1.6481316089630127,31.71400907541961,0.6538666486740112,1.6344372034072876,27.63365839593433,3000.0,0.6625065803527832,1.5707461833953855,26.80927313451616,3003.0,12680.417203187944,21162.066501140594,12680.417203187944,8479.995833873749,0.509361743927002,0.0
33786,,,0.6414348483085632,1.7235174179077148,30.87060312939929,0.65301114320755,1.627530813217163,27.35414967373177,3000.0,0.6656672954559326,1.5534074306488037,26.648423940740507,3003.0,13520.426508903503,22855.488440990448,13520.426508903503,9333.303453207016,0.5384171009063721,0.0
35897,,,0.6395434141159058,1.733738660812378,31.240868790321084,0.6571028232574463,1.6134802103042605,27.95812729159429,3000.0,0.6681657433509827,1.537209153175354,26.89664415073702,3003.0,14360.42574930191,24234.9265935421,14360.42574930191,9872.63926076889,0.5653278827667236,0.0
38008,,,0.6576390862464905,1.6074929237365725,32.558597157209945,0.6582063436508179,1.6032071113586426,27.983235689828884,3000.0,0.6694207191467285,1.5248498916625977,27.251135380449817,3003.0,15200.415078163149,25595.38275742531,15200.415078163149,10393.000882863998,0.5949206352233887,0.0
