global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.6929193,11.094969,,,,,,,,,,,,,,,,,
1,,,0.0006394665106199,11.086710929870604,0.0,0.0004835649742744,11.092111587524414,0.0,3000.0,0.0007088489946909,11.09846019744873,0.0,3003.0,63.85210728645325,966.7713923454284,63.85210728645325,902.9192337989808,0.0,0.0
1,4.6666,11.090227,,,,,,,,,,,,,,,,,
2,4.7140093,11.0866375,,,,,,,,,,,,,,,,,
3,4.6180835,11.090226,,,,,,,,,,,,,,,,,
4,4.59888,11.077786,,,,,,,,,,,,,,,,,
5,4.6164436,11.083269,,,,,,,,,,,,,,,,,
6,4.701949,11.076144,,,,,,,,,,,,,,,,,
7,4.63454,11.067661,,,,,,,,,,,,,,,,,
8,4.635365,11.054066,,,,,,,,,,,,,,,,,
9,4.645722,11.0453,,,,,,,,,,,,,,,,,
10,4.55011,11.023166,,,,,,,,,,,,,,,,,
11,4.4588137,10.996691,,,,,,,,,,,,,,,,,
12,4.412522,10.976453,,,,,,,,,,,,,,,,,
13,4.3834662,10.945447,,,,,,,,,,,,,,,,,
14,4.348105,10.909619,,,,,,,,,,,,,,,,,
15,4.2123218,10.87176,,,,,,,,,,,,,,,,,
16,4.067032,10.844279,,,,,,,,,,,,,,,,,
17,3.9805996,10.809784,,,,,,,,,,,,,,,,,
18,3.930826,10.766553,,,,,,,,,,,,,,,,,
19,3.7717762,10.720188,,,,,,,,,,,,,,,,,
20,3.6474676,10.673267,,,,,,,,,,,,,,,,,
21,3.5547795,10.613972,,,,,,,,,,,,,,,,,
22,3.4036179,10.573613,,,,,,,,,,,,,,,,,
23,3.1772282,10.537482,,,,,,,,,,,,,,,,,
24,3.0796726,10.471722,,,,,,,,,,,,,,,,,
25,2.9645143,10.415288,,,,,,,,,,,,,,,,,
26,2.8022802,10.360739,,,,,,,,,,,,,,,,,
27,2.6537204,10.318526,,,,,,,,,,,,,,,,,
