global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,134.44017,11.046936,,,,,,,,,,,,,,
1,,,0.0009167729294858,727.940185546875,0.0009999999310821,754.6671752929688,50000.0,0.0010000000474974,742.3817749023438,10000.0,57.71402454376221,95.20677518844604,57.71402454376221,37.49265813827515,0.0,0.0
100,55.822918,7.0043488,,,,,,,,,,,,,,
200,26.948814,7.0559874,,,,,,,,,,,,,,
300,12.561398,6.9185405,,,,,,,,,,,,,,
400,8.766632,6.7448254,,,,,,,,,,,,,,
500,7.2175426,6.594353,,,,,,,,,,,,,,
600,6.047228,6.3219147,,,,,,,,,,,,,,
700,4.767061,6.0316787,,,,,,,,,,,,,,
800,4.7128596,5.9549394,,,,,,,,,,,,,,
900,4.7774644,5.802783,,,,,,,,,,,,,,
1000,4.6055493,5.678132,,,,,,,,,,,,,,
1100,4.230288,5.5201893,,,,,,,,,,,,,,
1200,4.8706355,5.424265,,,,,,,,,,,,,,
1300,5.072286,5.286892,,,,,,,,,,,,,,
1400,4.4004707,5.087413,,,,,,,,,,,,,,
1500,,,0.0932118892669677,36.2160530090332,0.0843800008296966,36.430397033691406,50000.0,0.0644000023603439,27.785341262817383,10000.0,567.6917436122894,623.3120665550232,567.6917436122894,55.53790521621704,0.0284109115600585,0.0
1500,3.9277778,4.998851,,,,,,,,,,,,,,
1600,5.144733,4.860303,,,,,,,,,,,,,,
1700,6.600212,4.6792817,,,,,,,,,,,,,,
1800,4.227185,4.700838,,,,,,,,,,,,,,
1900,6.4126773,4.4401293,,,,,,,,,,,,,,
2000,4.689196,4.39724,,,,,,,,,,,,,,
2100,3.0722654,4.166272,,,,,,,,,,,,,,
2200,3.3201413,4.208473,,,,,,,,,,,,,,
2300,3.6121135,4.0293827,,,,,,,,,,,,,,
2400,4.926798,3.978479,,,,,,,,,,,,,,
2500,5.169226,4.01542,,,,,,,,,,,,,,
2600,2.8510783,3.7433772,,,,,,,,,,,,,,
2700,2.6867497,3.8308446,,,,,,,,,,,,,,
2800,3.0994403,3.7508793,,,,,,,,,,,,,,
2900,2.9696727,4.1497936,,,,,,,,,,,,,,
2999,,,0.2987683415412903,3.312041759490967,0.2757200002670288,3.457674980163574,50000.0,0.2077000141143798,4.050905227661133,10000.0,1077.791422843933,1151.5226633548737,1077.791422843933,73.56582260131836,0.0567593574523925,0.0
3000,2.2603488,3.778582,,,,,,,,,,,,,,
3100,3.7748647,3.4630568,,,,,,,,,,,,,,
3200,2.3970838,3.4577012,,,,,,,,,,,,,,
3300,3.0262976,3.601826,,,,,,,,,,,,,,
3400,2.3012464,3.5933917,,,,,,,,,,,,,,
3500,1.9390858,3.538612,,,,,,,,,,,,,,
3600,2.0387986,3.4198234,,,,,,,,,,,,,,
3700,2.484432,3.6118917,,,,,,,,,,,,,,
3800,2.7629666,3.5530229,,,,,,,,,,,,,,
3900,2.764709,3.368147,,,,,,,,,,,,,,
4000,1.6051214,3.2715826,,,,,,,,,,,,,,
4100,2.2749927,3.3034754,,,,,,,,,,,,,,
4200,1.5554982,3.2133417,,,,,,,,,,,,,,
4300,1.7970496,3.3086164,,,,,,,,,,,,,,
4400,2.0514777,3.2163596,,,,,,,,,,,,,,
4500,,,0.125677615404129,5.582884311676025,0.1149799972772598,5.680858612060547,50000.0,0.0814000070095062,6.018637180328369,10000.0,1587.7797088623047,1679.7185623645782,1587.7797088623047,91.68946647644044,0.0858521461486816,0.0
4500,1.7004366,3.9281535,,,,,,,,,,,,,,
4600,2.2729728,3.1534367,,,,,,,,,,,,,,
4700,1.3800373,3.261527,,,,,,,,,,,,,,
4800,13.69087,3.1023343,,,,,,,,,,,,,,
4900,1.1864843,3.0481052,,,,,,,,,,,,,,
5000,1.7106347,3.1059308,,,,,,,,,,,,,,
5100,2.71141,3.2076669,,,,,,,,,,,,,,
5200,2.948155,3.2260292,,,,,,,,,,,,,,
5300,1.4211067,2.8484938,,,,,,,,,,,,,,
5400,1.62111,2.9092207,,,,,,,,,,,,,,
5500,13.020521,3.0460062,,,,,,,,,,,,,,
5600,2.4260027,2.8277814,,,,,,,,,,,,,,
5700,1.4052289,2.9126878,,,,,,,,,,,,,,
5800,4.6388454,2.9871619,,,,,,,,,,,,,,
5900,1.7417029,2.737376,,,,,,,,,,,,,,
6000,1.5746793,2.735531,,,,,,,,,,,,,,
6001,,,0.4931241869926452,2.2196202278137207,0.4555999934673309,2.419624090194702,50000.0,0.351500004529953,3.1360342502593994,10000.0,2097.986585855484,2208.06907081604,2097.986585855484,109.7506546974182,0.1132285594940185,0.0
6100,1.9299023,2.7787437,,,,,,,,,,,,,,
6200,1.819227,2.8012185,,,,,,,,,,,,,,
6300,1.5569705,2.6610074,,,,,,,,,,,,,,
6400,2.6706808,2.7753065,,,,,,,,,,,,,,
6500,1.8875632,2.6545968,,,,,,,,,,,,,,
6600,4.632073,2.7256482,,,,,,,,,,,,,,
6700,3.5597427,2.7105966,,,,,,,,,,,,,,
6800,2.1116045,2.6645577,,,,,,,,,,,,,,
6900,1.9625126,2.7987275,,,,,,,,,,,,,,
7000,0.95509124,2.8107677,,,,,,,,,,,,,,
7100,1.1355004,2.947501,,,,,,,,,,,,,,
7200,1.129918,2.6855462,,,,,,,,,,,,,,
7300,1.4756192,2.5883255,,,,,,,,,,,,,,
7400,5.7814746,2.6569352,,,,,,,,,,,,,,
7500,2.0759919,2.6395288,,,,,,,,,,,,,,
7503,,,0.4973493218421936,2.305870294570923,0.4677799940109253,2.501171588897705,50000.0,0.3555000126361847,3.3253469467163086,10000.0,2608.1613183021545,2736.228234767914,2608.1613183021545,127.65245246887208,0.14176607131958,0.0
7600,1.1133195,2.8412144,,,,,,,,,,,,,,
7700,1.9093169,2.5038178,,,,,,,,,,,,,,
7800,1.0450896,2.6157098,,,,,,,,,,,,,,
7900,1.5768481,2.5430794,,,,,,,,,,,,,,
8000,2.5863152,2.5782156,,,,,,,,,,,,,,
8100,4.7913866,2.599981,,,,,,,,,,,,,,
8200,2.77228,2.547375,,,,,,,,,,,,,,
8300,2.129879,2.5681276,,,,,,,,,,,,,,
8400,1.3341417,2.4327862,,,,,,,,,,,,,,
8500,1.5476121,2.5205746,,,,,,,,,,,,,,
8600,1.3933436,2.4046082,,,,,,,,,,,,,,
8700,1.0963486,2.480451,,,,,,,,,,,,,,
8800,4.134043,2.4531937,,,,,,,,,,,,,,
8900,2.0344946,2.4236019,,,,,,,,,,,,,,
9000,0.9767567,2.3609457,,,,,,,,,,,,,,
9005,,,0.5607262253761292,2.4191272258758545,0.5253399610519409,2.56498122215271,50000.0,0.4074000120162964,3.2760725021362305,10000.0,3118.288176059723,3264.5023148059845,3118.288176059723,145.71746730804443,0.1689424514770507,0.0
9100,2.9823442,2.6845937,,,,,,,,,,,,,,
9200,1.3306049,2.3869305,,,,,,,,,,,,,,
9300,1.7624296,2.3726606,,,,,,,,,,,,,,
9400,1.2514898,2.2756653,,,,,,,,,,,,,,
9500,1.5130528,2.3301692,,,,,,,,,,,,,,
9600,0.95469713,2.3266273,,,,,,,,,,,,,,
9700,1.167321,2.3187156,,,,,,,,,,,,,,
9800,3.503044,2.369194,,,,,,,,,,,,,,
9900,1.2377822,2.541814,,,,,,,,,,,,,,
10000,1.1427907,2.3586764,,,,,,,,,,,,,,
10100,1.9140409,2.3164165,,,,,,,,,,,,,,
10200,3.3621273,2.4152315,,,,,,,,,,,,,,
10300,1.9910096,2.3753724,,,,,,,,,,,,,,
10400,1.979879,2.3846517,,,,,,,,,,,,,,
10500,2.454255,2.4182658,,,,,,,,,,,,,,
10508,,,0.6101323366165161,1.6559789180755615,0.5400399565696716,2.019983053207397,50000.0,0.4150000214576721,2.76174545288086,10000.0,3628.3978402614594,3796.081883430481,3628.3978402614594,167.1030993461609,0.1973700523376464,0.0
10600,1.5433787,2.347078,,,,,,,,,,,,,,
10700,4.380889,2.4022713,,,,,,,,,,,,,,
10800,1.718413,2.2125573,,,,,,,,,,,,,,
10900,2.6116095,2.204861,,,,,,,,,,,,,,
11000,1.8020312,2.1776066,,,,,,,,,,,,,,
11100,1.0654019,2.1788032,,,,,,,,,,,,,,
11200,1.6418333,2.2371855,,,,,,,,,,,,,,
11300,2.2915275,2.516289,,,,,,,,,,,,,,
11400,1.1268718,2.2002826,,,,,,,,,,,,,,
11500,1.3051168,2.26595,,,,,,,,,,,,,,
11600,1.5797691,2.1540802,,,,,,,,,,,,,,
11700,1.7390803,2.0877233,,,,,,,,,,,,,,
11800,2.4073281,2.1705508,,,,,,,,,,,,,,
11900,2.158028,2.2536924,,,,,,,,,,,,,,
12000,2.658078,2.2214613,,,,,,,,,,,,,,
12011,,,0.6205556392669678,1.568556785583496,0.5639599561691284,1.866726040840149,50000.0,0.4434000253677368,2.601893424987793,10000.0,4138.590839624405,4330.694134950638,4138.590839624405,191.4233014583588,0.2397053241729736,0.0
12100,1.1700234,2.189995,,,,,,,,,,,,,,
12200,1.2316803,2.278575,,,,,,,,,,,,,,
12300,1.2106444,2.104308,,,,,,,,,,,,,,
12400,1.8365585,2.2178984,,,,,,,,,,,,,,
12500,5.4204187,2.3050406,,,,,,,,,,,,,,
12600,1.9416746,2.2493834,,,,,,,,,,,,,,
12700,1.8582647,2.3319817,,,,,,,,,,,,,,
12800,2.4417632,2.2140763,,,,,,,,,,,,,,
12900,1.4520087,2.243185,,,,,,,,,,,,,,
13000,3.706281,2.2925873,,,,,,,,,,,,,,
13100,1.705869,2.192886,,,,,,,,,,,,,,
13200,1.029487,2.0529196,,,,,,,,,,,,,,
13300,1.3503745,2.0188837,,,,,,,,,,,,,,
13400,1.3337067,2.1444285,,,,,,,,,,,,,,
13500,1.3086095,2.1956773,,,,,,,,,,,,,,
13514,,,0.6283880472183228,2.5127313137054443,0.5704999566078186,2.962801456451416,50000.0,0.4449000358581543,3.201772451400757,10000.0,4648.793430089951,4864.831896066666,4648.793430089951,215.27380847930908,0.2698307037353515,0.0
13600,1.9829289,2.2131252,,,,,,,,,,,,,,
13700,1.2359263,2.121837,,,,,,,,,,,,,,
13800,2.7272286,2.0630648,,,,,,,,,,,,,,
13900,2.419249,2.243937,,,,,,,,,,,,,,
14000,1.1466329,2.0856702,,,,,,,,,,,,,,
14100,1.4467382,2.0493686,,,,,,,,,,,,,,
14200,2.0430698,2.147493,,,,,,,,,,,,,,
14300,1.4462527,2.0829968,,,,,,,,,,,,,,
14400,1.4613659,2.0664778,,,,,,,,,,,,,,
14500,1.4754124,2.2832685,,,,,,,,,,,,,,
14600,1.3593371,2.1580367,,,,,,,,,,,,,,
14700,2.209156,2.0581234,,,,,,,,,,,,,,
14800,1.0021385,2.0114334,,,,,,,,,,,,,,
14900,1.3044883,2.051286,,,,,,,,,,,,,,
15000,1.482044,2.028416,,,,,,,,,,,,,,
15017,,,0.6032366156578064,5.805497646331787,0.5527999997138977,5.616354465484619,50000.0,0.4333000183105469,8.257375717163086,10000.0,5158.873813390732,5399.557712316513,5158.873813390732,239.8357434272766,0.2977786064147949,0.0
15100,1.2831721,1.999951,,,,,,,,,,,,,,
15200,1.237386,2.0790935,,,,,,,,,,,,,,
15300,2.4062226,2.047214,,,,,,,,,,,,,,
15400,1.288904,2.1835496,,,,,,,,,,,,,,
15500,1.2809736,1.9690259,,,,,,,,,,,,,,
15600,1.297776,2.0202734,,,,,,,,,,,,,,
15700,1.3141528,2.0187662,,,,,,,,,,,,,,
