global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,5.035775,11.382867,,,,,,,,,,,,,,,,,
1,,,0.0005719187902286,11.420100212097168,9.723879531603204e-10,0.0004835649742744,11.41674518585205,1.143639582854939e-09,3000.0,0.0007088489946909,11.399320602416992,1.8477238394503667e-10,3003.0,43.25857186317444,937.5843107700348,43.25857186317444,894.3256900310516,0.0,0.0
100,0.1853379,8.190159,,,,,,,,,,,,,,,,,
200,0.44410062,7.402771,,,,,,,,,,,,,,,,,
300,0.396014,6.72098,,,,,,,,,,,,,,,,,
400,0.44897905,6.196439,,,,,,,,,,,,,,,,,
500,0.40238905,5.750769,,,,,,,,,,,,,,,,,
600,0.39029092,5.33801,,,,,,,,,,,,,,,,,
700,0.42280617,5.139432,,,,,,,,,,,,,,,,,
800,0.5302826,4.7439294,,,,,,,,,,,,,,,,,
900,0.39811918,4.5353756,,,,,,,,,,,,,,,,,
1000,0.4653394,4.299685,,,,,,,,,,,,,,,,,
1100,0.5241985,4.129714,,,,,,,,,,,,,,,,,
1200,0.48516423,3.8235548,,,,,,,,,,,,,,,,,
1300,0.46669167,3.7152214,,,,,,,,,,,,,,,,,
1400,0.47732466,3.6099875,,,,,,,,,,,,,,,,,
1500,0.47043368,3.5045993,,,,,,,,,,,,,,,,,
1600,0.4681086,3.337472,,,,,,,,,,,,,,,,,
1700,0.45903674,3.385815,,,,,,,,,,,,,,,,,
1800,0.4359022,3.208321,,,,,,,,,,,,,,,,,
1900,0.42693466,3.1078272,,,,,,,,,,,,,,,,,
2000,0.39329553,3.1127884,,,,,,,,,,,,,,,,,
2100,0.3982415,3.0901277,,,,,,,,,,,,,,,,,
2173,,,0.5116832852363586,2.88149642944336,21.804145972908124,0.5114381909370422,2.879507780075073,17.86619135157158,3000.0,0.507291853427887,2.9474358558654785,16.14702234439018,3003.0,883.4251439571381,2306.8383922576904,883.4251439571381,1423.3081500530243,0.0289199352264404,0.0
2200,0.38383415,3.0627348,,,,,,,,,,,,,,,,,
2300,0.34016392,2.9224014,,,,,,,,,,,,,,,,,
2400,0.3319645,2.8933535,,,,,,,,,,,,,,,,,
2500,0.34453553,2.9404664,,,,,,,,,,,,,,,,,
2600,0.30148774,2.8032434,,,,,,,,,,,,,,,,,
2700,0.29354075,2.8396585,,,,,,,,,,,,,,,,,
2800,0.26480144,2.6384125,,,,,,,,,,,,,,,,,
2900,0.24337937,2.6852756,,,,,,,,,,,,,,,,,
3000,0.25129846,2.756216,,,,,,,,,,,,,,,,,
3100,0.22446334,2.6068478,,,,,,,,,,,,,,,,,
3200,0.21067174,2.684997,,,,,,,,,,,,,,,,,
3300,0.20758227,2.5005195,,,,,,,,,,,,,,,,,
3400,0.21104944,2.4864707,,,,,,,,,,,,,,,,,
3500,0.22348686,2.5250883,,,,,,,,,,,,,,,,,
3600,0.19119117,2.5313375,,,,,,,,,,,,,,,,,
3700,0.18798183,2.5254061,,,,,,,,,,,,,,,,,
3800,0.17966495,2.4117036,,,,,,,,,,,,,,,,,
3900,0.17993557,2.4363656,,,,,,,,,,,,,,,,,
4000,0.20868565,2.4648283,,,,,,,,,,,,,,,,,
4100,0.18488687,2.4057097,,,,,,,,,,,,,,,,,
4200,0.17646591,2.3820534,,,,,,,,,,,,,,,,,
4300,0.19812316,2.3454983,,,,,,,,,,,,,,,,,
4344,,,0.5742337703704834,2.2880167961120605,27.23784941064286,0.5864651203155518,2.1836421489715576,22.850718791905408,3000.0,0.5902271866798401,2.1656291484832764,21.452660763627588,3003.0,1723.475477218628,3611.946229457855,1723.475477218628,1888.2628264427185,0.0562527179718017,0.0
4400,0.15168697,2.321395,,,,,,,,,,,,,,,,,
4500,0.19421041,2.3179862,,,,,,,,,,,,,,,,,
4600,0.15404756,2.3689961,,,,,,,,,,,,,,,,,
4700,0.1541663,2.2940145,,,,,,,,,,,,,,,,,
4800,0.17995253,2.2924738,,,,,,,,,,,,,,,,,
4900,0.16518332,2.2383606,,,,,,,,,,,,,,,,,
5000,0.14245747,2.1430209,,,,,,,,,,,,,,,,,
5100,0.15176126,2.275673,,,,,,,,,,,,,,,,,
5200,0.14814042,2.2123857,,,,,,,,,,,,,,,,,
5300,0.14600685,2.2004447,,,,,,,,,,,,,,,,,
5400,0.16527988,2.1647747,,,,,,,,,,,,,,,,,
5500,0.14274603,2.2509434,,,,,,,,,,,,,,,,,
5600,0.14626129,2.2282374,,,,,,,,,,,,,,,,,
5700,0.14083229,2.2412841,,,,,,,,,,,,,,,,,
5800,0.14670977,2.22685,,,,,,,,,,,,,,,,,
5900,0.150773,2.2459447,,,,,,,,,,,,,,,,,
6000,0.16599312,2.2077377,,,,,,,,,,,,,,,,,
6100,0.15525475,2.1061265,,,,,,,,,,,,,,,,,
6200,0.13983475,2.1654189,,,,,,,,,,,,,,,,,
6300,0.14836986,2.1957946,,,,,,,,,,,,,,,,,
6400,0.14103273,2.1537025,,,,,,,,,,,,,,,,,
6500,0.14857063,2.1710894,,,,,,,,,,,,,,,,,
6515,,,0.6128817796707153,1.950322270393372,29.55761408971892,0.6172149181365967,1.948013067245484,25.06346201292961,3000.0,0.6181511878967285,1.904709815979004,23.71407552706176,3003.0,2563.4282126426697,4947.787528276444,2563.4282126426697,2384.050572872162,0.0825588703155517,0.0
6600,0.14846642,2.175948,,,,,,,,,,,,,,,,,
6700,0.15875195,2.1548924,,,,,,,,,,,,,,,,,
6800,0.19959232,2.1717799,,,,,,,,,,,,,,,,,
6900,0.1425784,2.1802704,,,,,,,,,,,,,,,,,
7000,0.1388967,2.115363,,,,,,,,,,,,,,,,,
7100,0.15216966,2.1175244,,,,,,,,,,,,,,,,,
7200,0.1497685,2.132481,,,,,,,,,,,,,,,,,
7300,0.16103682,2.019144,,,,,,,,,,,,,,,,,
7400,0.13620476,2.1026433,,,,,,,,,,,,,,,,,
7500,0.1349118,1.9601074,,,,,,,,,,,,,,,,,
7600,0.14696689,2.0634682,,,,,,,,,,,,,,,,,
