global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,4.9969344,11.397876,0.0,,,,,,,,,,,,,,,,,
1,,,,0.0006942310137674,11.396028518676758,7.244188168722256e-11,0.0004835649742744,11.389304161071776,1.9396022398988047e-10,3000.0,0.0007088489946909,11.406098365783691,0.0,3003.0,46.3009352684021,935.4802432060242,46.3009352684021,889.1792619228363,0.0,0.0
100,0.19572923,8.1935005,0.00010706647,,,,,,,,,,,,,,,,,
200,0.42301363,7.278299,0.00021413295,,,,,,,,,,,,,,,,,
300,0.26911685,6.5164447,0.00032119942,,,,,,,,,,,,,,,,,
400,0.3187646,5.9520717,0.0004282659,,,,,,,,,,,,,,,,,
500,0.34336442,5.450235,0.00053533236,,,,,,,,,,,,,,,,,
600,0.40877885,5.122477,0.0006423987,,,,,,,,,,,,,,,,,
700,0.5113552,4.7800074,0.0007494652,,,,,,,,,,,,,,,,,
759,,,,0.3484677970409393,4.482311725616455,8.78527778437513,0.3254888355731964,4.7161641120910645,5.225830465676888,3000.0,0.3066643476486206,4.992925643920898,3.965786293417295,3003.0,886.3493010997772,2507.4199039936066,886.3493010997772,1621.0149874687197,0.0291144847869873,0.0
800,0.42194593,4.488829,0.00085653167,,,,,,,,,,,,,,,,,
900,0.50493073,4.2204666,0.00096359814,,,,,,,,,,,,,,,,,
1000,0.45426545,3.9497573,0.0010706646,,,,,,,,,,,,,,,,,
1100,0.46209347,3.8419895,0.001177731,,,,,,,,,,,,,,,,,
1200,0.43834913,3.5978484,0.0012847974,,,,,,,,,,,,,,,,,
1300,0.4298509,3.6568418,0.0013918639,,,,,,,,,,,,,,,,,
1400,0.41436744,3.465694,0.0014271949,,,,,,,,,,,,,,,,,
1500,0.41119087,3.3931067,0.0014271903,,,,,,,,,,,,,,,,,
1517,,,,0.4757155478000641,3.1906888484954834,19.110450969258164,0.4714882671833038,3.2343122959136963,14.756108500312209,3000.0,0.4634245634078979,3.3466551303863525,13.002658475164322,3003.0,1727.357171535492,3948.547914028168,1727.357171535492,2221.0809757709503,0.0572378635406494,0.0
1600,0.38848934,3.2303874,0.0014271814,,,,,,,,,,,,,,,,,
1700,0.42758104,3.1743822,0.0014271686,,,,,,,,,,,,,,,,,
1800,0.35031778,3.0283403,0.0014271517,,,,,,,,,,,,,,,,,
1900,0.30659488,3.0223296,0.0014271308,,,,,,,,,,,,,,,,,
2000,0.3030299,3.0041237,0.001427106,,,,,,,,,,,,,,,,,
2100,0.2877662,2.907628,0.0014270769,,,,,,,,,,,,,,,,,
2200,0.28613853,2.9054883,0.0014270439,,,,,,,,,,,,,,,,,
2275,,,,0.526828408241272,2.707111597061157,23.54675273196529,0.5332977771759033,2.657877445220948,19.5099485874159,3000.0,0.5310325026512146,2.7049901485443115,17.78272873836796,3003.0,2567.9148650169373,5263.9398329257965,2567.9148650169373,2695.8634610176086,0.0830626487731933,0.0
