global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,21.181274,32.7078,,,,,,,,,,,,,,
1,,,31.462137,4.048737063490411,30.374243,3.7617521264373366,5348.0,30.417536,3.813600633721285,2472.0,53.05962252616882,305.63205885887146,53.05962252616882,252.5723781585693,0.0,0.0
100,0.47595635,5.7714176,,,,,,,,,,,,,,
200,0.9542708,5.6822906,,,,,,,,,,,,,,
300,0.7014008,5.56187,,,,,,,,,,,,,,
400,0.49282944,5.460236,,,,,,,,,,,,,,
500,0.4729324,5.2637916,,,,,,,,,,,,,,
600,0.87368315,4.8220086,,,,,,,,,,,,,,
700,1.086667,4.176667,,,,,,,,,,,,,,
800,1.5510195,3.8346822,,,,,,,,,,,,,,
900,1.5455285,3.564127,,,,,,,,,,,,,,
1000,1.476875,3.4192991,,,,,,,,,,,,,,
1100,2.153731,3.2377067,,,,,,,,,,,,,,
1200,1.910745,3.119409,,,,,,,,,,,,,,
1300,1.4940631,3.0000288,,,,,,,,,,,,,,
1400,2.1623251,2.886544,,,,,,,,,,,,,,
1500,1.6348091,2.8795078,,,,,,,,,,,,,,
1600,1.6094632,2.7076154,,,,,,,,,,,,,,
1681,,,6.4482093,0.944635537887994,6.3549914,0.8966179750330672,5348.0,6.2969413,0.899579550301627,2472.0,1493.4566488265991,1850.425148487091,1493.4566488265991,356.85961413383484,0.0416791439056396,0.0
1700,2.38248,2.7466547,,,,,,,,,,,,,,
1800,2.1192877,2.667878,,,,,,,,,,,,,,
1900,2.8328938,2.5747814,,,,,,,,,,,,,,
2000,2.1241937,2.6043243,,,,,,,,,,,,,,
2100,2.9103382,2.4928982,,,,,,,,,,,,,,
2200,2.499112,2.4486604,,,,,,,,,,,,,,
2300,3.860815,2.4612067,,,,,,,,,,,,,,
2400,3.4926276,2.4272652,,,,,,,,,,,,,,
2500,2.713451,2.3659909,,,,,,,,,,,,,,
2600,2.6634338,2.3322678,,,,,,,,,,,,,,
2700,2.4775255,2.3299756,,,,,,,,,,,,,,
2800,3.640357,2.3273022,,,,,,,,,,,,,,
2900,3.8955314,2.2638834,,,,,,,,,,,,,,
3000,2.8620002,2.2220364,,,,,,,,,,,,,,
3100,3.0356593,2.1632357,,,,,,,,,,,,,,
3200,2.6598299,2.1723082,,,,,,,,,,,,,,
3300,4.5485897,2.165237,,,,,,,,,,,,,,
3393,,,4.9693365,0.9241190102016354,5.0413885,0.8898210992787974,5348.0,4.862543,0.8886722320394858,2472.0,2933.6919107437134,3395.8143258094788,2933.6919107437134,461.8900511264801,0.0905160903930664,0.0
3400,4.056699,2.1576548,,,,,,,,,,,,,,
3500,4.1687837,2.0937967,,,,,,,,,,,,,,
3600,2.5304399,2.1388845,,,,,,,,,,,,,,
3700,3.0077403,2.1057103,,,,,,,,,,,,,,
3800,2.7578714,2.0992296,,,,,,,,,,,,,,
3900,2.8450859,2.0824642,,,,,,,,,,,,,,
4000,3.9855583,2.0931194,,,,,,,,,,,,,,
4100,3.7734406,2.0598779,,,,,,,,,,,,,,
4200,2.4825077,1.9825275,,,,,,,,,,,,,,
4300,3.2689445,2.0214984,,,,,,,,,,,,,,
4400,3.0169713,1.9435276,,,,,,,,,,,,,,
4500,3.3760276,1.9258708,,,,,,,,,,,,,,
4600,3.1929615,1.9443023,,,,,,,,,,,,,,
4700,2.3921595,2.0123858,,,,,,,,,,,,,,
4800,3.1297348,1.9654824,,,,,,,,,,,,,,
4900,2.3600676,1.9340175,,,,,,,,,,,,,,
5000,2.7160382,1.9396901,,,,,,,,,,,,,,
5057,,,1.2093478,0.351587414541065,1.8473562,0.446807688965697,5348.0,1.3140981,0.3629476164361302,2472.0,4374.2251398563385,4967.338926315308,4374.2251398563385,592.7580635547638,0.1409904956817627,0.0
5100,4.025772,1.9457859,,,,,,,,,,,,,,
5200,4.446221,1.9168602,,,,,,,,,,,,,,
5300,4.002433,1.9334214,,,,,,,,,,,,,,
5400,2.65293,1.8528247,,,,,,,,,,,,,,
5500,2.380085,1.916605,,,,,,,,,,,,,,
5600,3.3395345,1.8803658,,,,,,,,,,,,,,
5700,2.5754263,1.8716595,,,,,,,,,,,,,,
5800,8.188754,1.8476685,,,,,,,,,,,,,,
5900,3.177568,1.9180048,,,,,,,,,,,,,,
6000,3.4375062,1.8886644,,,,,,,,,,,,,,
6100,2.8939092,1.8423568,,,,,,,,,,,,,,
6200,3.178836,1.9179897,,,,,,,,,,,,,,
6300,2.9362824,1.7921114,,,,,,,,,,,,,,
6400,2.7279825,1.8162042,,,,,,,,,,,,,,
6500,3.3556159,1.781095,,,,,,,,,,,,,,
6600,3.4927351,1.7969096,,,,,,,,,,,,,,
6700,3.413467,1.8522587,,,,,,,,,,,,,,
6744,,,0.5731881,0.1894773219952036,0.95371825,0.2652036649063016,5348.0,0.6148854,0.1943818170739138,2472.0,5814.422397613525,6540.516666889191,5814.422397613525,725.6163461208344,0.188023567199707,0.0
6800,3.7437248,1.8513106,,,,,,,,,,,,,,
6900,3.8395276,1.8277807,,,,,,,,,,,,,,
7000,4.3696175,1.8451434,,,,,,,,,,,,,,
7100,3.4067678,1.7837505,,,,,,,,,,,,,,
7200,3.739046,1.8183429,,,,,,,,,,,,,,
7300,2.8634944,1.8699118,,,,,,,,,,,,,,
7400,4.421181,1.8046845,,,,,,,,,,,,,,
7500,2.5558898,1.783215,,,,,,,,,,,,,,
7600,2.9271233,1.8049074,,,,,,,,,,,,,,
7700,3.5688996,1.7748768,,,,,,,,,,,,,,
7800,3.0114703,1.7120148,,,,,,,,,,,,,,
7900,3.2565262,1.7792115,,,,,,,,,,,,,,
8000,5.893559,1.7270308,,,,,,,,,,,,,,
8100,4.6235757,1.8866823,,,,,,,,,,,,,,
8200,5.0915318,1.7655116,,,,,,,,,,,,,,
8300,3.7805564,1.671479,,,,,,,,,,,,,,
8400,3.4007547,1.7214873,,,,,,,,,,,,,,
8431,,,0.4606399,0.1559557720324425,0.8079757,0.2312482500941328,5348.0,0.5110601,0.1639144476265919,2472.0,7254.803835630417,8112.800820350647,7254.803835630417,857.3874690532684,0.2431442737579345,0.0
8500,6.8063874,1.8048778,,,,,,,,,,,,,,
8600,3.1499345,1.8010646,,,,,,,,,,,,,,
8700,4.9026227,1.7044158,,,,,,,,,,,,,,
8800,6.2738576,1.7614484,,,,,,,,,,,,,,
8900,3.5343928,1.7598145,,,,,,,,,,,,,,
9000,4.2612767,1.6934922,,,,,,,,,,,,,,
9100,3.5689468,1.7281082,,,,,,,,,,,,,,
9200,3.1047766,1.689123,,,,,,,,,,,,,,
9300,3.3570733,1.7332113,,,,,,,,,,,,,,
9400,3.8540418,1.7407833,,,,,,,,,,,,,,
9500,4.5989466,1.6329623,,,,,,,,,,,,,,
9600,5.8001094,1.6592952,,,,,,,,,,,,,,
9700,4.6397476,1.7324888,,,,,,,,,,,,,,
9800,4.598942,1.679698,,,,,,,,,,,,,,
9900,5.150032,1.6766177,,,,,,,,,,,,,,
10000,5.5686617,1.6919321,,,,,,,,,,,,,,
10071,,,0.44801706,0.1493083525828083,0.7706139,0.2197205943404424,5348.0,0.46989653,0.1516462535291369,2472.0,8694.872484207153,9687.358471155168,8694.872484207153,991.7537271976472,0.2925593852996826,0.0
10100,3.4883637,1.6988435,,,,,,,,,,,,,,
10200,4.0652895,1.7129364,,,,,,,,,,,,,,
10300,16.75027,1.6727183,,,,,,,,,,,,,,
10400,4.2812443,1.7613087,,,,,,,,,,,,,,
10500,3.3909194,1.627468,,,,,,,,,,,,,,
10600,3.444793,1.7482041,,,,,,,,,,,,,,
10700,3.2884214,1.6953387,,,,,,,,,,,,,,
10800,10.096815,1.6847467,,,,,,,,,,,,,,
10900,4.920363,1.6569391,,,,,,,,,,,,,,
11000,2.9097972,1.6553372,,,,,,,,,,,,,,
11100,3.0646005,1.6727173,,,,,,,,,,,,,,
11200,2.9356868,1.6618208,,,,,,,,,,,,,,
11300,2.9304485,1.6747559,,,,,,,,,,,,,,
11400,3.1568944,1.6299769,,,,,,,,,,,,,,
11500,6.507038,1.6450949,,,,,,,,,,,,,,
11600,3.4855895,1.6224909,,,,,,,,,,,,,,
11700,4.1749887,1.6546509,,,,,,,,,,,,,,
11764,,,0.39040807,0.1326282092187267,0.73055196,0.2105293646272821,5348.0,0.44112468,0.1420388763634147,2472.0,10135.123762369156,11261.69901895523,10135.123762369156,1125.713133811951,0.346846342086792,0.0
11800,4.0269694,1.7112205,,,,,,,,,,,,,,
11900,5.709419,1.6633031,,,,,,,,,,,,,,
12000,2.8440595,1.638557,,,,,,,,,,,,,,
12100,6.592904,1.6668056,,,,,,,,,,,,,,
12200,3.0367627,1.5656447,,,,,,,,,,,,,,
12300,2.4890852,1.6063467,,,,,,,,,,,,,,
12400,2.68785,1.579911,,,,,,,,,,,,,,
