global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,162.4571,10.83011,,,,,,,,,,,,,,
1,,,0.0009566326625645,2410.36083984375,0.0009999999310821,2433.56689453125,50000.0,0.0010000000474974,2397.584228515625,10000.0,104.4401032924652,141.2850956916809,104.4401032924652,36.84486961364746,0.0,0.0
100,1.7930199,7.005658,,,,,,,,,,,,,,
200,1.3335727,6.8269024,,,,,,,,,,,,,,
300,1.251239,6.7995424,,,,,,,,,,,,,,
400,1.4079987,6.7487917,,,,,,,,,,,,,,
500,1.9395453,6.643001,,,,,,,,,,,,,,
600,2.1423154,6.550427,,,,,,,,,,,,,,
700,2.74063,6.404279,,,,,,,,,,,,,,
800,2.1934185,6.2697196,,,,,,,,,,,,,,
900,3.2216856,6.111194,,,,,,,,,,,,,,
1000,3.1081479,5.9438963,,,,,,,,,,,,,,
1100,2.5752742,5.8351774,,,,,,,,,,,,,,
1200,4.070956,5.787369,,,,,,,,,,,,,,
1300,3.156751,5.660561,,,,,,,,,,,,,,
1400,5.2342877,5.590174,,,,,,,,,,,,,,
1475,,,0.067462533712387,5.2541279792785645,0.0625799968838691,5.341662883758545,50000.0,0.0503000020980834,5.616525650024414,10000.0,614.3965320587158,669.965338230133,614.3965320587158,55.475366830825806,0.0345091819763183,0.0
1500,3.0317616,5.3874207,,,,,,,,,,,,,,
1600,3.598787,5.3530746,,,,,,,,,,,,,,
1700,3.8552032,5.255395,,,,,,,,,,,,,,
1800,3.7581446,5.240522,,,,,,,,,,,,,,
1900,4.257056,5.112871,,,,,,,,,,,,,,
2000,4.4871187,4.9783254,,,,,,,,,,,,,,
2100,4.7555256,4.982236,,,,,,,,,,,,,,
2200,4.6262035,4.8463626,,,,,,,,,,,,,,
2300,3.8562717,4.769006,,,,,,,,,,,,,,
2400,3.78394,4.670805,,,,,,,,,,,,,,
2500,4.941937,4.4714913,,,,,,,,,,,,,,
2600,6.5083528,4.596094,,,,,,,,,,,,,,
2700,4.5077863,4.4740386,,,,,,,,,,,,,,
2800,4.153007,4.452247,,,,,,,,,,,,,,
2900,6.3517356,4.446747,,,,,,,,,,,,,,
2946,,,0.2148836106061935,3.963478803634644,0.1961399912834167,4.099481582641602,50000.0,0.145900011062622,4.609828472137451,10000.0,1124.3196413516998,1198.8864867687223,1124.3196413516998,74.38587093353271,0.0636916160583496,0.0
3000,4.1367235,4.200026,,,,,,,,,,,,,,
3100,4.594367,4.0180845,,,,,,,,,,,,,,
3200,5.588644,4.146922,,,,,,,,,,,,,,
3300,4.4920945,4.1939173,,,,,,,,,,,,,,
3400,6.2047734,4.079521,,,,,,,,,,,,,,
3500,4.26808,3.9593666,,,,,,,,,,,,,,
3600,5.039452,4.0357924,,,,,,,,,,,,,,
3700,4.914318,3.8862984,,,,,,,,,,,,,,
3800,4.702956,3.937991,,,,,,,,,,,,,,
3900,5.583023,3.8001928,,,,,,,,,,,,,,
4000,4.255724,3.711594,,,,,,,,,,,,,,
4100,4.17664,3.6014726,,,,,,,,,,,,,,
4200,4.4883766,3.5332,,,,,,,,,,,,,,
4300,5.1138077,3.666113,,,,,,,,,,,,,,
4400,4.934449,3.5874488,,,,,,,,,,,,,,
4417,,,0.3098891973495483,3.35792875289917,0.2872999906539917,3.5125343799591064,50000.0,0.2163000106811523,4.159594535827637,10000.0,1634.3275408744812,1727.6950778961182,1634.3275408744812,93.09821963310242,0.0934937000274658,0.0
4500,4.797839,3.7427783,,,,,,,,,,,,,,
4600,5.0107527,3.513805,,,,,,,,,,,,,,
4700,4.469753,3.4981549,,,,,,,,,,,,,,
4800,4.719899,3.4103537,,,,,,,,,,,,,,
4900,4.6988454,3.6007323,,,,,,,,,,,,,,
5000,4.837862,3.448039,,,,,,,,,,,,,,
5100,5.4388185,3.3143892,,,,,,,,,,,,,,
5200,5.295215,3.355015,,,,,,,,,,,,,,
5300,5.0194836,3.4479928,,,,,,,,,,,,,,
5400,4.425091,3.3998656,,,,,,,,,,,,,,
5500,6.0036054,3.2973588,,,,,,,,,,,,,,
5600,4.4423304,3.409236,,,,,,,,,,,,,,
5700,4.6774387,3.2452965,,,,,,,,,,,,,,
5800,4.163723,3.210607,,,,,,,,,,,,,,
5889,,,0.4134247303009033,2.6743617057800293,0.3783800005912781,2.8742265701293945,50000.0,0.2831000089645386,3.592224836349488,10000.0,2144.2441182136536,2256.4234302043915,2144.2441182136536,111.82146692276,0.1231887340545654,0.0
5900,4.230219,3.2695808,,,,,,,,,,,,,,
6000,4.5806828,3.2064261,,,,,,,,,,,,,,
6100,4.7094626,3.2392087,,,,,,,,,,,,,,
6200,4.693821,3.1597998,,,,,,,,,,,,,,
6300,5.1256237,3.107983,,,,,,,,,,,,,,
6400,4.971227,3.1118445,,,,,,,,,,,,,,
6500,4.8403425,3.0862405,,,,,,,,,,,,,,
6600,4.6437144,3.056685,,,,,,,,,,,,,,
6700,4.9871106,2.9158556,,,,,,,,,,,,,,
6800,4.0981197,2.8570015,,,,,,,,,,,,,,
6900,4.128043,2.906172,,,,,,,,,,,,,,
7000,4.7471743,2.9283152,,,,,,,,,,,,,,
7100,4.221442,2.9261808,,,,,,,,,,,,,,
7200,4.5325985,3.005524,,,,,,,,,,,,,,
7300,4.0001664,3.0208385,,,,,,,,,,,,,,
7360,,,0.4611168503761291,2.4433414936065674,0.4265399873256683,2.6427581310272217,50000.0,0.3241000175476074,3.3973822593688965,10000.0,2654.185698986053,2785.353285551071,2654.185698986053,130.72145199775696,0.1523857116699218,0.0
7400,5.4966598,2.9668822,,,,,,,,,,,,,,
7500,4.5659094,2.9540803,,,,,,,,,,,,,,
7600,3.9437459,2.8316731,,,,,,,,,,,,,,
7700,4.3612003,3.0158353,,,,,,,,,,,,,,
7800,4.2169685,2.9319377,,,,,,,,,,,,,,
7900,4.5289063,2.8712986,,,,,,,,,,,,,,
8000,4.5987206,2.850368,,,,,,,,,,,,,,
8100,4.7799673,2.706565,,,,,,,,,,,,,,
8200,4.1570487,2.7603207,,,,,,,,,,,,,,
8300,3.869216,2.7799747,,,,,,,,,,,,,,
8400,5.181916,2.765043,,,,,,,,,,,,,,
8500,3.8750758,2.8242445,,,,,,,,,,,,,,
8600,3.9633255,2.6515105,,,,,,,,,,,,,,
8700,4.11339,2.708466,,,,,,,,,,,,,,
8800,4.0895424,2.690192,,,,,,,,,,,,,,
8832,,,0.4874242544174194,2.265941381454468,0.454719990491867,2.445680618286133,50000.0,0.3557000160217285,3.2120418548583984,10000.0,3164.238871335984,3314.388447999954,3164.238871335984,149.6189205646515,0.1777784824371338,0.0
8900,3.7251735,2.6415033,,,,,,,,,,,,,,
9000,3.6480558,2.7520282,,,,,,,,,,,,,,
9100,4.222237,2.6846573,,,,,,,,,,,,,,
9200,4.4674344,2.6352751,,,,,,,,,,,,,,
9300,3.9646676,2.524876,,,,,,,,,,,,,,
9400,3.861281,2.580734,,,,,,,,,,,,,,
9500,3.6785035,2.6518543,,,,,,,,,,,,,,
9600,4.1983986,2.6650343,,,,,,,,,,,,,,
9700,4.0228586,2.6334882,,,,,,,,,,,,,,
9800,3.7967086,2.6557307,,,,,,,,,,,,,,
9900,3.6774352,2.591688,,,,,,,,,,,,,,
10000,3.5092854,2.5736732,,,,,,,,,,,,,,
10100,4.187066,2.632641,,,,,,,,,,,,,,
10200,3.497774,2.490502,,,,,,,,,,,,,,
10300,4.083368,2.5819297,,,,,,,,,,,,,,
10305,,,0.5193718075752258,2.087597608566284,0.4843399822711944,2.2969205379486084,50000.0,0.367900013923645,3.0735340118408203,10000.0,3674.44579744339,3843.72459936142,3674.44579744339,168.65923047065735,0.2078964710235595,0.0
10400,3.648265,2.339126,,,,,,,,,,,,,,
10500,3.6295564,2.4742515,,,,,,,,,,,,,,
10600,3.3629255,2.4352603,,,,,,,,,,,,,,
10700,3.7921753,2.5557253,,,,,,,,,,,,,,
10800,3.6843994,2.41742,,,,,,,,,,,,,,
10900,3.9933746,2.5065928,,,,,,,,,,,,,,
11000,3.5098321,2.4819822,,,,,,,,,,,,,,
11100,3.6405146,2.5625253,,,,,,,,,,,,,,
11200,3.4012442,2.3911285,,,,,,,,,,,,,,
11300,3.6708286,2.3609347,,,,,,,,,,,,,,
11400,3.291404,2.436212,,,,,,,,,,,,,,
11500,3.8862638,2.2775464,,,,,,,,,,,,,,
11600,3.5492525,2.373424,,,,,,,,,,,,,,
11700,3.4072225,2.505639,,,,,,,,,,,,,,
11777,,,0.5805763602256775,1.762059211730957,0.5186200141906738,2.106038808822632,50000.0,0.3978000283241272,2.863339900970459,10000.0,4184.384849786758,4372.739382266998,4184.384849786758,187.63795971870425,0.2459712028503418,0.0
11800,3.2789161,2.3708532,,,,,,,,,,,,,,
11900,3.3640473,2.4205408,,,,,,,,,,,,,,
12000,3.2433074,2.335568,,,,,,,,,,,,,,
12100,3.4274564,2.396117,,,,,,,,,,,,,,
12200,3.2340932,2.2278109,,,,,,,,,,,,,,
12300,3.1471274,2.289356,,,,,,,,,,,,,,
12400,3.0330284,2.2248187,,,,,,,,,,,,,,
12500,3.0721505,2.2937744,,,,,,,,,,,,,,
12600,3.087066,2.3357666,,,,,,,,,,,,,,
12700,3.0202537,2.2560449,,,,,,,,,,,,,,
12800,3.404655,2.2969975,,,,,,,,,,,,,,
12900,3.079425,2.3946137,,,,,,,,,,,,,,
13000,2.9436269,2.1910667,,,,,,,,,,,,,,
13100,3.3273547,2.3557863,,,,,,,,,,,,,,
13200,3.0071757,2.3615377,,,,,,,,,,,,,,
13249,,,0.5816326141357422,1.7681457996368408,0.5274400115013123,2.064086437225342,50000.0,0.4160000085830688,2.8137338161468506,10000.0,4694.3283014297485,4901.878741264343,4694.3283014297485,206.7396690845489,0.2812201976776123,0.0
13300,3.1599925,2.1769972,,,,,,,,,,,,,,
13400,3.2495477,2.4640133,,,,,,,,,,,,,,
13500,2.9253652,2.2811112,,,,,,,,,,,,,,
13600,3.0959542,2.3245623,,,,,,,,,,,,,,
13700,2.954085,2.2554839,,,,,,,,,,,,,,
13800,2.8781056,2.18263,,,,,,,,,,,,,,
13900,3.0812547,2.4179869,,,,,,,,,,,,,,
14000,2.862066,2.2640226,,,,,,,,,,,,,,
14100,3.0650225,2.286663,,,,,,,,,,,,,,
14200,3.0576584,2.2664511,,,,,,,,,,,,,,
14300,2.8393984,2.1542473,,,,,,,,,,,,,,
14400,2.8926768,2.3353052,,,,,,,,,,,,,,
14500,2.7687292,2.2051563,,,,,,,,,,,,,,
14600,2.834794,2.267992,,,,,,,,,,,,,,
14700,2.689595,2.2487133,,,,,,,,,,,,,,
14722,,,0.6052495241165161,1.6614751815795898,0.551800012588501,1.9587920904159544,50000.0,0.4297000169754028,2.731292963027954,10000.0,5204.485995769501,5431.876356124878,5204.485995769501,226.484355211258,0.3175139427185058,0.0
14800,2.8683777,2.2609835,,,,,,,,,,,,,,
14900,2.6046386,2.1652613,,,,,,,,,,,,,,
15000,2.5922773,2.1725836,,,,,,,,,,,,,,
15100,2.7597811,2.1237605,,,,,,,,,,,,,,
15200,2.5340652,2.1497464,,,,,,,,,,,,,,
15300,2.5275006,2.2501178,,,,,,,,,,,,,,
15400,2.6390529,2.2030914,,,,,,,,,,,,,,
15500,2.6626534,2.0398793,,,,,,,,,,,,,,
15600,2.576068,2.1693513,,,,,,,,,,,,,,
15700,2.6622796,2.158595,,,,,,,,,,,,,,
15800,2.418071,1.9968357,,,,,,,,,,,,,,
15900,2.5949056,2.1418257,,,,,,,,,,,,,,
16000,2.6523845,2.3353293,,,,,,,,,,,,,,
16100,2.3820493,2.0096192,,,,,,,,,,,,,,
16195,,,0.6199178695678711,1.5779932737350464,0.5655999779701233,1.8731670379638672,50000.0,0.4440000355243683,2.6102664470672607,10000.0,5714.558288812637,5961.236829519272,5714.558288812637,245.6682629585266,0.3619232177734375,0.0
16200,2.8259637,2.3165684,,,,,,,,,,,,,,
16300,2.5915053,2.126685,,,,,,,,,,,,,,
16400,2.473149,2.1526284,,,,,,,,,,,,,,
16500,2.6337306,2.0750964,,,,,,,,,,,,,,
16600,2.5246198,2.0852041,,,,,,,,,,,,,,
16700,2.5362992,2.0965428,,,,,,,,,,,,,,
16800,2.4727004,2.0581117,,,,,,,,,,,,,,
16900,2.63469,2.180828,,,,,,,,,,,,,,
17000,2.5684404,2.212241,,,,,,,,,,,,,,
17100,2.496976,2.0524666,,,,,,,,,,,,,,
17200,2.4398048,2.0387201,,,,,,,,,,,,,,
17300,2.4798918,2.1190815,,,,,,,,,,,,,,
17400,2.2913623,2.0287647,,,,,,,,,,,,,,
17500,2.1558638,1.9796163,,,,,,,,,,,,,,
17600,2.4056463,2.2342033,,,,,,,,,,,,,,
17669,,,0.6287069320678711,1.5334385633468628,0.5699999928474426,1.850929617881775,50000.0,0.4497000277042389,2.5900473594665527,10000.0,6224.67036652565,6491.768463850021,6224.67036652565,265.9906611442566,0.3984181880950928,0.0
17700,2.3231509,2.1140802,,,,,,,,,,,,,,
17800,2.2893338,2.092684,,,,,,,,,,,,,,
17900,2.2756207,1.9771094,,,,,,,,,,,,,,
18000,2.280748,2.0391383,,,,,,,,,,,,,,
18100,2.2394333,2.0133643,,,,,,,,,,,,,,
18200,2.2718375,2.0970132,,,,,,,,,,,,,,
18300,2.1478386,2.0060475,,,,,,,,,,,,,,
18400,2.0993633,1.9818262,,,,,,,,,,,,,,
18500,2.2404652,2.1272025,,,,,,,,,,,,,,
18600,2.3470736,1.9989499,,,,,,,,,,,,,,
18700,2.1399016,1.9539196,,,,,,,,,,,,,,
18800,2.2537339,2.0247002,,,,,,,,,,,,,,
18900,2.240808,1.9367414,,,,,,,,,,,,,,
19000,2.0749724,2.0431862,,,,,,,,,,,,,,
19100,2.1753294,1.8571384,,,,,,,,,,,,,,
19142,,,0.6359813213348389,1.4911432266235352,0.5769799947738647,1.8079032897949217,50000.0,0.453900009393692,2.606886148452759,10000.0,6734.820481538773,7026.421687602997,6734.820481538773,290.3844702243805,0.4473896026611328,0.0
19200,2.2453308,2.141265,,,,,,,,,,,,,,
19300,2.2704601,1.9045496,,,,,,,,,,,,,,
19400,2.0871725,2.0123067,,,,,,,,,,,,,,
19500,2.0685873,1.9218415,,,,,,,,,,,,,,
19600,2.132438,2.0413754,,,,,,,,,,,,,,
19700,2.146057,2.079666,,,,,,,,,,,,,,
19800,1.984191,1.9176807,,,,,,,,,,,,,,
19900,2.0224416,1.8701818,,,,,,,,,,,,,,
20000,1.9909166,2.0215046,,,,,,,,,,,,,,
20100,2.0424213,1.9945949,,,,,,,,,,,,,,
20200,1.9099596,1.9302187,,,,,,,,,,,,,,
20300,1.9955534,2.0732534,,,,,,,,,,,,,,
20400,2.252051,1.9841702,,,,,,,,,,,,,,
20500,1.9491512,1.9707764,,,,,,,,,,,,,,
20600,2.1338089,2.0011373,,,,,,,,,,,,,,
20615,,,0.6373166441917419,1.4732892513275146,0.583579957485199,1.7894353866577148,50000.0,0.4558000266551971,2.559093952178955,10000.0,7244.894702672958,7563.015758752823,7244.894702672958,316.8149604797363,0.4777159690856933,0.0
20700,2.0322638,1.9726951,,,,,,,,,,,,,,
20800,2.0401907,2.058872,,,,,,,,,,,,,,
20900,1.9502946,1.9351225,,,,,,,,,,,,,,
21000,2.0480196,2.0796125,,,,,,,,,,,,,,
21100,2.0017323,1.9810725,,,,,,,,,,,,,,
21200,2.14229,1.8091164,,,,,,,,,,,,,,
21300,1.825254,1.9372517,,,,,,,,,,,,,,
21400,1.8597227,1.8944721,,,,,,,,,,,,,,
21500,1.8444011,1.9967091,,,,,,,,,,,,,,
21600,1.9692879,2.0301027,,,,,,,,,,,,,,
21700,1.8764386,2.0172753,,,,,,,,,,,,,,
21800,1.8270074,1.9619831,,,,,,,,,,,,,,
21900,2.033468,1.9568877,,,,,,,,,,,,,,
22000,1.8149745,1.8631973,,,,,,,,,,,,,,
