global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,59.71566,32.506027,,,,,,,,,,,,,,
1,,,7.767889,0.9440268204818524,7.7108808,0.8966179750330672,5348.0,7.7084804,0.899579550301627,2472.0,104.91700100898744,258.71123147010803,104.91700100898744,153.79415154457092,0.0,0.0
100,0.383271,5.8234158,,,,,,,,,,,,,,
200,0.47426236,5.8160048,,,,,,,,,,,,,,
300,0.46109787,5.8004436,,,,,,,,,,,,,,
400,0.75267416,5.778582,,,,,,,,,,,,,,
500,0.44786987,5.8054695,,,,,,,,,,,,,,
600,0.6623685,5.789535,,,,,,,,,,,,,,
700,0.75764465,5.789497,,,,,,,,,,,,,,
800,0.24614634,5.766323,,,,,,,,,,,,,,
900,0.3538629,5.7967997,,,,,,,,,,,,,,
1000,0.87044376,5.77419,,,,,,,,,,,,,,
1100,0.23792906,5.7858396,,,,,,,,,,,,,,
1200,0.22863908,5.7988577,,,,,,,,,,,,,,
1300,0.22169317,5.790996,,,,,,,,,,,,,,
1400,0.99055773,5.7751846,,,,,,,,,,,,,,
1500,0.22991823,5.7822065,,,,,,,,,,,,,,
1600,0.5736635,5.808563,,,,,,,,,,,,,,
1700,0.74485016,5.800182,,,,,,,,,,,,,,
1701,,,5.906129,0.944635537887994,5.8893013,0.8966179750330672,5348.0,5.878803,0.899579550301627,2472.0,1545.0219419002533,1808.4306991100311,1545.0219419002533,263.29557275772095,0.0432171821594238,0.0
1800,0.3183279,5.789435,,,,,,,,,,,,,,
1900,0.3763817,5.8023205,,,,,,,,,,,,,,
2000,1.4763683,5.8006415,,,,,,,,,,,,,,
2100,0.5035517,5.805442,,,,,,,,,,,,,,
2200,0.96473205,5.8027463,,,,,,,,,,,,,,
2300,0.85815775,5.7824435,,,,,,,,,,,,,,
2400,0.22670433,5.78401,,,,,,,,,,,,,,
2500,0.48985234,5.769914,,,,,,,,,,,,,,
2600,1.9187235,5.810026,,,,,,,,,,,,,,
2700,0.3160138,5.7767324,,,,,,,,,,,,,,
2800,0.4152084,5.789236,,,,,,,,,,,,,,
2900,0.40835553,5.6892157,,,,,,,,,,,,,,
3000,0.5923051,5.6147428,,,,,,,,,,,,,,
3100,0.4030504,5.627834,,,,,,,,,,,,,,
3200,0.45279932,5.6420555,,,,,,,,,,,,,,
