global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,30.301249,33.042965,,,,,,,,,,,,,,
1,,,31.429245,4.028184411636091,30.838837,3.524073877405216,5348.0,30.672644,3.817723884386489,2472.0,52.92845606803894,304.0847256183624,52.92845606803894,251.15618562698364,0.0,0.0
100,0.26449832,5.8191056,,,,,,,,,,,,,,
200,0.610377,5.6854415,,,,,,,,,,,,,,
300,0.45025092,5.5547733,,,,,,,,,,,,,,
400,1.3185132,5.4544616,,,,,,,,,,,,,,
500,0.9947088,5.2125955,,,,,,,,,,,,,,
600,1.8043934,4.614647,,,,,,,,,,,,,,
700,2.714185,4.143567,,,,,,,,,,,,,,
800,1.8371055,3.7800074,,,,,,,,,,,,,,
900,1.6104466,3.6244025,,,,,,,,,,,,,,
1000,1.4131999,3.3753364,,,,,,,,,,,,,,
1100,1.7454094,3.178977,,,,,,,,,,,,,,
1200,1.5694404,3.041362,,,,,,,,,,,,,,
1300,3.1672301,3.0632954,,,,,,,,,,,,,,
1400,1.8715303,2.9807847,,,,,,,,,,,,,,
1500,3.4770741,2.894279,,,,,,,,,,,,,,
1600,3.084834,2.7889962,,,,,,,,,,,,,,
1674,,,6.0824056,0.944635537887994,6.035141,0.8966179750330672,5348.0,5.9915557,0.899579550301627,2472.0,1493.3909475803375,1850.2595429420471,1493.3909475803375,356.76250076293945,0.0439646244049072,0.0
1700,2.4044082,2.7371638,,,,,,,,,,,,,,
1800,1.9707732,2.6784048,,,,,,,,,,,,,,
1900,2.258922,2.6541743,,,,,,,,,,,,,,
2000,1.9092585,2.5615888,,,,,,,,,,,,,,
2100,2.0891223,2.5850546,,,,,,,,,,,,,,
2200,2.0271907,2.4948442,,,,,,,,,,,,,,
2300,2.0156727,2.4727578,,,,,,,,,,,,,,
2400,2.2063515,2.4385335,,,,,,,,,,,,,,
2500,2.0782294,2.4015968,,,,,,,,,,,,,,
2600,3.0232975,2.3513713,,,,,,,,,,,,,,
2700,2.0800946,2.3458529,,,,,,,,,,,,,,
2800,2.7625701,2.3665395,,,,,,,,,,,,,,
2900,2.6571128,2.2481184,,,,,,,,,,,,,,
3000,2.601867,2.261995,,,,,,,,,,,,,,
3100,3.203915,2.2436266,,,,,,,,,,,,,,
3200,2.4524775,2.235975,,,,,,,,,,,,,,
3300,4.5567784,2.179912,,,,,,,,,,,,,,
3380,,,4.3741984,0.8999813547132621,4.62522,0.8762370024233179,5348.0,4.31861,0.8704324335303557,2472.0,2933.324919939041,3397.835597753525,2933.324919939041,464.2830591201782,0.0928175449371337,0.0
3400,2.5226862,2.2424984,,,,,,,,,,,,,,
3500,2.5360453,2.1908672,,,,,,,,,,,,,,
3600,2.8201168,2.1236317,,,,,,,,,,,,,,
3700,2.6171513,2.1485004,,,,,,,,,,,,,,
3800,2.2913833,2.0693426,,,,,,,,,,,,,,
3900,4.412414,2.1139812,,,,,,,,,,,,,,
4000,3.361942,2.0911036,,,,,,,,,,,,,,
4100,2.6381671,2.0697713,,,,,,,,,,,,,,
4200,2.4306257,2.0290864,,,,,,,,,,,,,,
4300,3.068912,1.9816592,,,,,,,,,,,,,,
4400,2.2557774,1.9499539,,,,,,,,,,,,,,
4500,2.9918764,2.006662,,,,,,,,,,,,,,
4600,4.745636,1.9502093,,,,,,,,,,,,,,
4700,3.4974425,2.0172226,,,,,,,,,,,,,,
4800,3.3655262,1.9917294,,,,,,,,,,,,,,
4900,2.2701607,2.0397525,,,,,,,,,,,,,,
5000,3.8015568,1.9942316,,,,,,,,,,,,,,
5030,,,0.98915,0.3021596006557343,1.5115514,0.3835504021162999,5348.0,1.0624641,0.310340625190421,2472.0,4373.304103136063,4969.3787705898285,4373.304103136063,595.7235856056213,0.1457955837249755,0.0
5100,2.2988498,1.9120224,,,,,,,,,,,,,,
5200,1.5964901,1.9314203,,,,,,,,,,,,,,
5300,3.34084,1.9610636,,,,,,,,,,,,,,
5400,3.1522548,1.8510072,,,,,,,,,,,,,,
5500,2.0942616,1.8754532,,,,,,,,,,,,,,
5600,1.9678619,1.8747648,,,,,,,,,,,,,,
5700,2.7057726,1.8829342,,,,,,,,,,,,,,
5800,4.2495875,1.929202,,,,,,,,,,,,,,
5900,5.1343985,1.8605117,,,,,,,,,,,,,,
6000,3.3365855,1.8364058,,,,,,,,,,,,,,
6100,2.5382843,1.8947748,,,,,,,,,,,,,,
6200,3.7075176,1.8381801,,,,,,,,,,,,,,
6300,2.1774464,1.947489,,,,,,,,,,,,,,
6400,2.561462,1.8207054,,,,,,,,,,,,,,
6500,2.9789205,1.8392037,,,,,,,,,,,,,,
6600,2.4928,1.8566891,,,,,,,,,,,,,,
6700,2.735902,1.8323028,,,,,,,,,,,,,,
6711,,,0.53420913,0.1786907392474525,0.88467693,0.2527105438466068,5348.0,0.57056034,0.1831495135376678,2472.0,5814.725718259811,6546.405204534531,5814.725718259811,731.20618891716,0.194446325302124,0.0
6800,2.5670254,1.7723078,,,,,,,,,,,,,,
6900,1.9790773,1.8716005,,,,,,,,,,,,,,
7000,3.3287253,1.8422849,,,,,,,,,,,,,,
7100,2.5055528,1.820309,,,,,,,,,,,,,,
7200,3.291893,1.8391303,,,,,,,,,,,,,,
7300,1.9507341,1.8170683,,,,,,,,,,,,,,
7400,3.3961854,1.8257786,,,,,,,,,,,,,,
7500,2.2632868,1.7258735,,,,,,,,,,,,,,
7600,3.2581573,1.7874384,,,,,,,,,,,,,,
7700,1.7889738,1.7679408,,,,,,,,,,,,,,
7800,1.7490711,1.7269585,,,,,,,,,,,,,,
7900,3.1513944,1.8088375,,,,,,,,,,,,,,
8000,3.282826,1.79059,,,,,,,,,,,,,,
8100,2.3998332,1.7920597,,,,,,,,,,,,,,
8200,1.9641066,1.7868232,,,,,,,,,,,,,,
8300,2.0388508,1.7435986,,,,,,,,,,,,,,
8374,,,0.49204135,0.1663060731914153,0.8545401,0.2402850053583324,5348.0,0.5360107,0.1713281741921069,2472.0,7254.855570316315,8120.411972284317,7254.855570316315,864.9577581882477,0.2457215785980224,0.0
8400,2.253835,1.7139261,,,,,,,,,,,,,,
8500,3.0112789,1.7834346,,,,,,,,,,,,,,
8600,2.6989071,1.7071851,,,,,,,,,,,,,,
8700,2.0549722,1.6810782,,,,,,,,,,,,,,
8800,2.551578,1.7351543,,,,,,,,,,,,,,
8900,2.4821475,1.6941329,,,,,,,,,,,,,,
9000,2.8964,1.6857764,,,,,,,,,,,,,,
9100,1.8180381,1.7758101,,,,,,,,,,,,,,
9200,6.817964,1.6779113,,,,,,,,,,,,,,
9300,2.8112848,1.6934516,,,,,,,,,,,,,,
9400,1.7750244,1.669365,,,,,,,,,,,,,,
9500,2.4900253,1.634972,,,,,,,,,,,,,,
9600,2.549199,1.6784294,,,,,,,,,,,,,,
9700,2.8138921,1.6986336,,,,,,,,,,,,,,
9800,2.2084103,1.7456335,,,,,,,,,,,,,,
9900,1.9720728,1.6775838,,,,,,,,,,,,,,
10000,3.0762196,1.6881084,,,,,,,,,,,,,,
10036,,,0.45510802,0.1536401512928712,0.78160363,0.2243258638500825,5348.0,0.4718033,0.1542461357219751,2472.0,8695.69698214531,9695.04998254776,8695.69698214531,998.6281795501708,0.2984883785247803,0.0
10100,5.4316187,1.698542,,,,,,,,,,,,,,
10200,2.129975,1.6521213,,,,,,,,,,,,,,
10300,2.4617093,1.6784381,,,,,,,,,,,,,,
10400,3.5654414,1.6370096,,,,,,,,,,,,,,
10500,3.0066452,1.6545367,,,,,,,,,,,,,,
10600,2.687312,1.6667885,,,,,,,,,,,,,,
10700,2.3479211,1.7190635,,,,,,,,,,,,,,
10800,2.534302,1.624154,,,,,,,,,,,,,,
10900,2.3110611,1.5656849,,,,,,,,,,,,,,
11000,2.0013728,1.6490431,,,,,,,,,,,,,,
11100,2.1627412,1.646118,,,,,,,,,,,,,,
11200,1.9596753,1.6443963,,,,,,,,,,,,,,
11300,2.6497643,1.6136782,,,,,,,,,,,,,,
11400,3.5348516,1.6306312,,,,,,,,,,,,,,
11500,2.2142053,1.6033505,,,,,,,,,,,,,,
11600,2.1229892,1.648515,,,,,,,,,,,,,,
11700,1.803598,1.5839765,,,,,,,,,,,,,,
11728,,,0.3924945,0.1350264820368834,0.7260689,0.2106162565048225,5348.0,0.44384366,0.1425872890134665,2472.0,10135.96832227707,11269.961148262024,10135.96832227707,1133.1386885643003,0.3503105640411377,0.0
11800,1.5776827,1.6451602,,,,,,,,,,,,,,
11900,2.4235902,1.6626519,,,,,,,,,,,,,,
12000,1.6199381,1.6443863,,,,,,,,,,,,,,
12100,2.437276,1.6081929,,,,,,,,,,,,,,
12200,2.5527651,1.6186404,,,,,,,,,,,,,,
12300,2.4186773,1.6258196,,,,,,,,,,,,,,
12400,2.4768507,1.5688118,,,,,,,,,,,,,,
12500,2.9372356,1.6379696,,,,,,,,,,,,,,
12600,2.3861458,1.6537688,,,,,,,,,,,,,,
12700,2.1493726,1.5895997,,,,,,,,,,,,,,
12800,3.1642218,1.6643461,,,,,,,,,,,,,,
12900,2.991863,1.5636877,,,,,,,,,,,,,,
13000,1.7664698,1.6993594,,,,,,,,,,,,,,
13100,2.4679587,1.5727677,,,,,,,,,,,,,,
13200,3.6436243,1.5865734,,,,,,,,,,,,,,
13300,2.1578891,1.6186618,,,,,,,,,,,,,,
13368,,,0.351626,0.1245274188096414,0.7211118,0.2058565125462216,5348.0,0.42993057,0.1384843499278938,2472.0,11576.316572666168,12845.101641893389,11576.316572666168,1267.7999205589294,0.4098730087280273,0.0
13400,4.6879563,1.6043146,,,,,,,,,,,,,,
13500,2.212042,1.4997358,,,,,,,,,,,,,,
13600,2.8561056,1.6068978,,,,,,,,,,,,,,
13700,2.2580414,1.5900978,,,,,,,,,,,,,,
13800,2.412964,1.6125747,,,,,,,,,,,,,,
13900,1.9737751,1.6266263,,,,,,,,,,,,,,
14000,1.8880496,1.5598276,,,,,,,,,,,,,,
14100,2.6847804,1.5847899,,,,,,,,,,,,,,
14200,3.7700171,1.5919193,,,,,,,,,,,,,,
14300,2.877092,1.6148949,,,,,,,,,,,,,,
14400,2.2996805,1.5978107,,,,,,,,,,,,,,
14500,2.3803284,1.6123726,,,,,,,,,,,,,,
14600,2.521585,1.5672965,,,,,,,,,,,,,,
14700,1.8470155,1.5212252,,,,,,,,,,,,,,
14800,1.7727733,1.5227805,,,,,,,,,,,,,,
14900,1.4401292,1.579343,,,,,,,,,,,,,,
15000,2.271632,1.5873678,,,,,,,,,,,,,,
15017,,,0.3215523,0.1124653533295383,0.69111645,0.1985479401797696,5348.0,0.40632746,0.1310503117827473,2472.0,13016.235071897509,14419.344350099564,13016.235071897509,1401.9918420314789,0.4669697284698486,0.0
15100,2.6238508,1.5550754,,,,,,,,,,,,,,
15200,3.3519146,1.5570446,,,,,,,,,,,,,,
15300,1.6265453,1.5499698,,,,,,,,,,,,,,
15400,2.3152988,1.5896895,,,,,,,,,,,,,,
15500,2.0942326,1.5593246,,,,,,,,,,,,,,
15600,2.817796,1.5375173,,,,,,,,,,,,,,
15700,1.6890056,1.5465639,,,,,,,,,,,,,,
15800,2.601653,1.5139382,,,,,,,,,,,,,,
15900,2.2407413,1.5654619,,,,,,,,,,,,,,
16000,2.7549121,1.6339024,,,,,,,,,,,,,,
16100,2.5710433,1.5520409,,,,,,,,,,,,,,
16200,2.6130843,1.5069317,,,,,,,,,,,,,,
16300,2.549771,1.5724447,,,,,,,,,,,,,,
16400,1.899336,1.5422939,,,,,,,,,,,,,,
16500,2.4416704,1.5207602,,,,,,,,,,,,,,
16600,2.173282,1.4987408,,,,,,,,,,,,,,
16695,,,0.32716346,0.116100972290003,0.66805714,0.1930158239763654,5348.0,0.39062056,0.1259114821359657,2472.0,14456.230154275894,15994.238893508911,14456.230154275894,1536.7648918628693,0.5192768573760986,0.0
16700,2.0714586,1.5583435,,,,,,,,,,,,,,
16800,2.5264513,1.6012336,,,,,,,,,,,,,,
