global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,7.793404,1.0246809,,,,,,,,,,,,,,
1,,,0.2560463462557111,0.6620562417166573,0.2499076572776712,0.6753216144001477,3554.0,0.2724176112315868,0.6778447530150447,3581.0,67.73511600494385,282.3396656513214,67.73511600494385,214.60407662391663,0.0,0.0
100,0.3125445,0.3124341,,,,,,,,,,,,,,
200,0.35993928,0.37624934,,,,,,,,,,,,,,
300,1.5722013,0.32654667,,,,,,,,,,,,,,
327,,,0.6591853414263044,0.3595053127833775,0.6363107727428602,0.3819476349271947,3554.0,0.6565119347336638,0.3821957398313145,3581.0,147.79752445220947,366.9493472576141,147.79752445220947,219.1075201034546,0.0301506519317626,0.0
400,0.20187354,0.35559744,,,,,,,,,,,,,,
500,1.1357243,0.3405697,,,,,,,,,,,,,,
553,,,0.6721241133553642,0.3355579716818673,0.6510698772509848,0.3562369961113358,3554.0,0.6701759012409243,0.3580029105980347,3581.0,227.78260397911072,451.0731770992279,227.78260397911072,223.19588899612427,0.0712354183197021,0.0
600,0.48424673,0.30994204,,,,,,,,,,,,,,
700,1.4399081,0.30719882,,,,,,,,,,,,,,
780,,,0.680293083190918,0.3290806497846331,0.6576347458409538,0.350757261844049,3554.0,0.677340177542935,0.3525262793759599,3581.0,308.1014070510864,535.5206282138824,308.1014070510864,227.27919244766235,0.1074318885803222,0.0
800,0.7962336,0.33745635,,,,,,,,,,,,,,
900,1.5434428,0.43017447,,,,,,,,,,,,,,
1000,1.4455235,0.30200583,,,,,,,,,,,,,,
1022,,,0.6905030523027692,0.3161884035382952,0.6681290832073016,0.3368593472473797,3554.0,0.6871942276729615,0.3386392388321174,3581.0,388.2792415618897,619.8238332271576,388.2792415618897,231.35992860794067,0.1423327922821045,0.0
1100,0.7398629,0.2671213,,,,,,,,,,,,,,
1200,1.8987968,0.31349906,,,,,,,,,,,,,,
1300,0.29881886,0.2692486,,,,,,,,,,,,,,
1367,,,0.6952226502554757,0.308596100125994,0.6748610857704347,0.3278640291968556,3554.0,0.6928877288554175,0.3302988810300893,3581.0,468.4667327404022,704.1317842006683,468.4667327404022,235.44100189208984,0.1676623821258545,0.0
1400,0.6526428,0.2696194,,,,,,,,,,,,,,
1500,0.22152326,0.36875397,,,,,,,,,,,,,,
1600,2.1069236,0.34676087,,,,,,,,,,,,,,
1700,0.533585,0.39863342,,,,,,,,,,,,,,
1712,,,0.7027938706534249,0.303912809916905,0.682877608746307,0.3227918943663829,3554.0,0.7004645421364493,0.3254766775822046,3581.0,548.4907054901123,788.2806272506714,548.4907054901123,239.5264842510224,0.1929085254669189,0.0
1800,0.99146384,0.30975467,,,,,,,,,,,,,,
1900,0.402905,0.32816112,,,,,,,,,,,,,,
2000,0.4382428,0.305145,,,,,,,,,,,,,,
2055,,,0.7075798852103097,0.3010205200740269,0.687145054977666,0.3202786679071996,3554.0,0.7048562099666643,0.3225380248512112,3581.0,628.6252982616425,872.5442159175873,628.6252982616425,243.61509895324707,0.2189242839813232,0.0
2100,0.6951232,0.37611336,,,,,,,,,,,,,,
2200,1.971276,0.2585374,,,,,,,,,,,,,,
2300,0.89754033,0.311217,,,,,,,,,,,,,,
2398,,,0.7101725850786481,0.2962773527417864,0.6893116828089828,0.3153179900728053,3554.0,0.707013933127967,0.3177077083806024,3581.0,708.7368433475494,956.7825663089752,708.7368433475494,247.7015974521637,0.2449746131896972,0.0
2400,0.33976611,0.30274656,,,,,,,,,,,,,,
2500,0.969669,0.24777098,,,,,,,,,,,,,,
2600,0.6388754,0.3542773,,,,,,,,,,,,,,
2700,0.39872658,0.3162959,,,,,,,,,,,,,,
2743,,,0.7092176846095494,0.2936775343758719,0.6885987702017093,0.3126761329663759,3554.0,0.7063905257347808,0.3148526402366657,3581.0,788.9141788482666,1041.085793018341,788.9141788482666,251.78818893432617,0.2701137065887451,0.0
2800,0.40883625,0.27269095,,,,,,,,,,,,,,
2900,1.0533086,0.26124975,,,,,,,,,,,,,,
3000,0.553635,0.29851288,,,,,,,,,,,,,,
3088,,,0.7096285138811383,0.2967503411429269,0.688610516979108,0.3158844457829206,3554.0,0.7069179403885087,0.3175934783841804,3581.0,869.0977547168732,1125.3944427967072,869.0977547168732,255.87261652946472,0.2964034080505371,0.0
3100,0.8579709,0.24702066,,,,,,,,,,,,,,
3200,0.23293151,0.24655838,,,,,,,,,,,,,,
3300,0.6598594,0.3552571,,,,,,,,,,,,,,
3400,1.0366634,0.3582367,,,,,,,,,,,,,,
3432,,,0.7171470778329032,0.2878295694078718,0.6963028701155388,0.3070471253231394,3554.0,0.7139588169331192,0.3088812168934131,3581.0,949.1358189582824,1209.5590102672577,949.1358189582824,259.9592492580414,0.3217556476593017,0.0
3500,0.8847329,0.27242115,,,,,,,,,,,,,,
3600,0.34003457,0.28650337,,,,,,,,,,,,,,
3700,0.6654064,0.31532353,,,,,,,,,,,,,,
3779,,,0.7183170318603516,0.2864355019160679,0.6975314044254713,0.3053864676025253,3554.0,0.7151586579996858,0.3072408523282602,3581.0,1029.283758878708,1293.8300213813782,1029.283758878708,264.04284024238586,0.3470292091369629,0.0
3800,0.83993775,0.27398127,,,,,,,,,,,,,,
3900,0.5294215,0.35022244,,,,,,,,,,,,,,
4000,1.0051277,0.2736964,,,,,,,,,,,,,,
4100,0.29069984,0.37080485,,,,,,,,,,,,,,
4125,,,0.7213442666190011,0.2850399357931955,0.7009796674961312,0.3040059121324563,3554.0,0.7183379402576096,0.3058648086799253,3581.0,1109.4138479232788,1378.0883722305298,1109.4138479232788,268.1308591365814,0.3726904392242431,0.0
4200,0.64562076,0.31474215,,,,,,,,,,,,,,
4300,0.8014449,0.349374,,,,,,,,,,,,,,
4400,0.6442184,0.39181054,,,,,,,,,,,,,,
4466,,,0.7152284213474819,0.285818134035383,0.6950686341534187,0.3044962885678988,3554.0,0.7126556200476473,0.3063489311535709,3581.0,1189.5322353839874,1462.3341319561005,1189.5322353839874,272.21524596214294,0.4011297225952148,0.0
4500,0.9438503,0.32771814,,,,,,,,,,,,,,
4600,0.21598378,0.21286032,,,,,,,,,,,,,,
4700,0.5256411,0.2316267,,,,,,,,,,,,,,
